TEfam	av_freq
17.6	0.07891631
297	0.081233304
412	0.040227669
1360	0.259964497
1731	0.230473422
3S18	0.070268034
accord	0.079705675
accord2	0.092303933
aurora-element	0.343700728
baggins	0.400260348
Bari1	0.08901289
Bari2	0.997167722
blood	0.039390748
BS	0.115699178
BS3	0.806629179
BS4	0.408076897
Burdock	0.050113114
Circe	0.047142602
copia	0.038847545
Cr1a	0.371868338
diver	0.050242394
diver2	0.729833811
Dm88	0.064583333
Doc	0.047730765
Doc2-element	0.203608654
Doc3-element	0.339695919
Doc4-element	0.51
F-element	0.055263389
FB	0.101556893
flea	0.070869081
frogger	0.996753247
Fw2	1
Fw3	0.932031449
G-element	0.399414475
G2	0.065207148
G3	0.993150685
G4	0.85825607
G5	0.738917284
G5A	0.942777188
G6	0.133701378
G7	0.994413408
GATE	0.043049142
gtwin	0.203472661
gypsy	0.206207619
gypsy10	0.058464655
gypsy11	na
gypsy12	0.38598776
gypsy2	0.513517813
gypsy3	0.381922383
gypsy4	0.285167026
gypsy5	0.066256251
gypsy6	0.049878979
gypsy7	0.943099815
gypsy8	0.794686472
gypsy9	0.841421553
HB	0.954716644
Helena	0.989690722
HeT-A	0.271247672
HMS-Beagle	0.059732623
HMS-Beagle2	0.072001216
hobo	0.069125101
hopper	0.066101652
hopper2	0.872349726
I-element	0.078385906
Idefix	0.098361336
INE-1	0.876635688
invader1	0.30127772
invader2	0.343356694
invader3	0.163982737
invader4	0.132689038
invader5	0.99136251
invader6	0.053166512
Ivk	0.089251431
jockey	0.045900107
jockey2	0.58774894
Juan	0.051264475
looper1	na
mariner2	0.990537705
Max-element	0.049876627
McClintock	0.064901843
mdg1	0.039289337
mdg3	0.044010734
micropia	0.180798208
NOF	0.06763285
opus	0.045840808
P-element	0.028943308
pogo	0.056032171
Porto1	1
Quasimodo	0.081120362
R1-2	na
R1A1-element	0.05023462
R2-element	0.03386124
roo	0.066481013
rooA	0.68145031
rover	0.039934363
Rt1a	0.097026101
Rt1b	0.103013519
Rt1c	0.850355921
S-element	0.232203123
S2	0.978240844
springer	0.042469817
Stalker	0.034880456
Stalker2	0.043489488
Stalker4	0.099624927
Tabor	0.041266292
TAHRE	0.501616326
Tc1	0.877218834
Tc1-2	0.88573934
Tc3	0.952971631
Tirant	0.032267499
Tom1	0.993630573
transib1	na
transib2	0.210861139
transib3	0.983153455
transib4	0.970602022
Transpac	0.044294076
X-element	0.169721559
ZAM	0.064900099
