Factor	Level	Sex	Tissue	TEregGene	Study
Regime	control	m	all	15	Carnes
Regime	selected	m	all	4	Carnes
Regime	control	f	all	22	Carnes
Regime	selected	f	all	7	Carnes
Age	young	m	all	6	Carnes
Age	old	m	all	47	Carnes
Age	young	f	all	4	Carnes
Age	old	f	all	6	Carnes
RxA	m1	RxA	all	8	Carnes
RxA	f1	RxA	all	11	Carnes
Regime	control	f	head	0	Remolina
Regime	selected	f	head	0	Remolina
Regime	control	f	abdomen	0	Remolina
Regime	selected	f	abdomen	0	Remolina
Age	young	f	head	0	Remolina
Age	old	f	head	5	Remolina
Age	young	f	abdomen	1	Remolina
Age	old	f	abdomen	23	Remolina
RxA	f	RxA	head	0	Remolina
RxA	f	RxA	abdomen	0	Remolina
