SRR287611	Cont_1_1
SRR287614	Cont_1_2
SRR287615	Cont_1_3
SRR287616	Cont_1_4
SRR287617	Cont_1_5
SRR287618	Cont_1_6
SRR287619	Cont_2_1
SRR287620	Cont_2_2
SRR287621	Cont_2_3
SRR287622	Cont_2_4
SRR287623	Cont_2_5
SRR287624	Cont_2_6
SRR287625	Cont_3_1
SRR287626	Cont_3_2
SRR287627	Cont_3_3
SRR287628	Cont_3_4
SRR287629	Cont_3_5
SRR287630	Cont_3_6
SRR287631	Sel_1_1
SRR287632	Sel_1_2
SRR287633	Sel_1_3
SRR287634	Sel_1_4
SRR287635	Sel_1_5
SRR287636	Sel_1_6
SRR287637	Sel_2_1
SRR287638	Sel_2_2
SRR287639	Sel_2_3
SRR287640	Sel_2_4
SRR287641	Sel_2_5
SRR287642	Sel_2_6
SRR287643	Sel_3_1
SRR287644	Sel_3_2
SRR287645	Sel_3_3
SRR287646	Sel_3_4
SRR287647	Sel_3_5
SRR287648	Sel_3_6
