Regime	Pop	Ins	LTR	TIR	nonLTR	RNA	DNA
Cont	Cont_B1	2140.765	956.126	313.462	809.662	1765.788	374.977
Cont	Cont_B2	2022.066	894.619	311.677	774.967	1669.586	352.48
Cont	Cont_B3	2212.913	953.522	355.876	845.647	1799.169	413.744
Cont	Cont_B4	2401.766	1025.993	279.899	1041.259	2067.252	334.514
Cont	Cont_B5	2265.089	922.551	339.702	905.83	1828.381	436.708
Sel	Sel_O1	2477.226	1076.05	459.309	871.579	1947.629	529.597
Sel	Sel_O2	2249.206	1012.033	412.311	773.536	1785.569	463.637
Sel	Sel_O3	2301.168	996.372	455.118	788.226	1784.598	516.57
Sel	Sel_O4	2378.848	1061.643	437.784	813.039	1874.682	504.166
Sel	Sel_O5	2232.064	979.741	399.803	796.302	1776.043	456.021
