TEfam	TEpropCov	CE	CP	HE	HP	LE	LP	CE1	CE2	CE3	CE4	CP1	CP2	CP3	CP4	HE1	HE2	HE3	HE4	HP1	HP2	HP3	HP4	LE1	LE2	LE3	LE4	LP1	LP2	LP3	LP4	Mean_Early	Mean_Postponed	Mean_Control	Mean_High	Mean_Low	Diff_PostEarly	log2Rat_PostEarly	Diff_HighCont	Diff_HighLow	Diff_ContLow	log2Rat_HighCont	log2Rat_HighLow	log2Rat_ContLow	Diff_PostEarlyCont	Diff_PostEarlyHigh	Diff_PostEarlyLow	log2Rat_PostEarlyCont	log2Rat_PostEarlyHigh	log2Rat_PostEarlyLow	Df_Diet	F_value_Diet	PvalFull_Diet	Df_Breeding	F_value_Breeding	PvalFull_Breeding	Df_Inter	F_value_Inter	PvalFull_Inter	Df_resid	Df_Low	F_value_Low	Pval_Low	Df_Low_nested	F_value_Low_nested	Pval_Low_nested	Df_Low_resid	Df_Cont	F_value_Cont	Pval_Cont	Df_Cont_nested	F_value_Cont_nested	Pval_Cont_nested	Df_Cont_resid	Df_High	F_value_High	Pval_High	Df_High_nested	F_value_High_nested	Pval_High_nested	Df_High_resid	Bonf_Full	Bonf_Low	Bonf_Cont	Bonf_High	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length
1360	1	56.764116	68.472907	70.518433	66.39007	63.83492	68.166846	68.1708295687885	63.6480375476679	69.1103209152244	26.1272745673218	69.0421510706952	65.3129724259314	71.1324590789088	68.4040442945145	73.1558879436785	70.0015837489	69.6336336168964	69.2826268700499	64.1663613963039	67.9463452625403	66.3968858902904	67.0506890583749	66.2588374889997	65.2003505426811	61.919269287181	61.9612214725726	69.7019826928718	67.9559920797888	65.712386036961	69.2970240539748	63.706	67.677	62.619	68.454	66.001	3.971	0.087	5.836	2.453	-3.382	0.129	0.053	-0.076	11.709	-4.128	4.332	0.271	-0.087	0.095	2	32.59	7.12100349708298e-15	1	44.88	2.10358784386771e-11	2	59.59	1.37419857223319e-26	81810	1	18.3232588658755	1.87053436366518e-05	6	2.00355208437317	0.0615342049735423	27264	1	137.244656816996	1.26949791434385e-31	6	107.277488633423	3.55683371766395e-134	27264	1	15.2878349098056	9.25324228986379e-05	6	1.29591382270977	0.255059498531691	27264	TRUE	TRUE	TRUE	FALSE	FBte0000559	AC005453	1360	Dmel	1360	terminal_inverted_repeat_element	DNA	P	P	P	Drosophila_melanogaster	97.979	1	1	P|DNA_transposon|Transposable_Element|HOPPEL;P-like_DNA_transposon|PROTOP|PROTOP.|PROTOP_A|TIR;insertion_element_1360|transposase.	TIR	DNA	3409
412	0.888066604995375	15.351005	19.177961	17.95037	17.49385	18.735084	20.149332	17.2224116558742	16.8856536275935	18.3664888330911	8.92946438482886	20.030392890181	18.7086204572486	19.6615604598916	18.3112697238007	17.995783533765	19.4358369234835	17.1806336725254	17.1892259812343	17.2238944099379	16.7333512620589	18.539665917801	17.4784889652438	20.0672233381789	18.4752047046386	18.4807364873794	17.9171728558213	20.3279077573675	21.1777068851592	19.3564789216334	19.7352343068587	17.345	18.94	17.264	17.722	19.442	1.595	0.127	0.458	-1.72	-2.178	0.038	-0.134	-0.171	3.827	-0.457	1.414	0.321	-0.037	0.105	2	1468.81	0	1	2125.34	0	2	1284.36	0	181602	1	531.084917443646	5.24579254606974e-117	6	98.8067069114231	3.38861842142866e-124	60528	1	4406.98800532103	0	6	1457.36592712333	0	60528	1	66.7137453669094	3.19933556056496e-16	6	136.731534964602	9.2606982740068e-173	60528	TRUE	TRUE	TRUE	TRUE	FBte0000007	nnnnnnnn	412	Dmel	412	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.816	1	NA	NA	LTR	RNA	7567
ACCORD	0.934089681253377	5.865136	6.697275	6.124926	6.158009	5.180127	6.024456	6.28133630470016	5.76361925985954	6.88762506753106	4.5279640734738	6.49640059427337	6.85534481361426	6.91955551053485	6.51779835224203	6.60989600216099	5.91698649378714	6.16282360886008	5.80999689357104	6.08407955159373	5.88840815775257	6.32079321988115	6.33875675310643	5.49382482441923	5.2292641815235	4.93056672069152	5.06685102647218	6.05667004321988	5.72300999459751	5.77025391680173	6.54788857374392	5.723	6.293	6.281	6.141	5.602	0.57	0.137	-0.14	0.539	0.679	-0.032	0.133	0.165	0.832	0.033	0.844	0.191	0.008	0.218	2	959.57	0	1	1818.3	0	2	403.39	1.60260301056357e-175	177690	1	1550.7640129626	0	6	109.933286953933	1.94984334198214e-138	59224	1	1185.15890373023	3.59890146275617e-257	6	451.273852148249	0	59224	1	2.07570562133423	0.149665998940062	6	81.6052468875662	3.87313531631832e-102	59224	TRUE	TRUE	TRUE	FALSE	FBte0000956	nnnnnnnn	accord	Dmel	accord	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Gypsy	Drosophila_melanogaster	100	1	NA	LTR_Retrotransposon|Transposable_Element|ACCORD_I|ACCORD_LTR;Retrovirus|env-like|gag|pol|internal_portion.	LTR	RNA	7404
AF222049	0.908554010287674	12.656568	16.185464	15.210153	14.949414	13.538706	15.383626	14.1325738235854	14.9564292246142	15.4219617069918	6.11530710611545	17.0448291103067	16.0489074109354	17.1984385597257	14.4496795580111	16.8176509811393	14.5453400647742	14.4310733473042	15.0465460087636	15.0431478376834	13.540093541627	15.1932958658792	16.0211188797866	14.0390192417603	13.6952369975233	12.7245854448466	13.6959826633645	16.7803301581254	15.7472958658792	14.964039817108	14.0428393979806	13.802	15.506	14.421	15.08	14.461	1.704	0.168	0.659	0.619	-0.04	0.064	0.06	-0.004	3.529	-0.261	1.845	0.355	-0.025	0.184	2	194.51	4.54088106349911e-85	1	3107.2	0	2	1285.43	0	125970	1	1434.86958953888	9.09084130968224e-309	6	176.321624407682	1.76212002785566e-222	41984	1	4848.7090184295	0	6	2034.38199861514	0	41984	1	26.2858866994372	2.95737032309437e-07	6	221.120765928497	4.7923830709778e-279	41984	TRUE	TRUE	TRUE	TRUE	FBte0001377	AF222049	Transpac	Dmel	Transpac	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|TRANSPAC_I|TRANSPAC_LTR|gag|pol;internal_portion.	LTR	RNA	5249
AF541951	0.983082706766917	1.045938	1.236343	1.210261	1.169621	1.146967	1.218052	1.15616729323308	1.07817481203008	1.23503383458647	0.714375	1.30350469924812	1.16699060150376	1.25136090225564	1.22351503759398	1.22886278195489	1.20624154135338	1.2021015037594	1.20383740601504	1.10383740601504	1.23720864661654	1.2013515037594	1.13608458646617	1.18677819548872	1.18090413533835	1.08011090225564	1.14007330827068	1.2442772556391	1.17929793233083	1.18136748120301	1.26726503759398	1.134	1.208	1.141	1.19	1.183	0.074	0.091	0.049	0.007	-0.041	0.06	0.009	-0.051	0.19	-0.041	0.071	0.241	-0.049	0.087	2	43.52	1.35961175093765e-19	1	255.84	2.63353832176302e-57	2	210.08	3.21203863613848e-91	25530	1	84.9532270179368	3.7905469579504e-20	6	18.5089900351953	1.71275685308987e-21	8504	1	631.522537258804	1.72297919124848e-134	6	244.729468733315	1.44477576659621e-289	8504	1	26.4142385125671	2.81629501370001e-07	6	15.3225938044819	1.50423346950479e-17	8504	TRUE	TRUE	TRUE	TRUE	FBte0000963	AF541951	Bari2	Dmel	Bari2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_erecta	94.081	2	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI1|DEBARI1;pseudogene|Repeat_region|transposase|transposon.	TIR	DNA	1064
BAGGINS	1	26.712949	25.23236	26.272322	24.762981	23.092838	25.183225	25.8859671740326	23.8773520997616	26.0088074454429	31.0796702732441	25.8989251788007	24.6872218962039	25.2832026407482	25.0600911424904	27.7655853658537	25.9165048597103	25.8036893453145	25.6035085274161	24.1728831835687	24.1474410416285	25.374440124702	25.357158628278	23.4609684577297	23.5707610489639	22.7132123601687	22.6264089492023	25.6597461947552	25.0991753163396	23.6618333027691	26.3121459746928	25.359	25.06	25.973	25.518	24.138	-0.3	-0.017	-0.455	1.38	1.835	-0.025	0.08	0.106	-1.481	-1.509	2.09	-0.082	-0.085	0.125	2	132.32	3.91420169743926e-58	1	9.78	0.0017685741596991	2	155.31	4.26803799388881e-68	130866	1	183.006746279253	1.29717884790642e-41	6	15.8756811057416	2.56723002028021e-18	43616	1	76.9794944698957	1.78859920107012e-18	6	85.046237797186	2.20653224838266e-106	43616	1	75.9535907478376	3.00422148148762e-18	6	12.439943319707	4.68535419212262e-14	43616	FALSE	TRUE	TRUE	TRUE	FBte0000906	nnnnnnnn	baggins	Dmel	baggins	non_LTR_retrotransposon	LINE	Loa	Loa	LOA	Drosophila_melanogaster	100	1	NA	Loa|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LOA_superfamily|BAGGINS1.	non-LTR	RNA	5453
Beagle	0.949730954403852	13.612655	14.120193	14.664658	13.880659	11.74944	14.425043	13.2388769470405	13.9451778532993	15.5485291702067	11.7180365335599	14.1976869158879	13.7709916454262	13.9001434437836	14.6119494477485	15.1345645709431	13.6774800339847	15.5393521665251	14.3072363353158	12.6563903993203	13.9952783913905	13.7493906825262	15.1215767487964	12.0396622769754	11.3004359954687	11.9109889549703	11.746670914755	13.6342663551402	14.3852697536109	15.2258625035401	14.454772019258	13.342	14.142	13.866	14.273	13.087	0.8	0.084	0.406	1.185	0.779	0.042	0.125	0.083	0.508	-0.784	2.676	0.053	-0.079	0.296	2	1001.51	0	1	1323.75	1.02351573342734e-288	2	2108.64	0	169482	1	5830.39797757651	0	6	107.304438997868	4.93047852986448e-135	56488	1	167.61540411409	2.78318661167412e-38	6	434.103495326277	0	56488	1	422.895210881296	1.2616212407128e-93	6	295.691349513998	0	56488	TRUE	TRUE	TRUE	TRUE	FBte0000726	AF365402	HMS-Beagle	Dmel	HMS-Beagle	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.893	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DMLTR5;HMSBEAGLE_I|Retrovirus|gag-like|pol|internal_portion.	LTR	RNA	7062
Beagle2	0.930332409972299	7.424929	7.938481	7.546392	7.526669	7.279624	7.624545	7.64549362880886	7.14833698060942	7.33740110803324	7.56848393351801	8.00130747922438	7.7045864265928	8.38170927977839	7.66632091412742	7.91553074792244	7.22811648199446	7.48792590027701	7.55399584487535	7.07485623268698	8.38966232686981	6.98799833795014	7.65415886426593	7.47029542936288	7.33977132963989	7.20080761772853	7.10762354570637	8.1556771468144	7.56053379501385	7.26854252077562	7.51342742382271	7.417	7.697	7.682	7.537	7.452	0.28	0.053	-0.145	0.084	0.23	-0.028	0.016	0.044	0.514	-0.02	0.345	0.096	-0.004	0.067	2	119.27	1.73121365622288e-52	1	518.37	1.41494177478688e-114	2	164.24	5.50791092126952e-72	173274	1	282.653356803676	2.80647933520052e-63	6	99.2014623461059	1.13202293331099e-124	57752	1	547.140083870869	1.92069099067893e-120	6	83.4320939898819	1.8113930430158e-104	57752	1	0.898633038808638	0.343152474775749	6	288.054893236258	0	57752	TRUE	TRUE	TRUE	FALSE	FBte0001399	3R.Release.3	HMS-Beagle2	Dmel	HMS-Beagle2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.985	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy2_DM;Gypsy2-LTR_DM|Gypsy2-I_DM.	LTR	RNA	7220
BLOOD	0.937112010796221	15.409132	15.902575	19.341521	16.698601	17.842189	17.210593	18.3996788124157	16.4213643724696	17.5304886639676	9.28499689608637	16.5370964912281	15.314167611336	15.9727518218623	15.7862843454791	18.4296016194332	19.7711856950067	19.5689995951417	19.5962963562753	15.8822504723347	17.4447609986505	16.5413488529015	16.926044534413	18.8074172739541	18.8196730094467	17.5145272604588	16.2271402159244	16.8891865047233	17.7509070175439	16.0627273954116	18.1395493927125	17.531	16.604	15.656	18.02	17.526	-0.927	-0.078	2.364	0.494	-1.871	0.203	0.04	-0.163	0.493	-2.643	-0.632	0.045	-0.212	-0.052	2	2981.69	0	1	1235.6	9.49733769040266e-270	2	1209.97	0	177834	1	200.698507422351	1.74483158503811e-45	6	300.97311033815	0	59272	1	145.311230169002	2.00939110618012e-33	6	2622.93820556485	0	59272	1	3372.76424490705	0	6	97.8793350015886	5.38636053186085e-123	59272	TRUE	TRUE	TRUE	TRUE	FBte0000279	AY180916	blood	Dmel	blood	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.834	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|BLOOD|BLOODI;BLOOD_I|Gypsy_superfamily|LTRBLD_DM|TABOR_group|gag|protease;Retrovirus|reverse_transcriptase|internal_portion.	LTR	RNA	7410
BS	0.996693893426682	8.366002	8.535248	8.357498	8.518359	8.014955	8.969739	8.30046557759627	7.75400719564372	8.32516102683781	9.08437242318164	8.1806837806301	8.46739828860366	8.93365363671723	8.55925457020614	8.86239498249708	7.96271256320498	8.24840956826138	8.3564731621937	8.17041870867367	8.77219486581097	8.28614294049008	8.84468008556982	7.93106534422404	8.02518475301439	8.29063535589265	7.81293446129911	9.40494340723454	8.85642454297938	8.60976526643329	9.00782360949047	8.246	8.674	8.451	8.438	8.492	0.428	0.073	-0.013	-0.054	-0.042	-0.002	-0.009	-0.007	0.169	0.161	0.955	0.029	0.028	0.162	2	2.55	0.0778606894980629	1	433.31	4.53070574329142e-96	2	163.7	9.96263884746868e-72	123402	1	745.457736722449	1.10783483181099e-162	6	31.1576533299841	1.3897899485877e-37	41128	1	21.711166417887	3.17932618324805e-06	6	74.9230435750473	2.04438094298124e-93	41128	1	20.8832675585773	4.89557458344601e-06	6	51.6895957259239	9.68922445796665e-64	41128	TRUE	TRUE	TRUE	TRUE	FBte0000780	nnnnnnnn	BS	Dmel	BS	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.375	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|LINE|BS.	non-LTR	RNA	5142
