Type	Pop	Breeding	Diet	Ins	LTR	TIR	nonLTR	RNA	DNA
CE	CE1	Early	Control	1639.8237230235	621.89190275745	318.725506152223	663.113107965545	1285.005010723	354.818712300506
CE	CE2	Early	Control	1536.41345697962	583.469644855922	297.34035255686	618.284421592154	1201.75406644808	334.659390531544
CE	CE3	Early	Control	1642.84419824286	613.873335076308	318.345908680185	675.955961719637	1289.82929679594	353.014901446912
CE	CE4	Early	Control	1338.38268417361	448.860526157804	159.278166786318	721.558184719538	1170.41871087734	167.963973296264
CP	CP1	Postponed	Control	1668.25379123705	631.60666780953	328.441688988079	672.233329556984	1303.83999736651	364.413793870538
CP	CP2	Postponed	Control	1583.68839389845	598.329195755359	306.616280884388	644.68565776503	1243.01485352039	340.673540378059
CP	CP3	Postponed	Control	1657.77841361322	627.123890395681	327.77721006159	664.910207369327	1292.03409776501	365.744315848209
CP	CP4	Postponed	Control	1617.05925808617	613.121628865881	317.192241737759	650.25490194908	1263.37653081496	353.682727271213
HE	HE1	Early	High	1768.14521189529	660.496705933403	336.490748426433	733.687404009235	1394.18410994264	373.961101952654
HE	HE2	Early	High	1654.8659491956	622.044159762904	319.315100781478	672.90506749389	1294.94922725679	359.916721938802
HE	HE3	Early	High	1654.90876878918	627.744814107283	320.614968498298	666.246179673656	1293.99099378094	360.917775008244
HE	HE4	Early	High	1641.81478239586	624.453807435259	321.130196746538	658.140633548603	1282.59444098386	359.220341411999
HP	HP1	Postponed	High	1537.81000365007	576.970850524827	299.4565737768	625.595156201971	1202.5660067268	335.243996923274
HP	HP2	Postponed	High	1595.40656309875	605.848662568214	316.428318079849	635.628213553761	1241.47687612197	353.929686976775
HP	HP3	Postponed	High	1601.55267607766	603.106506536179	312.474437614912	649.736702089318	1252.8432086255	348.709467452163
HP	HP4	Postponed	High	1587.40898279036	600.84914390816	310.994074853099	639.491278495644	1240.3404224038	347.068560386553
LE	LE1	Early	Low	1555.55743016045	591.306049285257	308.797237591383	617.670954314554	1208.97700359981	346.580426560641
LE	LE2	Early	Low	1527.31987655004	578.2407393505	302.440801008785	610.4937023752	1188.7344417257	338.585434824336
LE	LE3	Early	Low	1487.22821675507	565.689287526033	293.588254930853	592.923566703243	1158.61285422928	328.615362525789
LE	LE4	Early	Low	1460.29604691811	556.532878298212	293.825864382346	575.9063982701	1132.43927656831	327.856770349796
LP	LP1	Postponed	Low	1648.4718541198	624.859896422384	323.613692141825	664.141487978734	1289.00138440112	359.470469718679
LP	LP2	Postponed	Low	1617.39569777908	618.937921290145	319.878165013864	641.969221782483	1260.90714307263	356.488554706449
LP	LP3	Postponed	Low	1560.92232190182	593.965833127492	305.511990872882	625.720000613925	1219.68583374142	341.236488160404
LP	LP4	Postponed	Low	1656.05973336005	624.38565352432	321.801029157129	671.38078756829	1295.76644109261	360.293292267436
