TEfam	TEpropCov	Cont_1	Cont_2	Cont_3	Sel_1	Sel_2	Sel_3	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length
1360	0.999706658844236	53.265	55.945	47.67	57.284	51.633	54.239	52.293	54.385	2.092	0.057	1	3.93	0.047348836800679	4	7.74	0.047348836800679	20448	FALSE	FBte0000559	AC005453	1360	Dmel	1360	terminal_inverted_repeat_element	DNA	P	P	P	Drosophila_melanogaster	97.979	1	1	P|DNA_transposon|Transposable_Element|HOPPEL;P-like_DNA_transposon|PROTOP|PROTOP.|PROTOP_A|TIR;insertion_element_1360|transposase.	TIR	DNA	3409
412	0.88159111933395	16.812	20.799	14.19	22.108	15.912	16.324	17.267	18.115	0.848	0.069	1	108.95	1.77555739656828e-25	4	1166.54	1.77555739656828e-25	45396	TRUE	FBte0000007	nnnnnnnn	412	Dmel	412	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.816	1	NA	NA	LTR	RNA	7567
ACCORD	0.875877903835764	7.318	8.056	6.324	8.117	6.828	7.572	7.233	7.506	0.273	0.053	1	66.59	3.4317696017727e-16	4	349.33	3.4317696017727e-16	44418	TRUE	FBte0000956	nnnnnnnn	accord	Dmel	accord	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Gypsy	Drosophila_melanogaster	100	1	NA	LTR_Retrotransposon|Transposable_Element|ACCORD_I|ACCORD_LTR;Retrovirus|env-like|gag|pol|internal_portion.	LTR	RNA	7404
AF222049	0.899790436273576	15.769	14.648	15.146	17.836	15.41	17.611	15.188	16.952	1.764	0.159	1	636.37	4.96021249740295e-139	4	143.88	4.96021249740295e-139	31488	TRUE	FBte0001377	AF222049	Transpac	Dmel	Transpac	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|TRANSPAC_I|TRANSPAC_LTR|gag|pol;internal_portion.	LTR	RNA	5249
AF541951	0.966165413533835	1.166	1.078	0.987	1.242	1.03	1.244	1.077	1.172	0.095	0.122	1	73.42	1.29880035151311e-17	4	63.29	1.29880035151311e-17	6378	TRUE	FBte0000963	AF541951	Bari2	Dmel	Bari2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_erecta	94.081	2	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI1|DEBARI1;pseudogene|Repeat_region|transposase|transposon.	TIR	DNA	1064
BAGGINS	1	27.848	27.609	26.148	28.264	28.106	27.684	27.202	28.018	0.817	0.043	1	15.14	9.99221024004886e-05	4	7.09	9.99221024004886e-05	32712	FALSE	FBte0000906	nnnnnnnn	baggins	Dmel	baggins	non_LTR_retrotransposon	LINE	Loa	Loa	LOA	Drosophila_melanogaster	100	1	NA	Loa|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LOA_superfamily|BAGGINS1.	non-LTR	RNA	5453
Beagle	0.914613423959218	12.026	10.225	9.4	12.634	10.408	10.937	10.55	11.326	0.776	0.102	1	257.47	9.05180140360413e-58	4	449.79	9.05180140360413e-58	42366	TRUE	FBte0000726	AF365402	HMS-Beagle	Dmel	HMS-Beagle	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.893	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DMLTR5;HMSBEAGLE_I|Retrovirus|gag-like|pol|internal_portion.	LTR	RNA	7062
Beagle2	0.923961218836565	9.935	11.682	8.16	12.215	9.766	9.953	9.926	10.645	0.719	0.101	1	307.18	1.55031499838072e-68	4	981.92	1.55031499838072e-68	43314	TRUE	FBte0001399	3R.Release.3	HMS-Beagle2	Dmel	HMS-Beagle2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.985	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy2_DM;Gypsy2-LTR_DM|Gypsy2-I_DM.	LTR	RNA	7220
BLOOD	0.928609986504723	19.205	17.876	16.415	17.048	16.923	18.557	17.832	17.509	-0.322	-0.026	1	26.72	2.36712040312722e-07	4	237.61	2.36712040312722e-07	44454	TRUE	FBte0000279	AY180916	blood	Dmel	blood	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.834	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|BLOOD|BLOODI;BLOOD_I|Gypsy_superfamily|LTRBLD_DM|TABOR_group|gag|protease;Retrovirus|reverse_transcriptase|internal_portion.	LTR	RNA	7410
BS	0.995527032283158	11.182	10.878	11.67	11.703	10.71	11.449	11.244	11.287	0.044	0.006	1	0.53	0.467490689005165	4	38.89	0.467490689005165	30846	FALSE	FBte0000780	nnnnnnnn	BS	Dmel	BS	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.375	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|LINE|BS.	non-LTR	RNA	5142
BS3	0.96927374301676	8.294	8.08	7.815	8.42	8.279	8.227	8.063	8.309	0.246	0.043	1	11.62	0.000653546146872698	4	4.35	0.000653546146872698	10734	FALSE	FBte0000420	nnnnnnnn	BS3	Dmel	BS3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS3_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	1790
BS4	0.883289124668435	1.51	1.41	1.181	1.403	1.323	1.484	1.367	1.404	0.036	0.038	1	4.6	0.0319498337818307	4	40.49	0.0319498337818307	4518	FALSE	FBte0001042	nnnnnnnn	BS4	Dmel	BS4	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS|BS4_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	754
CIRC	0.992214765100671	21.606	21.424	19.379	23.569	20.331	21.454	20.803	21.784	0.981	0.067	1	242.33	1.69514124983099e-54	4	354.97	1.69514124983099e-54	44694	TRUE	FBte0000616	nnnnnnnn	Circe	Dmel	Circe	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Composite	Drosophila_melanogaster	98.755	1	NA	LTR_Retrotransposon|Transposable_Element|CIRCE;composite_transposon|non_LTR_retrotransposon.	LTR	RNA	7450
DIVER2	0.869229204799675	9.573	9.393	8.929	9.604	9.392	9.35	9.299	9.448	0.15	0.023	1	7.07	0.00784368749557097	4	13.56	0.00784368749557097	29496	FALSE	FBte0001178	nnnnnnnn	diver2	Dmel	diver2	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element|Nonautonomous;gag|Retrovirus|endonuclease|internal_portion;nonautonomous_LTR_retrotransposon|RT|the_BCDRP_group;DIVER2_LTR|DIVER2_I.	LTR	RNA	4917
DM_ROO	0.934227892652882	90.137	79.492	72.318	85.383	77.785	85.503	80.649	82.891	2.242	0.04	1	89.97	2.51488719141961e-21	4	596.4	2.51488719141961e-21	54546	TRUE	FBte0000100	AY180917	roo	Dmel	roo	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	99.612	1	NA	BEL|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|ORF1|gag|pol|BCDPR_superfamily|env;internal_portion|B104|ROO_LTR|ROO_I.	LTR	RNA	9092
DM06920	0.991780371527207	7.148	9.138	9.286	8.691	8.433	9.778	8.524	8.967	0.443	0.073	1	83.42	6.96307022965369e-20	4	273.85	6.96307022965369e-20	36492	TRUE	FBte0000143	U06920	HeT-A	Dmel	HeT-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.984	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|HETA;telomere.	non-LTR	RNA	6083
DM23420	0.902709761671564	11.721	10.843	10.657	11.85	11.613	11.135	11.074	11.533	0.459	0.059	1	106.38	6.58352486710243e-25	4	76.68	6.58352486710243e-25	36750	TRUE	FBte0000266	U23420	3S18	Dmel	3S18	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	1	BEL|LTR_Retrotransposon|Transposable_Element|BEL_I|BEL_LTR;endogenous_retrovirus|endonuclease|gag|reverse_transcriptase;internal_portion.	LTR	RNA	6126
DM33463	0.853686635944701	13.209	13.82	12.523	14.765	13.104	13.959	13.184	13.942	0.759	0.081	1	6.75	0.00937953486029556	4	4.34	0.00937953486029556	10410	FALSE	FBte0001005	U33463	S-element	Dmel	S-element	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|S_DM|TIR;Tc1/mariner_superfamily|transposase.	TIR	DNA	1736
DM88	0.940324703817464	15.444	14.792	13.684	15.757	14.501	14.394	14.64	14.884	0.244	0.024	1	8.45	0.00365033707180674	4	64.75	0.00365033707180674	27342	FALSE	FBte0000267	nnnnnnnn	Dm88	Dmel	Dm88	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	1	Copia|LTR_Retrotransposon|Transposable_Element|COPIA2I_DM;COPIA2LTR_DM|Retrovirus|COPIA_superfamily;gag-reverse_transcriptase.	LTR	RNA	4558
DMAURA	0.810227539291579	2.319	2.346	2.339	2.133	2.527	2.255	2.334	2.305	-0.03	-0.018	1	1.05	0.305395683424166	4	16.46	0.305395683424166	25572	FALSE	FBte0000112	nnnnnnnn	aurora-element	Dmel	aurora-element	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_simulans	97.228	2	NA	BEL|LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|internal_portion|PAO_subgroup|NINJA_I.	LTR	RNA	4263
DMBARI1	1	26.948	23.146	24.698	24.453	24.384	26.725	24.931	25.187	0.256	0.015	1	7.58	0.00591313833996098	4	208.62	0.00591313833996098	10362	FALSE	FBte0000034	X67681	Bari1	Dmel	Bari1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI_DM;DMBARI1|Mobile_genetic_element|transposon.	TIR	DNA	1728
DMBLPP	0.968613428684942	14.977	15.928	14.97	16.02	13.992	15.136	15.292	15.049	-0.242	-0.023	1	21.94	2.82344141723163e-06	4	166.38	2.82344141723163e-06	30198	TRUE	FBte0000660	Z27119	flea	Dmel	flea	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	1	Gypsy|LTR_Retrotransposon|Transposable_Element|BLASTOPIA_I;BLASTOPIA_LTR|Gypsy_superfamily|gag|pol|internal_portion.	LTR	RNA	5034
DMCOPIA	0.926113163523235	26.271	25.23	21.946	26.734	24.877	26.845	24.482	26.152	1.67	0.095	1	242.69	1.6447997452298e-54	4	183.26	1.6447997452298e-54	30852	TRUE	FBte0000023	X02599	copia	Dmel	copia	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element|COPIA_DM;COPIA_DM_I|COPIA_DM_LTR|Copia_element|DMCOPIA;Long_terminal_repeat|Repetitive_element|internal_portion.	LTR	RNA	5143
DMCR1A	0.999328859060403	59.138	58.046	50.119	63.786	55.086	58.699	55.767	59.19	3.423	0.086	1	139.21	4.76199801869212e-32	4	171.62	4.76199801869212e-32	26814	TRUE	FBte0000140	nnnnnnnn	Cr1a	Dmel	Cr1a	non_LTR_retrotransposon	LINE	CR1	CR1	CR1	Drosophila_melanogaster	100	1	NA	CR1|Non-LTR_Retrotransposon|Transposable_Element;CR1_superfamily|DMCR1A|ORF1|ORF2.	non-LTR	RNA	4470
DMDM11	0.907342977476653	12.045	11.873	11.248	12.807	11.688	12.667	11.722	12.387	0.666	0.08	1	121.97	2.62563945461633e-28	4	50.31	2.62563945461633e-28	32760	TRUE	FBte0000042	X14037	micropia	Dmel	micropia	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Gypsy	Drosophila_melanogaster	99.911	1	NA	LTR_Retrotransposon|Transposable_Element|DM2|MICROPIA_I;MICROPIA_LTR|gag|pol|internal_portion.	LTR	RNA	5461
DME010298	0.90807570236276	13.817	13.802	13.212	13.966	13.972	13.543	13.61	13.827	0.216	0.023	1	10.9	0.000961439466743118	4	13.93	0.000961439466743118	51036	FALSE	FBte0000359	AJ010298	GATE	Dmel	GATE	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	1	BEL|LTR_Retrotransposon|Transposable_Element|Retrovirus;internal_portion|polyprotein|BATUMI_LTR|BATUMI_I.	LTR	RNA	8507
DME278684	0.994518402505873	11.753	12.482	11.718	12.886	12.865	11.4	11.984	12.384	0.399	0.047	1	53.25	3.0139581194787e-13	4	101.53	3.0139581194787e-13	30642	TRUE	FBte0000457	AJ278684	Rt1a	Dmel	Rt1a	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	98.01	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|DMRT1|DMRT1A|Waldo-B.	non-LTR	RNA	5108
DME487856	0.946937821411875	12.414	13.929	11.126	12.915	12.842	12.453	12.49	12.737	0.247	0.028	1	22.01	2.72201574528976e-06	4	244.47	2.72201574528976e-06	51330	TRUE	FBte0000304	AJ487856	Max-element	Dmel	Max-element	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element|BCDRP_superfamily;BEL-PAO_superfamily|MAX|MAX_I|MAX_LTR|endogenous_retrovirus;polyprotein|internal_portion.	LTR	RNA	8556
DME9736	0.861017406557819	17.229	17.366	14.179	18.53	15.623	17.198	16.258	17.117	0.859	0.074	1	112.51	2.9683083516581e-26	4	272.6	2.9683083516581e-26	44460	TRUE	FBte0000104	AJ009736	Idefix	Dmel	Idefix	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.968	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|gag|pol;Gypsy_superfamily|env|internal_portion|IDEFIX_I|IDEFIX_LTR.	LTR	RNA	7411
DMGYPF1A	0.878296960771188	4.328	3.59	3.631	3.631	3.846	3.851	3.85	3.776	-0.074	-0.028	1	14.58	0.000134688566239618	4	168.32	0.000134688566239618	44808	FALSE	FBte0000021	M12927	gypsy	Dmel	gypsy	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|GYPSY_DM;GYPSY_I|GYPSY_I.|GYPSY_LTR|endogenous_retrovirus|env|gag;pol|internal_portion.	LTR	RNA	7469
DMHFL1	1	19.86	16.22	16.854	18.927	18.321	19.949	17.645	19.066	1.421	0.112	1	65.43	6.39344580452172e-16	4	48.15	6.39344580452172e-16	17748	TRUE	FBte0000154	M69216	hobo	Dmel	hobo	terminal_inverted_repeat_element	DNA	hAT	hAT	hAT	Drosophila_melanogaster	99.791	1	NA	hAT|DNA_transposon|Transposable_Element|DMHOBOG|HOBO;Autonomous_DNA_transposon|hAT_superfamily|transposase.	TIR	DNA	2959
DMIFACA	0.999441444796127	25.025	24.457	20.072	25.953	21.473	21.518	23.185	22.981	-0.203	-0.013	1	14.37	0.000150477115475107	4	1621.6	0.000150477115475107	32220	FALSE	FBte0000133	M14954	I-element	Dmel	I-element	non_LTR_retrotransposon	LINE	I	I	I	Drosophila_melanogaster	99.963	1	NA	I|Non-LTR_Retrotransposon|Transposable_Element|DMI|I_DM.	non-LTR	RNA	5371
DMIS176	0.859255276246807	20.815	18.681	19.008	23.758	20.13	21.924	19.502	21.937	2.436	0.17	1	681.61	3.94532244009763e-149	4	176.66	3.94532244009763e-149	44628	TRUE	FBte0000109	X01472	17.6	Dmel	17.6	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|transposon;reverse_transcriptase|Long_terminal_repeat|Repetitive_element;Copia-like_element|DM176.	LTR	RNA	7439
DMIS297	0.900786275911365	21.289	17.872	16.082	22.938	18.306	19.786	18.414	20.343	1.929	0.144	1	537.61	3.45776489763148e-118	4	606.83	3.45776489763148e-118	41964	TRUE	FBte0000675	X03431	297	Dmel	297	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DM297_I;DM297_LTR|endogenous_retrovirus|Gypsy_superfamily|env|gag;pol|internal_portion.	LTR	RNA	6995
DMLINEJA	0.999003984063745	31.507	31.335	27.485	31.006	29.371	29.684	30.109	30.02	-0.088	-0.004	1	1.53	0.216805967484417	4	386.49	0.216805967484417	30114	FALSE	FBte0000088	M22874	jockey	Dmel	jockey	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;LINE_repetitive_sequence|dispersed_repetitive_element;long_interspersed_element|J1|LINEJ1_DM.	non-LTR	RNA	5020
DMMDG3	0.927523102011234	14.974	15.924	14.684	14.789	14.139	15.723	15.194	14.883	-0.31	-0.03	1	28.93	7.56200696315475e-08	4	105.56	7.56200696315475e-08	33108	TRUE	FBte0000010	X95908	mdg3	Dmel	mdg3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy-like_retrotransposon_MDG3|LTR|MDG3_DM;mobile_dispersed_genetic_element.	LTR	RNA	5519
DMPOGOR11	1	17.217	17.488	17.933	20.802	18.064	19.563	17.546	19.476	1.93	0.151	1	206.67	1.69286923989294e-46	4	37.2	1.69286923989294e-46	12720	TRUE	FBte0000568	X59837	pogo	Dmel	pogo	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Pogo	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|pogo;transposon.	TIR	DNA	2121
DMREPG	0.996318453750575	6.254	6.053	6.78	6.051	6.166	5.367	6.362	5.862	-0.501	-0.118	1	653.28	2.44837283350085e-142	4	284.14	2.44837283350085e-142	26070	TRUE	FBte0000657	X06950	G-element	Dmel	G-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;G_LINE-like_retrotransposon|G_DM|ORF1|ORF2.	non-LTR	RNA	4346
DMRER1DM	0.999813293502614	126.493	139.273	140.418	127.209	144.825	132.185	135.395	134.74	-0.655	-0.007	1	2.28	0.131479260194242	4	251.48	0.131479260194242	32130	FALSE	FBte0000118	X51968	R1A1-element	Dmel	R1A1-element	non_LTR_retrotransposon	LINE	Non-LTR_Retrotransposon	?	R1	Drosophila_melanogaster	100	1	NA	Non-LTR_Retrotransposon|Transposable_Element|transposon;reverse_transcriptase|integrase|retrotransposon|DMR1|R1_DM.	non-LTR	RNA	5356
DMRER2DM	1	22.411	24.015	27.227	24.865	22.523	22.055	24.551	23.148	-1.403	-0.085	1	274.23	3.23033756376077e-61	4	384.62	3.23033756376077e-61	21636	TRUE	FBte0000030	X51967	R2-element	Dmel	R2-element	non_LTR_retrotransposon	LINE	R2	R2	R2	Drosophila_melanogaster	100	1	NA	R2|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|protease|integrase|retrotransposon|LINE;R2_DM.	non-LTR	RNA	3607
DMRTMGD1	0.880882352941176	19.757	20.631	16.75	20.186	17.477	18.683	19.046	18.782	-0.264	-0.02	1	7.53	0.00605418728850396	4	216.32	0.00605418728850396	44874	FALSE	FBte0000015	X59545	mdg1	Dmel	mdg1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;LTR-retrotransposon|MDG1_I|MDG1_LTR|internal_portion.	LTR	RNA	7480
DMTHB1	0.994555353901996	8.574	9.012	8.004	9.423	8.231	8.759	8.53	8.804	0.274	0.046	1	12.23	0.000473330958594079	4	33.2	0.000473330958594079	9912	FALSE	FBte0000414	X01748	HB	Dmel	HB	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	1	Mariner/Tc1|DNA_transposon|Transposable_Element;Repetitive_sequence|transposon|unidentified_reading_frame;DMFB4|FB4_DM.	TIR	DNA	1653
DMTN1731	0.974612736660929	11.571	10.676	11.695	10.308	10.826	10.701	11.314	10.611	-0.703	-0.093	1	277.14	6.28338740284334e-62	4	71.53	6.28338740284334e-62	27882	TRUE	FBte0000003	X07656	1731	Dmel	1731	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element|LTR|gag;retrotransposon|internal_portion|gene|DM1731|DM1731_LTR;DM1731_I.	LTR	RNA	4648
DMTOM1_LTR	0.995121951219512	5.463	5.253	5.091	6.208	5.005	5.511	5.269	5.575	0.306	0.081	1	14.44	0.000148414240535565	4	20.56	0.000148414240535565	2454	FALSE	FBte0000400	NA	Tom1	Dmel	Tom1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DMTOM1_I;DMTOM1_LTR|Gypsy_group|Gypsy_superfamily;endogenous_retrovirus.	LTR	RNA	410
DMTRDNA	0.996515679442509	21.815	19.835	16.226	19.138	18.821	20.495	19.292	19.484	0.192	0.014	1	1.88	0.169862293110584	4	149.81	0.169862293110584	8604	FALSE	FBte0000670	X80025	hopper	Dmel	hopper	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	1	Transib|DNA_transposon|Transposable_Element|Nonautonomous;nonautonomous_DNA_transposon|TIR|DMTRDNA|M4DM.	TIR	DNA	1435
