Regime	Pop	Ins	LTR	TIR	nonLTR	RNA	DNA
Cont	Cont_B1	1911.5	69.426	583.222	1258.342	1327.768	583.732
Cont	Cont_B2	1804.678	72.109	535.021	1196.628	1268.737	535.941
Cont	Cont_B3	2076.845	67.179	632.977	1376.176	1443.355	633.49
Cont	Cont_B4	2152.126	65.233	525.759	1560.633	1625.866	526.26
Cont	Cont_B5	2068.499	59.297	626.112	1382.847	1442.144	626.355
Sel	Sel_O1	2073.792	82.833	724.994	1265.109	1347.942	725.85
Sel	Sel_O2	1907.476	75.654	683.963	1147.007	1222.661	684.815
Sel	Sel_O3	2066.99	78.183	767.185	1220.816	1298.999	767.991
Sel	Sel_O4	1944.964	75.867	698.241	1169.758	1245.625	699.339
Sel	Sel_O5	1769.003	69.238	625.995	1072.993	1142.231	626.772
