TEfam	TEpropCov	Cont_Ra	Cont_Rb	Sel_2La	Sel_2Lb	Sel_La	Sel_Lb	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS
1360	1	164.009	149.707	147.692	165.266	150.151	169.055	156.858	158.041	1.183	0.011	1	0.96	0.326908106758799	4	57.37	0.326908106758799	1194	FALSE	FBte0000559	AC005453	1360	Dmel	1360	terminal_inverted_repeat_element	DNA	P	P	P	Drosophila_melanogaster	97.979	1	1	P|DNA_transposon|Transposable_Element|HOPPEL;P-like_DNA_transposon|PROTOP|PROTOP.|PROTOP_A|TIR;insertion_element_1360|transposase.	TIR	DNA	3409	FALSE	FALSE
AF541951	0.8	0.892	0.676	0.605	0.738	0.691	0.774	0.784	0.702	-0.082	-0.159	1	27.79	1.6074487298256e-07	4	30.6	1.6074487298256e-07	1194	TRUE	FBte0000963	AF541951	Bari2	Dmel	Bari2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_erecta	94.081	2	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI1|DEBARI1;pseudogene|Repeat_region|transposase|transposon.	TIR	DNA	1064	FALSE	FALSE
AY561850	0.98	2.361	2.713	2.234	2.25	1.409	0.669	2.537	1.641	-0.896	-0.629	1	793.47	2.8034621746876e-134	4	330	2.8034621746876e-134	1194	TRUE	FBte0001206	AY561850	TART-A	Dmel	TART-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.794	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|TART-A;TART.	non-LTR	RNA	13424	FALSE	TRUE
BAGGINS	1	47.255	45.728	50.481	51.889	47.058	52.61	46.491	50.509	4.018	0.12	1	16.32	5.68912442544886e-05	4	3.68	5.68912442544886e-05	1194	TRUE	FBte0000906	nnnnnnnn	baggins	Dmel	baggins	non_LTR_retrotransposon	LINE	Loa	Loa	LOA	Drosophila_melanogaster	100	1	NA	Loa|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LOA_superfamily|BAGGINS1.	non-LTR	RNA	5453	FALSE	FALSE
BLOOD	0.805	10.452	6.354	9.144	10.887	6.053	9.944	8.403	9.007	0.604	0.1	1	2.27	0.132292855685019	4	25.12	0.132292855685019	1194	FALSE	FBte0000279	AY180916	blood	Dmel	blood	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.834	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|BLOOD|BLOODI;BLOOD_I|Gypsy_superfamily|LTRBLD_DM|TABOR_group|gag|protease;Retrovirus|reverse_transcriptase|internal_portion.	LTR	RNA	7410	FALSE	FALSE
BS	0.895	12.346	10.267	11.498	11.408	11.974	12.962	11.307	11.96	0.654	0.081	1	3.22	0.0731639323873742	4	5.2	0.0731639323873742	1194	FALSE	FBte0000780	nnnnnnnn	BS	Dmel	BS	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.375	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|LINE|BS.	non-LTR	RNA	5142	FALSE	FALSE
BS3	1	4.112	4.301	4.836	4.997	4.623	5.229	4.206	4.921	0.715	0.227	1	54.39	3.06301581156087e-13	4	4.27	3.06301581156087e-13	1194	TRUE	FBte0000420	nnnnnnnn	BS3	Dmel	BS3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS3_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	1790	TRUE	FALSE
CIRC	0.85	3.012	2.619	3.168	3.053	3.176	3.295	2.816	3.173	0.357	0.172	1	4.39	0.0364420439722438	4	0.69	0.0364420439722438	1194	FALSE	FBte0000616	nnnnnnnn	Circe	Dmel	Circe	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Composite	Drosophila_melanogaster	98.755	1	NA	LTR_Retrotransposon|Transposable_Element|CIRCE;composite_transposon|non_LTR_retrotransposon.	LTR	RNA	7450	TRUE	FALSE
DM06920	1	10.897	6.753	8.932	4.883	13.124	22.157	8.825	12.274	3.449	0.476	1	340	5.28878469828257e-67	4	925.97	5.28878469828257e-67	1194	TRUE	FBte0000143	U06920	HeT-A	Dmel	HeT-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.984	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|HETA;telomere.	non-LTR	RNA	6083	FALSE	FALSE
DM33463	0.985	7.77	5.728	4.906	7.14	6.348	9.1	6.749	6.873	0.124	0.026	1	0.11	0.742156497802811	4	14.76	0.742156497802811	1194	FALSE	FBte0001005	U33463	S-element	Dmel	S-element	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|S_DM|TIR;Tc1/mariner_superfamily|transposase.	TIR	DNA	1736	FALSE	FALSE
DMAURA	1	7.124	5.16	5.629	5.599	5.301	5.791	6.142	5.58	-0.562	-0.138	1	111.78	4.9143654340272e-25	4	136.25	4.9143654340272e-25	1194	TRUE	FBte0000112	nnnnnnnn	aurora-element	Dmel	aurora-element	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_simulans	97.228	2	NA	BEL|LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|internal_portion|PAO_subgroup|NINJA_I.	LTR	RNA	4263	FALSE	FALSE
DMBARI1	1	26.02	18.737	14.486	16.923	18.301	16.78	22.378	16.622	-5.756	-0.429	1	1264	2.00352084559917e-189	4	243.35	2.00352084559917e-189	1194	TRUE	FBte0000034	X67681	Bari1	Dmel	Bari1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI_DM;DMBARI1|Mobile_genetic_element|transposon.	TIR	DNA	1728	FALSE	TRUE
DMBLPP	0.995	4.216	3.813	3.818	5.377	3.317	5.399	4.015	4.478	0.463	0.158	1	3.14	0.07672486667323	4	9.66	0.07672486667323	1194	FALSE	FBte0000660	Z27119	flea	Dmel	flea	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	1	Gypsy|LTR_Retrotransposon|Transposable_Element|BLASTOPIA_I;BLASTOPIA_LTR|Gypsy_superfamily|gag|pol|internal_portion.	LTR	RNA	5034	FALSE	FALSE
DMCR1A	1	38.975	33.386	38.949	41.42	34.867	43.076	36.18	39.578	3.398	0.129	1	31.77	2.16788367236665e-08	4	27.77	2.16788367236665e-08	1194	TRUE	FBte0000140	nnnnnnnn	Cr1a	Dmel	Cr1a	non_LTR_retrotransposon	LINE	CR1	CR1	CR1	Drosophila_melanogaster	100	1	NA	CR1|Non-LTR_Retrotransposon|Transposable_Element;CR1_superfamily|DMCR1A|ORF1|ORF2.	non-LTR	RNA	4470	FALSE	FALSE
