TEfam	TEpropCov	CE	CP	HE	HP	LE	LP	CE1	CE2	CE3	CE4	CP1	CP2	CP3	CP4	HE1	HE2	HE3	HE4	HP1	HP2	HP3	HP4	LE1	LE2	LE3	LE4	LP1	LP2	LP3	LP4	Mean_Early	Mean_Postponed	Mean_Control	Mean_High	Mean_Low	Diff_PostEarly	log2Rat_PostEarly	Diff_HighCont	Diff_HighLow	Diff_ContLow	log2Rat_HighCont	log2Rat_HighLow	log2Rat_ContLow	Diff_PostEarlyCont	Diff_PostEarlyHigh	Diff_PostEarlyLow	log2Rat_PostEarlyCont	log2Rat_PostEarlyHigh	log2Rat_PostEarlyLow	Df_Diet	F_value_Diet	PvalFull_Diet	Df_Breeding	F_value_Breeding	PvalFull_Breeding	Df_Inter	F_value_Inter	PvalFull_Inter	Df_resid	Df_Low	F_value_Low	Pval_Low	Df_Low_nested	F_value_Low_nested	Pval_Low_nested	Df_Low_resid	Df_Cont	F_value_Cont	Pval_Cont	Df_Cont_nested	F_value_Cont_nested	Pval_Cont_nested	Df_Cont_resid	Df_High	F_value_High	Pval_High	Df_High_nested	F_value_High_nested	Pval_High_nested	Df_High_resid	Bonf_Full	Bonf_Low	Bonf_Cont	Bonf_High	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS	ConsSCav	ConsCSav	ConsSC_L	ConsCS_L	ConsSC_C	ConsCS_C	ConsSC_H	ConsCS_H
1360	1	189.43771	222.397076	225.547401	215.818748	203.660227	219.276844	219.760235	207.474325	221.692925	108.823355	224.600505	215.16229	228.88093	220.94458	232.78097	225.14593	223.231985	221.03072	209.32031	217.63869	218.854915	217.461075	207.796225	206.936085	201.59787	198.31073	223.568275	220.885915	209.65338	222.999805	206.215	219.164	205.917	220.683	211.469	12.949	0.088	14.766	9.215	-5.551	0.1	0.062	-0.038	32.959	-9.729	15.617	0.231	-0.064	0.107	2	58.2	1.06561091990181e-25	1	131.57	4.56210645096439e-30	2	120.55	8.28998632628505e-52	4794	1	86.9350707030344	3.61958905136217e-20	6	5.59017278604994	9.4519334013085e-06	1592	1	398.919318150314	2.23289669608153e-79	6	271.90243912668	1.09394517790763e-239	1592	1	30.6081004845188	3.68588336288101e-08	6	3.65716454045354	0.00130498561385393	1592	TRUE	TRUE	TRUE	TRUE	FBte0000559	AC005453	1360	Dmel	1360	terminal_inverted_repeat_element	DNA	P	P	P	Drosophila_melanogaster	97.979	1	1	P|DNA_transposon|Transposable_Element|HOPPEL;P-like_DNA_transposon|PROTOP|PROTOP.|PROTOP_A|TIR;insertion_element_1360|transposase.	TIR	DNA	3409	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
AF541951	0.93	0.898971	1.105103	1.117926	1.08777	1.073077	1.07112	0.954945	0.895	1.128935	0.617005	1.15059	1.0903	1.094945	1.084575	1.275425	1.079365	1.038755	1.07816	1.04239	1.223945	1.08933	0.995415	1.17256	1.137235	0.9663	1.016215	1.056265	1.00426	1.03525	1.188705	1.03	1.088	1.002	1.103	1.072	0.058	0.079	0.101	0.031	-0.07	0.138	0.041	-0.098	0.206	-0.03	-0.002	0.298	-0.039	-0.003	2	32.87	6.6028975260535e-15	1	31.08	2.61633937206923e-08	2	51.27	9.25675703523143e-23	4794	1	0.012633547757766	0.910521174043558	6	13.3121505611487	9.10794725663242e-15	1592	1	163.193742130905	1.196800928462e-35	6	44.2805944556936	2.91689720208701e-50	1592	1	2.7073965696177	0.100081282150721	6	15.6986634427152	1.39235494449729e-17	1592	TRUE	FALSE	TRUE	FALSE	FBte0000963	AF541951	Bari2	Dmel	Bari2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_erecta	94.081	2	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI1|DEBARI1;pseudogene|Repeat_region|transposase|transposon.	TIR	DNA	1064	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AY561850	1	2.581188	3.805544	3.6308	4.16842	4.539066	4.037159	2.947535	2.810475	3.424445	1.142295	4.489965	3.62098	3.04689	4.06434	4.2564	3.82094	2.906415	3.539445	4.14301	4.372685	4.224625	3.93336	4.930295	4.710885	4.243075	4.27201	5.79426	2.915615	2.93462	4.50414	3.584	4.004	3.193	3.9	4.288	0.42	0.16	0.706	-0.389	-1.095	0.288	-0.137	-0.425	1.224	0.538	-0.502	0.56	0.199	-0.169	2	275.34	6.40315481588315e-114	1	118.27	3.13889862851754e-27	2	168.8	1.43884149239234e-71	4794	1	60.6797495955317	1.20244633244292e-14	6	122.856403348388	9.21961116505439e-128	1592	1	610.557615394123	2.2665146823875e-114	6	139.611357186201	2.69681575592447e-142	1592	1	87.0226223010054	3.47080381338934e-20	6	26.6302400719674	2.34446002088416e-30	1592	TRUE	TRUE	TRUE	TRUE	FBte0001206	AY561850	TART-A	Dmel	TART-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.794	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|TART-A;TART.	non-LTR	RNA	13424	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
BAGGINS	1	51.643771	51.531921	55.369498	51.093826	46.258702	52.20641	53.795345	50.2762	53.48381	49.01973	54.42168	51.588675	50.81934	49.29799	58.958355	53.29918	54.939235	54.28122	50.672235	47.89246	52.09594	53.71467	47.870345	47.497875	44.89235	44.77424	52.503895	51.24151	48.97967	56.100565	51.091	51.611	51.588	53.232	49.233	0.52	0.015	1.644	3.999	2.355	0.045	0.113	0.067	-0.112	-4.276	5.948	-0.003	-0.116	0.175	2	25.16	1.3501094248182e-11	1	1.26	0.261115928049634	2	41.14	1.92088826482995e-18	4794	1	63.450020005205	3.10484752793543e-15	6	5.20142050874754	2.59659991007957e-05	1592	1	0.0199898888385807	0.887583214911764	6	4.07760297346225	0.000457939671835818	1592	1	25.4301775478259	5.1114672994666e-07	6	4.26993917023714	0.000282066776935735	1592	FALSE	TRUE	FALSE	TRUE	FBte0000906	nnnnnnnn	baggins	Dmel	baggins	non_LTR_retrotransposon	LINE	Loa	Loa	LOA	Drosophila_melanogaster	100	1	NA	Loa|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LOA_superfamily|BAGGINS1.	non-LTR	RNA	5453	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
BLOOD	0.805	9.824859	8.928795	11.572024	9.473509	10.969762	9.57878	11.279925	9.637145	10.780795	7.60157	9.14796	8.60498	9.020995	8.941245	10.932795	11.746185	11.45886	12.150255	9.41286	9.35569	9.556205	9.56928	11.472765	11.613415	10.719415	10.073455	9.37067	9.839785	9.263265	9.8414	10.789	9.327	9.377	10.523	10.274	-1.462	-0.21	1.146	0.248	-0.897	0.166	0.034	-0.132	-0.896	-2.099	-1.391	-0.138	-0.289	-0.196	2	10.87	1.94619411851469e-05	1	47.95	4.9487048914496e-12	2	2.73	0.065206770081443	4794	1	14.0007899031352	0.000189220584147862	6	1.09344274285303	0.363925214142725	1592	1	6.96736903564397	0.00838199482659713	6	5.9084796070435	4.11065433924929e-06	1592	1	30.2067105246576	4.51562932831652e-08	6	0.468531516458316	0.832017237633453	1592	TRUE	FALSE	FALSE	TRUE	FBte0000279	AY180916	blood	Dmel	blood	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.834	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|BLOOD|BLOODI;BLOOD_I|Gypsy_superfamily|LTRBLD_DM|TABOR_group|gag|protease;Retrovirus|reverse_transcriptase|internal_portion.	LTR	RNA	7410	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
BS	0.915	15.41667	17.974463	18.059369	17.285263	16.72975	18.085569	17.74805	17.27569	17.700805	8.942135	17.948155	18.39524	17.9742	17.580255	18.290845	17.123835	18.072685	18.75011	16.654535	17.5225	17.142605	17.82141	16.871235	16.409845	17.40484	16.23308	18.455385	17.776115	17.51619	18.594585	16.735	17.782	16.696	17.672	17.408	1.047	0.088	0.977	0.265	-0.712	0.082	0.022	-0.06	2.558	-0.774	1.356	0.221	-0.063	0.112	2	5.26	0.0052146858519386	1	16.94	3.92978723795641e-05	2	14.68	4.41903933010618e-07	4794	1	9.73574623442433	0.00183962267995316	6	0.724081559893012	0.630228356958294	1592	1	36.152601876955	2.25832228226594e-09	6	25.9542670830886	1.416829550077e-29	1592	1	3.06545325130831	0.0801654519977973	6	0.924216030825029	0.476321715306173	1592	TRUE	FALSE	TRUE	FALSE	FBte0000780	nnnnnnnn	BS	Dmel	BS	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.375	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|LINE|BS.	non-LTR	RNA	5142	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
BS3	1	5.325992	6.230535	5.963572	5.941451	5.849032	6.068736	6.055735	5.73541	6.04244	3.470385	6.242845	5.99261	6.216045	6.47064	6.275355	6.119085	5.813775	5.646075	5.58575	6.04097	5.969685	6.1694	6.025995	5.86708	5.863345	5.63971	5.95529	5.996215	6.050665	6.272775	5.713	6.08	5.778	5.953	5.959	0.367	0.09	0.174	-0.006	-0.181	0.043	-0.002	-0.044	0.905	-0.022	0.22	0.226	-0.005	0.053	2	4.54	0.0107565188008224	1	43.71	4.21298461097951e-11	2	24.94	1.67133888067859e-11	4794	1	5.38204761212131	0.0204709052742078	6	1.26133678369839	0.272177682437867	1592	1	92.4916200148371	2.53503620089551e-21	6	44.9473245039303	5.39885678114702e-51	1592	1	0.0582640870984694	0.809292045574048	6	4.30438887872776	0.0002585318152214	1592	TRUE	FALSE	TRUE	FALSE	FBte0000420	nnnnnnnn	BS3	Dmel	BS3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS3_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	1790	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
CIRC	0.845	3.523135	3.448558	3.753357	3.222916	3.102081	3.531416	3.64203	3.305425	4.071625	3.07346	3.63019	3.45743	3.499375	3.207235	3.94658	3.792205	3.66912	3.605525	3.047945	3.109135	3.402645	3.33194	3.272835	3.20905	3.21111	2.71533	3.61242	3.252335	3.449835	3.811075	3.46	3.401	3.486	3.488	3.317	-0.059	-0.025	0.002	0.171	0.169	0.001	0.073	0.072	-0.075	-0.53	0.429	-0.031	-0.22	0.187	2	1.32	0.267218921284604	1	0.35	0.553351750175396	2	7.87	0.000386131100216026	4794	1	6.77780575846899	0.00931561055124824	6	1.13796379027019	0.337648208636697	1592	1	0.185598419395265	0.666663866350143	6	1.83110723094676	0.0895377270230807	1592	1	9.18582987940414	0.00247828633196464	6	0.423171429223573	0.863942762057576	1592	FALSE	FALSE	FALSE	FALSE	FBte0000616	nnnnnnnn	Circe	Dmel	Circe	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Composite	Drosophila_melanogaster	98.755	1	NA	LTR_Retrotransposon|Transposable_Element|CIRCE;composite_transposon|non_LTR_retrotransposon.	LTR	RNA	7450	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
DM06920	1	12.128696	25.280956	16.906288	25.675239	16.136512	20.477396	13.514485	16.12371	13.02374	5.85285	21.830615	28.75129	29.014545	21.527375	18.703915	18.79134	14.601985	15.52791	25.61551	29.11054	26.44133	21.533575	15.310045	14.397145	16.749635	18.089225	25.521175	18.534635	18.9949	18.858875	15.057	23.811	18.705	21.291	18.307	8.754	0.661	2.586	2.984	0.398	0.187	0.218	0.031	13.152	8.769	4.341	1.06	0.603	0.344	2	127.02	1.77260569075144e-54	1	2781.35	0	2	234.83	5.09471990930392e-98	4794	1	353.271919649486	2.44603256420997e-71	6	65.5065717144276	6.64697579303679e-73	1592	1	2734.4977143439	0	6	144.965932341697	8.14424281895973e-147	1592	1	1084.49831746462	7.94395797406947e-182	6	51.1727013191288	9.11191648170072e-58	1592	TRUE	TRUE	TRUE	TRUE	FBte0000143	U06920	HeT-A	Dmel	HeT-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.984	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|HETA;telomere.	non-LTR	RNA	6083	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
DM33463	1	18.730567	24.476449	24.916363	23.161044	22.778225	25.250565	24.29547	23.06138	23.813355	3.752065	25.206535	23.650155	25.129045	23.92006	26.269915	24.03906	24.83447	24.522005	22.477005	23.406665	23.140615	23.61989	23.64226	23.081365	22.604345	21.78493	25.141085	25.728755	24.87254	25.25988	22.142	24.296	21.604	24.039	24.014	2.154	0.134	2.435	0.024	-2.411	0.154	0.001	-0.153	5.746	-1.755	2.472	0.386	-0.105	0.149	2	5.66	0.0035096647729411	1	10.06	0.0015214432177433	2	10.22	3.71249664285753e-05	4794	1	4.3410742529571	0.0373626272203228	6	0.132509208992582	0.992184349549931	1592	1	26.4615342582673	3.02169274195298e-07	6	20.1620217521168	7.87195282577448e-23	1592	1	2.17958866428161	0.140049598624734	6	0.206511525765435	0.974855543655395	1592	FALSE	FALSE	TRUE	FALSE	FBte0001005	U33463	S-element	Dmel	S-element	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|S_DM|TIR;Tc1/mariner_superfamily|transposase.	TIR	DNA	1736	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
