Type	Pop	Breeding	Diet	Ins	LTR	TIR	nonLTR	RNA	DNA
CE	CE1	Early	Control	1375.29193	57.19074	490.32837	825.936425	883.127165	492.164765
CE	CE2	Early	Control	1290.80727	52.39023	459.83957	776.409335	828.799565	462.007705
CE	CE3	Early	Control	1387.45962	58.850195	490.780565	836.26465	895.114845	492.344775
CE	CE4	Early	Control	799.96781	41.12487	222.473885	535.88516	577.01003	222.95778
CP	CP1	Postponed	Control	1431.954135	56.357325	505.161695	868.528855	924.88618	507.067955
CP	CP2	Postponed	Control	1366.39935	52.62231	476.238525	835.6785	888.30081	478.09854
CP	CP3	Postponed	Control	1425.59143	55.32474	504.407365	863.766145	919.090885	506.500545
CP	CP4	Postponed	Control	1374.401185	55.23801	485.767805	831.36207	886.60008	487.801105
HE	HE1	Early	High	1506.286355	63.453725	516.13327	925.07098	988.524705	517.76165
HE	HE2	Early	High	1409.64539	59.174095	493.2192	855.279205	914.4533	495.19209
HE	HE3	Early	High	1397.729485	57.85978	493.025235	844.55479	902.41457	495.314915
HE	HE4	Early	High	1398.344095	58.6442	493.76529	843.9075	902.5517	495.792395
HP	HP1	Postponed	High	1312.350555	50.904125	465.020505	794.42946	845.333585	467.01697
HP	HP2	Postponed	High	1362.132805	53.721645	485.80739	820.57369	874.295335	487.83747
HP	HP3	Postponed	High	1365.98734	53.750635	484.040275	826.14239	879.893025	486.094315
HP	HP4	Postponed	High	1348.123085	53.519505	483.18378	809.73022	863.249725	484.87336
LE	LE1	Early	Low	1318.53559	52.55344	471.05907	792.998615	845.552055	472.983535
LE	LE2	Early	Low	1289.014255	52.422635	464.837165	770.090925	822.51356	466.500695
LE	LE3	Early	Low	1254.445225	49.888355	454.37149	748.513525	798.40188	456.043345
LE	LE4	Early	Low	1233.1252	47.958005	449.21512	734.30826	782.266265	450.858935
LP	LP1	Postponed	Low	1419.303915	54.405225	496.764115	866.204245	920.60947	498.694445
LP	LP2	Postponed	Low	1381.451415	53.32442	494.69817	831.178	884.50242	496.948995
LP	LP3	Postponed	Low	1322.961345	51.64377	468.376645	801.01475	852.65852	470.302825
LP	LP4	Postponed	Low	1414.78852	55.95774	495.64983	860.813315	916.771055	498.017465
