Study	Regime	Pop	Diet	Type	Ins	LTR	TIR	nonLTR	RNA	DNA
Carnes	Cont	Cont_B1	NA	NA	2140.765	956.126	313.462	809.662	1765.788	374.977
Carnes	Cont	Cont_B2	NA	NA	2022.066	894.619	311.677	774.967	1669.586	352.48
Carnes	Cont	Cont_B3	NA	NA	2212.913	953.522	355.876	845.647	1799.169	413.744
Carnes	Cont	Cont_B4	NA	NA	2401.766	1025.993	279.899	1041.259	2067.252	334.514
Carnes	Cont	Cont_B5	NA	NA	2265.089	922.551	339.702	905.83	1828.381	436.708
Carnes	Sel	Sel_O1	NA	NA	2477.226	1076.05	459.309	871.579	1947.629	529.597
Carnes	Sel	Sel_O2	NA	NA	2249.206	1012.033	412.311	773.536	1785.569	463.637
Carnes	Sel	Sel_O3	NA	NA	2301.168	996.372	455.118	788.226	1784.598	516.57
Carnes	Sel	Sel_O4	NA	NA	2378.848	1061.643	437.784	813.039	1874.682	504.166
Carnes	Sel	Sel_O5	NA	NA	2232.064	979.741	399.803	796.302	1776.043	456.021
Fabian	Cont	Cont_Ra	NA	NA	1517.284	557.129	227.173	716.192	1273.321	243.963
Fabian	Cont	Cont_Rb	NA	NA	1335.037	473.554	187.276	654.495	1128.049	206.988
Fabian	Sel	Sel_2La	NA	NA	1382.279	482.647	172.31	715.331	1197.978	184.301
Fabian	Sel	Sel_2Lb	NA	NA	1385.877	508.189	198.294	660.496	1168.685	217.192
Fabian	Sel	Sel_La	NA	NA	1376.255	485.787	193.318	679.7	1165.487	210.768
Fabian	Sel	Sel_Lb	NA	NA	1476.97	535.13	217.58	705.284	1240.414	236.556
Remolina	Cont	Cont_1	NA	NA	1572.57	650.354	241.086	681.13	1331.484	241.086
Remolina	Cont	Cont_2	NA	NA	1567.052	631.009	234.9	701.143	1332.152	234.9
Remolina	Cont	Cont_3	NA	NA	1441.067	569.072	213.381	658.614	1227.686	213.381
Remolina	Sel	Sel_1	NA	NA	1629.235	670.22	247.483	711.532	1381.752	247.483
Remolina	Sel	Sel_2	NA	NA	1517.691	605.626	225.704	686.361	1291.987	225.704
Remolina	Sel	Sel_3	NA	NA	1565.124	641.689	242.523	680.912	1322.601	242.523
Hoedjes	Cont	CE1	Control	CE	1639.8237230235	621.89190275745	318.725506152223	663.113107965545	1285.005010723	354.818712300506
Hoedjes	Cont	CE2	Control	CE	1536.41345697962	583.469644855922	297.34035255686	618.284421592154	1201.75406644808	334.659390531544
Hoedjes	Cont	CE3	Control	CE	1642.84419824286	613.873335076308	318.345908680185	675.955961719637	1289.82929679594	353.014901446912
Hoedjes	Cont	CE4	Control	CE	1338.38268417361	448.860526157804	159.278166786318	721.558184719538	1170.41871087734	167.963973296264
Hoedjes	Sel	CP1	Control	CP	1668.25379123705	631.60666780953	328.441688988079	672.233329556984	1303.83999736651	364.413793870538
Hoedjes	Sel	CP2	Control	CP	1583.68839389845	598.329195755359	306.616280884388	644.68565776503	1243.01485352039	340.673540378059
Hoedjes	Sel	CP3	Control	CP	1657.77841361322	627.123890395681	327.77721006159	664.910207369327	1292.03409776501	365.744315848209
Hoedjes	Sel	CP4	Control	CP	1617.05925808617	613.121628865881	317.192241737759	650.25490194908	1263.37653081496	353.682727271213
Hoedjes	Cont	HE1	High	HE	1768.14521189529	660.496705933403	336.490748426433	733.687404009235	1394.18410994264	373.961101952654
Hoedjes	Cont	HE2	High	HE	1654.8659491956	622.044159762904	319.315100781478	672.90506749389	1294.94922725679	359.916721938802
Hoedjes	Cont	HE3	High	HE	1654.90876878918	627.744814107283	320.614968498298	666.246179673656	1293.99099378094	360.917775008244
Hoedjes	Cont	HE4	High	HE	1641.81478239586	624.453807435259	321.130196746538	658.140633548603	1282.59444098386	359.220341411999
Hoedjes	Sel	HP1	High	HP	1537.81000365007	576.970850524827	299.4565737768	625.595156201971	1202.5660067268	335.243996923274
Hoedjes	Sel	HP2	High	HP	1595.40656309875	605.848662568214	316.428318079849	635.628213553761	1241.47687612197	353.929686976775
Hoedjes	Sel	HP3	High	HP	1601.55267607766	603.106506536179	312.474437614912	649.736702089318	1252.8432086255	348.709467452163
Hoedjes	Sel	HP4	High	HP	1587.40898279036	600.84914390816	310.994074853099	639.491278495644	1240.3404224038	347.068560386553
Hoedjes	Cont	LE1	Low	LE	1555.55743016045	591.306049285257	308.797237591383	617.670954314554	1208.97700359981	346.580426560641
Hoedjes	Cont	LE2	Low	LE	1527.31987655004	578.2407393505	302.440801008785	610.4937023752	1188.7344417257	338.585434824336
Hoedjes	Cont	LE3	Low	LE	1487.22821675507	565.689287526033	293.588254930853	592.923566703243	1158.61285422928	328.615362525789
Hoedjes	Cont	LE4	Low	LE	1460.29604691811	556.532878298212	293.825864382346	575.9063982701	1132.43927656831	327.856770349796
Hoedjes	Sel	LP1	Low	LP	1648.4718541198	624.859896422384	323.613692141825	664.141487978734	1289.00138440112	359.470469718679
Hoedjes	Sel	LP2	Low	LP	1617.39569777908	618.937921290145	319.878165013864	641.969221782483	1260.90714307263	356.488554706449
Hoedjes	Sel	LP3	Low	LP	1560.92232190182	593.965833127492	305.511990872882	625.720000613925	1219.68583374142	341.236488160404
Hoedjes	Sel	LP4	Low	LP	1656.05973336005	624.38565352432	321.801029157129	671.38078756829	1295.76644109261	360.293292267436
