Study	Regime	Pop	Diet	Type	Ins	LTR	TIR	nonLTR	RNA	DNA
Carnes	Cont	Cont_B1	NA	NA	1911.5	69.426	583.222	1258.342	1327.768	583.732
Carnes	Cont	Cont_B2	NA	NA	1804.678	72.109	535.021	1196.628	1268.737	535.941
Carnes	Cont	Cont_B3	NA	NA	2076.845	67.179	632.977	1376.176	1443.355	633.49
Carnes	Cont	Cont_B4	NA	NA	2152.126	65.233	525.759	1560.633	1625.866	526.26
Carnes	Cont	Cont_B5	NA	NA	2068.499	59.297	626.112	1382.847	1442.144	626.355
Carnes	Sel	Sel_O1	NA	NA	2073.792	82.833	724.994	1265.109	1347.942	725.85
Carnes	Sel	Sel_O2	NA	NA	1907.476	75.654	683.963	1147.007	1222.661	684.815
Carnes	Sel	Sel_O3	NA	NA	2066.99	78.183	767.185	1220.816	1298.999	767.991
Carnes	Sel	Sel_O4	NA	NA	1944.964	75.867	698.241	1169.758	1245.625	699.339
Carnes	Sel	Sel_O5	NA	NA	1769.003	69.238	625.995	1072.993	1142.231	626.772
Fabian	Cont	Cont_Ra	NA	NA	1017.172	48.764	348.121	619.575	668.339	348.833
Fabian	Cont	Cont_Rb	NA	NA	882.46	38.57	298.802	544.463	583.033	299.427
Fabian	Sel	Sel_2La	NA	NA	929.163	45.336	267.45	615.899	661.235	267.928
Fabian	Sel	Sel_2Lb	NA	NA	939.873	47.92	309.998	581.014	628.934	310.939
Fabian	Sel	Sel_La	NA	NA	915.102	39.58	297.339	577.589	617.169	297.933
Fabian	Sel	Sel_Lb	NA	NA	1036.726	51.688	338.654	645.534	697.222	339.504
Remolina	Cont	Cont_1	NA	NA	1120.16	50.595	382.19	687.375	737.97	382.19
Remolina	Cont	Cont_2	NA	NA	1142.665	49.5	388.174	704.991	754.491	388.174
Remolina	Cont	Cont_3	NA	NA	1039.145	47.148	343.748	648.249	695.397	343.748
Remolina	Sel	Sel_1	NA	NA	1187.021	50.013	388.235	748.773	798.786	388.235
Remolina	Sel	Sel_2	NA	NA	1093.89	47.688	366.149	680.053	727.741	366.149
Remolina	Sel	Sel_3	NA	NA	1143.514	49.72	383.022	710.772	760.492	383.022
Hoedjes	Cont	CE1	Control	CE	1375.29193	57.19074	490.32837	825.936425	883.127165	492.164765
Hoedjes	Cont	CE2	Control	CE	1290.80727	52.39023	459.83957	776.409335	828.799565	462.007705
Hoedjes	Cont	CE3	Control	CE	1387.45962	58.850195	490.780565	836.26465	895.114845	492.344775
Hoedjes	Cont	CE4	Control	CE	799.96781	41.12487	222.473885	535.88516	577.01003	222.95778
Hoedjes	Sel	CP1	Control	CP	1431.954135	56.357325	505.161695	868.528855	924.88618	507.067955
Hoedjes	Sel	CP2	Control	CP	1366.39935	52.62231	476.238525	835.6785	888.30081	478.09854
Hoedjes	Sel	CP3	Control	CP	1425.59143	55.32474	504.407365	863.766145	919.090885	506.500545
Hoedjes	Sel	CP4	Control	CP	1374.401185	55.23801	485.767805	831.36207	886.60008	487.801105
Hoedjes	Cont	HE1	High	HE	1506.286355	63.453725	516.13327	925.07098	988.524705	517.76165
Hoedjes	Cont	HE2	High	HE	1409.64539	59.174095	493.2192	855.279205	914.4533	495.19209
Hoedjes	Cont	HE3	High	HE	1397.729485	57.85978	493.025235	844.55479	902.41457	495.314915
Hoedjes	Cont	HE4	High	HE	1398.344095	58.6442	493.76529	843.9075	902.5517	495.792395
Hoedjes	Sel	HP1	High	HP	1312.350555	50.904125	465.020505	794.42946	845.333585	467.01697
Hoedjes	Sel	HP2	High	HP	1362.132805	53.721645	485.80739	820.57369	874.295335	487.83747
Hoedjes	Sel	HP3	High	HP	1365.98734	53.750635	484.040275	826.14239	879.893025	486.094315
Hoedjes	Sel	HP4	High	HP	1348.123085	53.519505	483.18378	809.73022	863.249725	484.87336
Hoedjes	Cont	LE1	Low	LE	1318.53559	52.55344	471.05907	792.998615	845.552055	472.983535
Hoedjes	Cont	LE2	Low	LE	1289.014255	52.422635	464.837165	770.090925	822.51356	466.500695
Hoedjes	Cont	LE3	Low	LE	1254.445225	49.888355	454.37149	748.513525	798.40188	456.043345
Hoedjes	Cont	LE4	Low	LE	1233.1252	47.958005	449.21512	734.30826	782.266265	450.858935
Hoedjes	Sel	LP1	Low	LP	1419.303915	54.405225	496.764115	866.204245	920.60947	498.694445
Hoedjes	Sel	LP2	Low	LP	1381.451415	53.32442	494.69817	831.178	884.50242	496.948995
Hoedjes	Sel	LP3	Low	LP	1322.961345	51.64377	468.376645	801.01475	852.65852	470.302825
Hoedjes	Sel	LP4	Low	LP	1414.78852	55.95774	495.64983	860.813315	916.771055	498.017465
