TEfam	flybase_name	fb_id	TEsubclass	TEclass	Cont_B1	Cont_B2	Cont_B3	Cont_B4	Cont_B5	Sel_O1	Sel_O2	Sel_O3	Sel_O4	Sel_O5	Mean_Cont	Mean_Sel	ConsistSC	ConsistCS
1360	1360	FBte0000559	TIR	DNA	271584.884	250523.192	284752.753	244977.394	278865.425	318726.329	286436.768	414017.052	354190.039	276524.957	266140.7296	329979.029	FALSE	FALSE
412	412	FBte0000007	LTR	RNA	304230.451	250475.535	240560.124	244873.081	197851.269	374130.958	337416.207	317759.922	371792.78	336534.505	247598.092	347526.8744	TRUE	FALSE
ACCORD	accord	FBte0000956	LTR	RNA	111943.018	68754.161	79583.114	144750.578	126109.68	89826.103	78988.769	81018.816	84323.285	73701.256	106228.1102	81571.6458	FALSE	FALSE
AF222049	Transpac	FBte0001377	LTR	RNA	113023.597	115991.713	144659.345	173539.519	150977.779	149685.272	159894.099	146339.549	161089.835	167930.766	139638.3906	156987.9042	FALSE	FALSE
AF541951	Bari2	FBte0000963	TIR	DNA	1163.91	1055.607	943.017	1378.759	1405.645	1857.112	1902.546	848.014	1421.526	1665.95	1189.3876	1539.0296	FALSE	FALSE
BAGGINS	baggins	FBte0000906	non-LTR	RNA	93256.069	127104.567	108532.914	66499.381	63199.924	165717.502	140930.683	148265.494	150346.96	150802.779	91718.571	151212.6836	TRUE	FALSE
Beagle	HMS-Beagle	FBte0000726	LTR	RNA	128006.397	134982.239	153119.218	157848.094	144844.371	162023.32	170251.114	173768.042	154043.685	148295.234	143760.0638	161676.279	FALSE	FALSE
Beagle2	HMS-Beagle2	FBte0001399	LTR	RNA	82396.69	89299.668	95899.166	84231.927	72094.27	112887.947	102744.235	105829.492	109824.904	107897.39	84784.3442	107836.7936	TRUE	FALSE
BLOOD	blood	FBte0000279	LTR	RNA	227542.375	266690.114	235690.299	212586.083	225115.257	227502.536	155717.87	199623.819	203564.956	193795.187	233524.8256	196040.8736	FALSE	FALSE
BS	BS	FBte0000780	non-LTR	RNA	46239.53	62253.311	47644.401	47160.548	56757.382	65091.105	50573.077	57149.536	61681.348	60473.467	52011.0344	58993.7066	FALSE	FALSE
BS3	BS3	FBte0000420	non-LTR	RNA	8640.544	13358.81	12091.218	7697.923	8256.86	17167.928	14085.087	15206.581	15016.775	15117.433	10009.071	15318.7608	TRUE	FALSE
BS4	BS4	FBte0001042	non-LTR	RNA	699.795	1041.172	835.364	743.904	602.915	1221.543	1191.144	1151.643	1304.726	1324.245	784.63	1238.6602	TRUE	FALSE
CIRC	Circe	FBte0000616	LTR	RNA	207062.61	220950.023	204017.088	151768.38	126601.354	290365.928	250531.639	246452.317	273516.382	257459.023	182079.891	263665.0578	TRUE	FALSE
DIVER2	diver2	FBte0001178	LTR	RNA	28390.913	32373.174	31692.502	23002.329	23966.383	38089.612	33337.997	35430.127	36026.833	38412.485	27885.0602	36259.4108	TRUE	FALSE
DM_ROO	roo	FBte0000100	LTR	RNA	1050740.721	1117169.57	1031855.373	1066613.467	956967.177	1269374.326	1343920.665	1214990.526	1327918.893	1156589.125	1044669.2616	1262558.707	TRUE	FALSE
DM06920	HeT-A	FBte0000143	non-LTR	RNA	80127.305	50814.384	95951.511	68185.726	93867.587	57303.954	88505.278	85507.383	108743.56	59054.219	77789.3026	79822.8788	FALSE	FALSE
DM23420	3S18	FBte0000266	LTR	RNA	61046.31	85204.512	79860.094	54543.586	57170.789	90606.462	67807.276	68913.547	79275.419	93939.066	67565.0582	80108.354	FALSE	FALSE
DM33463	S-element	FBte0001005	TIR	DNA	24425.993	27939.889	26546.598	23354.197	29297.308	42404.165	38026.001	35643.888	36904.219	34567.194	26312.797	37509.0934	TRUE	FALSE
DM88	Dm88	FBte0000267	LTR	RNA	61448.808	77486.226	72481.324	69576.91	74132.614	94063.853	86956.416	87764.644	92593.556	87627.947	71025.1764	89801.2832	TRUE	FALSE
DMBARI1	Bari1	FBte0000034	TIR	DNA	82639.316	71509.516	137360.368	79968.085	88297.452	154764.929	107407.335	113752.537	129456.255	127007.299	91954.9474	126477.671	FALSE	FALSE
DMBLPP	flea	FBte0000660	LTR	RNA	87482.578	98895.287	80784.56	131338.948	104364.449	100648.479	103247.538	100417.553	114079.891	87644.166	100573.1644	101207.5254	FALSE	FALSE
DMCOPIA	copia	FBte0000023	LTR	RNA	773844.685	469664.688	635105.857	419626.87	465024.875	277602.576	288754.585	277184.074	316289.644	272558.108	552653.395	286477.7974	FALSE	TRUE
DMCR1A	Cr1a	FBte0000140	non-LTR	RNA	299368.809	293179.71	296477.966	266228.773	291242.573	381152.155	341423.942	348680.022	366440.965	348150.007	289299.5662	357169.4182	TRUE	FALSE
DMDM11	micropia	FBte0000042	LTR	RNA	74284.885	77227.389	72712.409	69116.193	50433.097	100208.052	86881.004	88800.147	92124.081	86488.469	68754.7946	90900.3506	TRUE	FALSE
DME010298	GATE	FBte0000359	LTR	RNA	87933.698	102998.311	88677.866	80201.821	85898.91	120759.8	100515.274	105241.817	108479.714	118697.77	89142.1212	110738.875	FALSE	FALSE
DME278684	Rt1a	FBte0000457	non-LTR	RNA	33401.127	46111.056	44754.374	26050.351	25316.555	49266.487	44058.408	46219.282	43677.775	50203.129	35126.6926	46685.0162	FALSE	FALSE
DME487856	Max-element	FBte0000304	LTR	RNA	100472.613	109583.906	89199.808	99809.814	90088.235	110935.179	92795.701	105234.199	101281.427	103629.588	97830.8752	102775.2188	FALSE	FALSE
DME9736	Idefix	FBte0000104	LTR	RNA	145872.551	163442.191	167273.959	214186.461	188486.409	267540.803	245658.808	219436.673	267216.513	250795.125	175852.3142	250129.5844	TRUE	FALSE
DMGYPF1A	gypsy	FBte0000021	LTR	RNA	18010.795	22168.485	18591.209	13776.735	14771.214	36867.881	38055.836	36990.871	30286.388	31945.486	17463.6876	34829.2924	TRUE	FALSE
DMHFL1	hobo	FBte0000154	TIR	DNA	60293.13	68425.79	45279.385	40688.861	73779.897	69012.008	58323.557	61760.714	62292.079	60079.12	57693.4126	62293.4956	FALSE	FALSE
