TEfam	flybase_name	fb_id	TEsubclass	TEclass	Cont_Ra	Cont_Rb	Sel_2La	Sel_2Lb	Sel_La	Sel_Lb	Mean_Cont	Mean_Sel	ConsistSC	ConsistCS
1360	1360	FBte0000559	TIR	DNA	146595.561	130242.243	130804.722	151740.028	136507.65	153685.548	138418.902	143184.487	FALSE	FALSE
412	412	FBte0000007	LTR	RNA	114578.874	109918.571	78703.157	93991.803	85520.651	140228.706	112248.7225	99611.07925	FALSE	FALSE
ACCORD	accord	FBte0000956	LTR	RNA	49932.06	34828.692	53649.606	37311.514	56160.747	49038.51	42380.376	49040.09425	FALSE	FALSE
AF222049	Transpac	FBte0001377	LTR	RNA	51430.239	36034.138	39415.025	48182.047	52316.118	45746.898	43732.1885	46415.022	FALSE	FALSE
AF541951	Bari2	FBte0000963	TIR	DNA	1023.767	910.259	828.061	938.049	847.018	976.003	967.013	897.28275	FALSE	FALSE
BAGGINS	baggins	FBte0000906	non-LTR	RNA	151461.228	151539.334	162989.785	172761.368	155563.987	174546.874	151500.281	166465.5035	TRUE	FALSE
Beagle	HMS-Beagle	FBte0000726	LTR	RNA	103281.476	81968.237	67538.683	63633.515	62095.352	67117.65	92624.8565	65096.3	FALSE	TRUE
Beagle2	HMS-Beagle2	FBte0001399	LTR	RNA	49046.274	49205.345	50292.342	61284.136	59556.923	65830.631	49125.8095	59241.008	TRUE	FALSE
BLOOD	blood	FBte0000279	LTR	RNA	114845.516	72877.909	97216.056	132552.842	85005.312	118179.892	93861.7125	108238.5255	FALSE	FALSE
BS	BS	FBte0000780	non-LTR	RNA	45224.598	41419.699	44658.19	43197.662	54692.086	48949.041	43322.1485	47874.24475	FALSE	FALSE
BS3	BS3	FBte0000420	non-LTR	RNA	19481.962	19768.699	19698.789	20157.496	18265.127	18946.498	19625.3305	19266.9775	FALSE	FALSE
CIRC	Circe	FBte0000616	LTR	RNA	115218.821	88380.521	106716.769	103122.317	104383.894	118863.538	101799.671	108271.6295	FALSE	FALSE
DIVER2	diver2	FBte0001178	LTR	RNA	51012.13	50448.322	51643.127	49865.715	47421.213	52122.865	50730.226	50263.23	FALSE	FALSE
DM_ROO	roo	FBte0000100	LTR	RNA	582472.855	541085.74	525324.55	516938.86	511978.904	581984.142	561779.2975	534056.614	FALSE	FALSE
