TEfam	flybase_name	fb_id	TEsubclass	TEclass	CE1	CE2	CE3	CE4	CP1	CP2	CP3	CP4	HE1	HE2	HE3	HE4	HP1	HP2	HP3	HP4	LE1	LE2	LE3	LE4	LP1	LP2	LP3	LP4	Mean_Cont	Mean_Sel	ConsistSC_L	ConsistCS_L	ConsistSC_C	ConsistCS_C	ConsistSC_H	ConsistCS_H
1360	1360	FBte0000559	TIR	DNA	232394.358	216976.16	235597.084	89067.879	235364.693	222651.923	242490.553	233189.387	249388.422	238635.399	237381.057	236184.475	218743.126	231629.091	226346.984	228575.799	225876.377	222267.995	211082.789	211225.804	237614.059	231661.977	224013.524	236233.555	217173.149916667	230709.555916667	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
412	412	FBte0000007	LTR	RNA	130321.989	127773.741	138979.221	67569.257	151569.983	141568.131	148779.028	138561.378	136174.094	147070.978	130005.855	130070.873	130333.209	126621.269	140289.652	132259.726	151848.679	139801.874	139843.733	135579.247	153821.278	160251.708	146470.476	149336.518	131253.295083333	143321.863	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACCORD	accord	FBte0000956	LTR	RNA	46507.014	42673.837	50995.976	33525.046	48099.35	50756.973	51232.389	48257.779	48939.67	43809.368	45629.546	43017.217	45046.525	43597.774	46799.153	46932.155	40676.279	38717.472	36505.916	37514.965	44843.585	42373.166	42722.96	48480.567	42376.0255	46595.198	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
AF222049	Transpac	FBte0001377	LTR	RNA	74181.88	78506.297	80949.877	32099.247	89468.308	84240.715	90274.604	75846.368	88275.85	76348.49	75748.704	78979.32	78961.483	71071.951	79749.61	84094.853	73690.812	71886.299	66791.349	71890.213	88079.953	82657.556	78546.245	73710.864	72445.6948333333	81391.8758333333	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
AF541951	Bari2	FBte0000963	TIR	DNA	1230.162	1147.178	1314.076	760.095	1386.929	1241.678	1331.448	1301.82	1307.51	1283.441	1279.036	1280.883	1174.483	1316.39	1278.238	1208.794	1262.732	1256.482	1149.238	1213.038	1323.911	1254.773	1256.975	1348.37	1206.98925	1285.31741666667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
BAGGINS	baggins	FBte0000906	non-LTR	RNA	141156.179	130203.201	141826.027	169477.442	141226.839	134619.421	137869.304	136652.677	151405.737	141322.701	140707.518	139615.932	131814.732	131675.996	138366.822	138272.586	127932.661	128531.36	123855.147	123381.808	139922.596	136865.803	129027.977	143480.132	138284.64275	136649.57375	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
Beagle	HMS-Beagle	FBte0000726	LTR	RNA	93492.949	98480.846	109803.713	82752.774	100264.065	97250.743	98162.813	103189.587	106880.295	96590.364	109738.905	101037.703	89379.429	98834.656	97098.197	106788.575	85024.095	79803.679	84115.404	82954.99	96285.189	101588.775	107525.041	102079.6	94222.9764166667	99870.5558333333	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Beagle2	HMS-Beagle2	FBte0001399	LTR	RNA	55200.464	51610.993	52976.036	54644.454	57769.44	55627.114	60515.941	55350.837	57150.132	52187.001	54062.825	54539.85	51080.462	60573.362	50453.348	55263.027	53935.533	52993.149	51989.831	51317.042	58883.989	54587.054	52478.877	54246.946	53550.6091666667	55569.19975	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
BLOOD	blood	FBte0000279	LTR	RNA	136341.62	121682.31	129900.921	68801.827	122539.885	113477.982	118358.091	116976.367	136563.348	146504.486	145006.287	145208.556	117687.476	129265.679	122571.395	125421.99	139362.962	139453.777	129782.647	120243.109	125148.872	131534.221	119024.81	134414.061	129904.320833333	123035.069083333	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
BS	BS	FBte0000780	non-LTR	RNA	42680.994	39871.105	42807.978	46711.843	42065.076	43539.362	45936.847	44011.687	45570.435	40944.268	42413.322	42968.985	42012.293	45106.626	42607.347	45479.345	40781.538	41265.5	42630.447	40174.109	48360.219	45539.735	44271.413	46318.229	42401.7103333333	44604.0149166667	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
BS3	BS3	FBte0000420	non-LTR	RNA	17687.829	16195.273	18209.061	21118.869	17778.581	17619.37	17823.86	18042.449	18932.648	17471.733	17545.578	16982.302	16425.463	17134.465	17864.423	17524.598	16179.794	16597.573	16071.722	15843.681	17887.268	18398.875	17111.112	18576.508	17403.00525	17682.2476666667	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
BS4	BS4	FBte0001042	non-LTR	RNA	837.921	804.393	857.743	794.361	863.947	832.065	824.409	859.24	883.342	781.431	942.258	825.147	759.966	797.741	780.253	728.261	759.963	772.672	780.052	813.871	843.113	775.426	760.656	816.381	821.096166666667	803.454833333333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
CIRC	Circe	FBte0000616	LTR	RNA	146915.966	136027.561	156610.278	133208.237	145476.88	136774.377	137335.46	135117.077	161553.11	148980.124	150716.234	150410.541	127197.787	127037.398	138864.944	139594.507	134457.611	129054.512	128333.359	117974.098	146008.165	140989.695	143572.142	145170.891	141186.802583333	138594.943583333	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
DIVER2	diver2	FBte0001178	LTR	RNA	43972.923	38241.202	42397.596	57286.971	42949.831	41322.425	43333.015	44058.408	44225.402	40281.539	42004.462	40961.503	41522.03	41527.97	43321.953	41865.647	40647.14	41514.997	40135.855	38989.493	43741.728	42648.747	40208.485	44488.522	42554.9235833333	42582.39675	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DM_ROO	roo	FBte0000100	LTR	RNA	646732.587	595742.397	589695.261	286343.314	652463.396	629198.924	635810.655	670066.375	652082.667	630070.078	654306.909	647541.388	598186.817	666442.638	631163.948	636168.272	590247.424	582235.646	580802.272	584971.586	619692.457	645718.811	595127.422	615041.261	586730.96075	632923.414666667	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
DM06920	HeT-A	FBte0000143	non-LTR	RNA	52414.588	56737.971	47224.731	46004.116	81062.967	101558.008	107530.779	73820.878	67133.126	71845.305	53481.075	56133.621	86844.724	105642.709	95485.888	74554.001	58296.829	54291.556	66250.746	71902.607	92185.247	68641.604	66685.453	71274.121	58476.3559166667	85440.5315833333	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
DM23420	3S18	FBte0000266	LTR	RNA	49764.504	49625.795	50190.019	65263.123	54704.484	53347.401	52298.758	49076.463	61196.801	57238.222	50134.186	51023.737	49111.973	55566.203	54612.012	47027.709	43849.613	42255.647	39980.649	42935.219	48683.475	47462.257	47292.698	50824.97	50288.12625	50834.0335833333	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
DM33463	S-element	FBte0001005	TIR	DNA	39795.96	37069.8	39312.256	20816.584	40403.819	37464.385	40068.494	38547.359	42568.67	39125.669	39654.328	39544.433	35783.041	37121.628	38183.435	38273.925	37892.695	36691.222	36299.697	35590.17	40001.648	41051.233	38961.131	40502.99	37030.1236666667	38863.5906666667	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
DM88	Dm88	FBte0000267	LTR	RNA	56788.071	52501.224	56314.128	50322.338	57628.807	53135.055	55773.477	53746.998	57561.776	53466.058	56097.552	54608.359	51018.691	54356.209	53368.605	53647.171	54584.467	53332.918	51654.798	53114.161	58540.564	54551.656	53540.571	56644.46	54195.4875	54662.6886666667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMAURA	aurora-element	FBte0000112	LTR	RNA	13133.999	11977.81	13881.764	17747.971	13243.977	12258.849	12106.778	12411.442	14097.122	13268.164	13555.205	13148.801	11355.211	11652.046	12637.309	12860.381	12348.202	12100.608	12436.649	11912.405	12532.68	12660.887	13310.943	13404.109	13300.725	12536.2176666667	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
DMBARI1	Bari1	FBte0000034	TIR	DNA	58233.215	47626.082	52306.984	33049.755	60307.77	51672.6	59079.805	58809.236	67503.876	56360.43	59427.295	58496.361	50050.46	57939.955	58152.996	49760.801	50142.024	48829.566	42173.271	43482.709	62271.243	52161.014	49844.8	57916.504	51469.2973333333	55663.932	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMBLPP	flea	FBte0000660	LTR	RNA	75907.674	64561.203	74363.389	74842.093	72545.731	72945.004	73049.802	71469.256	84064.904	70014.4	74189.706	75568.862	69673.68	76172.939	70652.77	68105.308	65829.554	64462.586	64756.399	66653.457	70242.282	66355.662	65935.273	65432.104	71267.85225	70214.98425	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMCOPIA	copia	FBte0000023	LTR	RNA	125256.395	124436.48	123451.931	55006.581	135700.974	127475.447	128996.932	115881.114	132915.003	141744.762	134465.073	138129.76	116216.608	128854.177	126941.523	114440.283	131953.667	115545.09	120486.297	111911.942	135936.409	122784.827	116036.945	117989.828	121275.248416667	123937.92225	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
DMCR1A	Cr1a	FBte0000140	non-LTR	RNA	279043.455	253740.757	278375.685	209791.567	280216.707	269551.716	282878.667	278429.075	294980.791	276191.952	279175.41	273568.197	258645.943	268432.77	276226.169	271378.842	262770.998	259087.203	248257.073	243149.306	282217.848	272091.832	261844.973	281045.376	263177.6995	273579.993166667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMDM11	micropia	FBte0000042	LTR	RNA	50866.1	47994.611	52090.576	50288.636	47736.385	45988.839	47091.583	52462.981	54453.169	49646.602	50573.439	51593.65	43525.951	46217.762	49528.967	47820.796	47067.372	45342.893	47446.187	44500.29	49961.182	50503.475	49188.935	50189.209	49321.9604166667	48351.33875	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
DME010298	GATE	FBte0000359	LTR	RNA	127441.695	117918.117	130441.594	158711.696	131528.857	121649.233	124393.053	124088.034	137212.319	134200.64	129217.36	126487.738	115652.05	115443.076	124351.305	121339.436	119348.394	118403.845	116079.916	111876.064	126443.055	125531.049	122301.652	130188.237	127278.2815	123575.753083333	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
DME278684	Rt1a	FBte0000457	non-LTR	RNA	64917.909	55914.429	61748.67	82595.712	60230.171	62072.481	61698.397	64505.395	65682.878	60992.467	66903.895	64262.805	57373.96	61104.679	59650.007	59629.815	55544.018	52705.938	53640.364	52556.921	57552.419	59213.613	59774.143	60841.755	61455.5005	60303.9029166667	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
