Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj	Ageold.RegimeSel.baseMean	Ageold.RegimeSel.log2FoldChange	Ageold.RegimeSel.lfcSE	Ageold.RegimeSel.stat	Ageold.RegimeSel.pvalue	Ageold.RegimeSel.padj
DMCOPIA	448090.882587792	1.96939134159209	0.23265197168695	8.46496733860501	2.56224485289544e-17	6.2689590734175e-15	448090.882587792	-1.93274745967099	0.232661942978231	-8.30710615982361	9.80642084131635e-17	1.42018765828575e-13	448090.882587792	-0.712957090654343	0.329027797904817	-2.16685974618045	0.0302455501218311	0.138159901044719
DM_ROO	8371.77573763289	-0.0972975322173728	0.15341680848411	-0.634203860572751	0.5259477884356	0.670000089748095	8371.77573763289	-0.210148654864018	0.153417640482464	-1.36978155968993	0.170755100041705	0.353217262965178	8371.77573763289	0.211601321527759	0.216970500206099	0.975253877032868	0.329434343030932	0.552650351643704
Beagle	3440.78385167856	1.49499554165253	0.894453315430489	1.67140701013893	0.0946413122146119	0.200481163536869	3440.78385167856	0.229127564833112	0.894516230742489	0.256146905957118	0.797837404074372	0.885606657759836	3440.78385167856	-0.0755876204119762	1.26492498107984	-0.0597566033895927	0.952349489253074	0.979210628693546
DMU89994	2687.25718667426	0.586502444627744	0.230686343032889	2.54242378164591	0.0110086608082835	0.0410104612106968	2687.25718667426	0.200374466037099	0.230758252674248	0.868330660832136	0.385213341825876	0.587786314371162	2687.25718667426	0.274660848134231	0.326110148193788	0.842233367024862	0.39965734018199	0.615063738636682
DMLINEJA	1904.28172022403	0.755838660296022	0.23720754522971	3.18640226879829	0.00144054148112157	0.00854430260317764	1904.28172022403	-0.491187342648995	0.237599933223777	-2.06728737666093	0.0387070830153542	0.131075115620194	1904.28172022403	-0.0418862831344886	0.33568184023555	-0.124779711363286	0.900697949828326	0.955502322436928
DMRER1DM	4276.69953958309	1.39320634876733	0.377817148737838	3.68751485585441	0.00022645487666411	0.00193557938249149	4276.69953958309	-1.14884404317071	0.378100316211556	-3.03846358734043	0.00237787839618219	0.0176098108044538	4276.69953958309	-0.347402445721761	0.534521118945849	-0.649932123181377	0.515736067251477	0.709034475707063
DMBLPP	1926.62788464019	0.626980386245791	0.422938117508584	1.4824400078649	0.138223255264651	0.264466260969056	1926.62788464019	-0.915892094113261	0.423216077492825	-2.16412405582297	0.0304548297538751	0.110972393349737	1926.62788464019	-0.241928426321394	0.598393841601445	-0.404296317077621	0.685994833421145	0.830084059667271
DME487856	2020.99729648108	0.262852528352323	0.254372292643578	1.0333378907766	0.30144580109823	0.456443671058189	2020.99729648108	-0.396466720818948	0.254541012664782	-1.55757501185507	0.119334026011825	0.282326133364566	2020.99729648108	0.312874531796869	0.359818089554197	0.869535303754489	0.384554406861883	0.603716006745697
DMW1DOC	1862.53885067523	-0.274834397551729	0.233584916869972	-1.17659308329707	0.23935795980093	0.387406267902718	1862.53885067523	-0.317905395332945	0.233561209839768	-1.36112240363475	0.173475010759934	0.356973995933846	1862.53885067523	0.671146631608285	0.330301512692705	2.03192115633053	0.0421616383838163	0.168227034745376
DMRER2DM	2278.95276734079	1.9934904240916	0.400047186042025	4.98313822380487	6.25612262162452e-07	1.58344620836979e-05	2278.95276734079	0.81695789090137	0.400202281300031	2.04136240365131	0.0412148185264073	0.136768401312889	2278.95276734079	-1.39744093838495	0.565621684066335	-2.47062829759027	0.0134875928488914	0.0858982941051345
