Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj	Ageold.RegimeSel.baseMean	Ageold.RegimeSel.log2FoldChange	Ageold.RegimeSel.lfcSE	Ageold.RegimeSel.stat	Ageold.RegimeSel.pvalue	Ageold.RegimeSel.padj
DMCOPIA	907367.21270318	2.34587645500707	0.235149642118641	9.97610046892392	1.93939480803152e-23	1.18409351498582e-21	907367.21270318	-2.14932739896149	0.235155767341496	-9.14001567242111	6.24432801158356e-20	1.04366137303605e-16	907367.21270318	-0.663818650209523	0.332556652316279	-1.99610696579359	0.0459222809863645	0.155504596041505
DM_ROO	17501.3284290328	0.563040589287453	0.181367250402536	3.1044225902847	0.00190650809289754	0.00484453054164444	17501.3284290328	-0.156878074988562	0.181373337720696	-0.86494562519517	0.387068633883734	0.598599896328869	17501.3284290328	-0.0479249764543048	0.256487853509805	-0.186850861740603	0.851777567203246	0.928240198800401
Beagle	5456.16357385215	1.08240459108132	0.57146063699345	1.89410174736799	0.0582115058520145	0.10093970234046	5456.16357385215	0.0205786575266851	0.571483714801559	0.0360091757537322	0.97127504250707	0.986323277387562	5456.16357385215	-0.295931081017836	0.808158575827469	-0.366179472530912	0.714231158603988	0.847921712853039
DMU89994	4936.51303748865	0.986015029182296	0.180454186458986	5.4640740042149	4.65329394220243e-08	2.82301240023542e-07	4936.51303748865	0.424988662137907	0.180447949648749	2.35518698308941	0.0185133872666793	0.0838842769036829	4936.51303748865	-2.76036658025401e-05	0.255037814964913	-0.000108233619419684	0.999913642066274	0.999913642066274
DMLINEJA	5572.67820644169	1.0406950641743	0.271933966958751	3.82701387330609	0.000129707207060102	0.000423313416060684	5572.67820644169	-0.232186204304126	0.272002076175161	-0.853619235445118	0.393315997044105	0.603930661056124	5572.67820644169	-0.416237939797542	0.384598717463387	-1.08226554301281	0.279134552111344	0.489770728779122
DMRER1DM	3012.39584306828	2.30070597507848	0.524663535013337	4.38510744799521	1.15928541031246e-05	4.69436863152266e-05	3012.39584306828	0.99334520020881	0.524739612721798	1.89302499015917	0.0583545462187637	0.184895411727746	3012.39584306828	-0.766631340966003	0.74180214500498	-1.03347145344377	0.301383322952709	0.512283990148035
DMBLPP	3951.21480730337	0.743392252829007	0.282641148179789	2.6301628677086	0.0085343970726624	0.0186612302957594	3951.21480730337	-0.41614858735364	0.2827178965366	-1.47195700184394	0.141032489186609	0.326479468994832	3951.21480730337	-0.334563739170849	0.399778177154752	-0.836873442047191	0.402663710007268	0.611391179599682
DME487856	3746.58507452084	1.26951822548961	0.368799726221809	3.44229709304631	0.000576796397376353	0.00163848409375807	3746.58507452084	-0.309149074483775	0.368913952660118	-0.837997783099831	0.402031948575778	0.611477387435792	3746.58507452084	-0.353377864128677	0.521599964744652	-0.677488282234972	0.49809620223011	0.697725292103038
DMW1DOC	3659.98012720432	0.634133401142089	0.199680440473667	3.17574119747455	0.00149454219895177	0.00389466453755294	3659.98012720432	0.0167652922008577	0.19968501133754	0.0839586911834774	0.933089275416903	0.966708252099753	3659.98012720432	-0.251858077903679	0.282350246786323	-0.892005871325766	0.372389785379511	0.583949682262306
DMRER2DM	3205.85163264188	2.16587633152509	0.655224380724368	3.30554905348707	0.000947905100042059	0.00257872616330872	3205.85163264188	1.0455171753698	0.655260172604313	1.59557564930953	0.110583567754022	0.280154260775965	3205.85163264188	-1.29508172159408	0.926521800783014	-1.39778871959579	0.162176522790771	0.350529766092497
OPUS	4102.34367198932	0.975833212063723	0.239480439303108	4.07479297642603	4.60552992732995e-05	0.000163603986871224	4102.34367198932	0.0712812069237757	0.239529595642486	0.297588307334547	0.766017399868263	0.877897541121497	4102.34367198932	-0.171074421171392	0.338626724226794	-0.505200590892571	0.613417955343579	0.782496076667438
1360	3424.19476620781	0.740943301325182	0.203983221879512	3.63237375357685	0.000280825976605552	0.000853391848452918	3424.19476620781	0.116772626820062	0.203989454711382	0.572444428489108	0.567020923957879	0.742060954706939	3424.19476620781	-0.28432991991456	0.288407883367306	-0.985860430009286	0.324201606823897	0.534793646612705
AF222049	3551.96296868682	0.769592700367039	0.460995523842265	1.66941469182326	0.0950352239885895	0.154175683080736	3551.96296868682	-0.413577444499991	0.461049059212072	-0.897035654311473	0.369699891942492	0.584309368222584	3551.96296868682	-0.471541404973629	0.651997442904477	-0.723225850201247	0.469541139655859	0.672318926421064
DMIS297	3117.47562259663	-0.177822263845648	0.148391665799827	-1.19833053215752	0.230788364788681	0.322486281282209	3117.47562259663	-0.0107670987696859	0.148142499533358	-0.0726806878755375	0.942060216741232	0.970709085797066	3117.47562259663	-0.162033157594147	0.209775838698568	-0.772410963051738	0.439871062758898	0.644598628886208
DMCR1A	2992.46069037051	0.683876741445036	0.139878352668755	4.88908203733656	1.01307273483667e-06	4.85512384856671e-06	2992.46069037051	-0.213187069137372	0.13999181753297	-1.52285378455897	0.127795290365205	0.307281122680592	2992.46069037051	-0.0275547815748761	0.197813189650163	-0.139296988353544	0.88921546962709	0.944882037191543
RT1B	3214.78393065523	0.196904020369095	0.251853931078202	0.781818332261629	0.434321345735836	0.538606791395991	3214.78393065523	-0.52076265421448	0.251877581747249	-2.06752284424045	0.0386849139038362	0.139973162224942	3214.78393065523	0.00866073687744822	0.356240681762254	0.0243114762598287	0.980604159105876	0.99084570488466
DMRTMGD1	2234.23107666982	0.903259166831558	0.133375263006759	6.77231404436508	1.26738653249718e-11	1.4496343307117e-10	2234.23107666982	-0.500402208660407	0.133811828142845	-3.73959623454382	0.00018431607554864	0.00262179813421368	2234.23107666982	-0.135597404559317	0.188866795259062	-0.717952588613171	0.472786520631174	0.675129702480176
BLOOD	2137.62757853579	0.0954327349978455	0.266861191303891	0.357611890030013	0.720633779052324	0.789997069747366	2137.62757853579	-1.48119001924339	0.267169063131176	-5.5440177162883	2.95608906260463e-08	1.99625590182255e-06	2137.62757853579	0.112619354953999	0.377878855052827	0.298030316986789	0.765680024836252	0.87934526847727
SPRINGER	2394.8621289104	2.21847755472297	0.626711941451458	3.53986801270293	0.000400327189249839	0.00117411185480634	2394.8621289104	-0.0726073383313658	0.626914814848153	-0.115816912619862	0.907797646385286	0.954550414686211	2394.8621289104	-0.699877579385693	0.886320087177499	-0.789644271308873	0.429735545761513	0.63495489870789
DMTN1731	3177.80505596654	0.804836771220882	0.123601901855349	6.51152416863926	7.43920557689818e-11	7.35178254018519e-10	3177.80505596654	0.157134623115558	0.123622913020399	1.27108008763415	0.203700158468423	0.409337035796282	3177.80505596654	-0.102242677317474	0.174612552159126	-0.585540249273142	0.558184511285702	0.74269506538219
F	2601.58794749007	0.54841210238067	0.147305411217523	3.7229596512978	0.000196900998199139	0.000617295016863	2601.58794749007	-0.47555265389423	0.147483691068801	-3.22444231255634	0.001262182835752	0.011575203495775	2601.58794749007	0.0295523711758048	0.208443448342949	0.141776445413543	0.887256589941863	0.943862464408917
