Sex_M_vs_F.baseMean	Sex_M_vs_F.log2FoldChange	Sex_M_vs_F.lfcSE	Sex_M_vs_F.stat	Sex_M_vs_F.pvalue	Sex_M_vs_F.padj	Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
DMCOPIA	688399.960523701	1.10932452490702	0.129146645966793	8.58965028942567	8.72344310009548e-18	1.15041696841926e-17	688399.960523701	1.77893516598668	0.129146646015977	13.7745363187102	3.6270434079462e-43	2.55172048600089e-40	688399.960523701	-2.37396513384173	0.12914664604898	-18.3819340762545	1.83314703286296e-75	2.45036763882792e-71
DM_ROO	13367.8012686375	1.31770616870171	0.0901786334027542	14.6121771752361	2.34889990326713e-48	4.06917379561582e-48	13367.8012686375	0.241874205257069	0.0901786055386812	2.68216839029873	0.00731466306000967	0.0179535624537549	13367.8012686375	-0.139903258719374	0.0901786049117998	-1.55140189689348	0.120805400934963	0.253422127165356
Beagle	4531.23025908105	1.03806708866693	0.367362529563997	2.82572936847686	0.00471731010574477	0.0050999906327637	4531.23025908105	1.15893724072249	0.367362531047827	3.15475080546962	0.0016063524413448	0.00481437513081971	4531.23025908105	0.0385935752210549	0.367362526751171	0.105055830169624	0.916331507704504	0.955429271722785
DMU89994	3911.17982070818	1.1173802173881	0.103630422986266	10.7823570066503	4.17059935288991e-27	6.0372971139354e-27	3911.17982070818	0.822372094144406	0.103630369545263	7.93562830812079	2.09432350142328e-15	8.35666335627611e-14	3911.17982070818	0.38697614908548	0.103630302182079	3.7341987906738	0.000188313713351252	0.00139071237920784
DMLINEJA	3903.37020334787	1.81611489653668	0.129920217892992	13.9786934319377	2.10313630257581e-44	3.54420360016778e-44	3903.37020334787	0.753214309631096	0.129919922670507	5.79752738570621	6.72997935673992e-09	8.41530720875047e-08	3903.37020334787	-0.471605363032066	0.129919860686324	-3.62997128030102	0.00028345275636866	0.0019806131700888
DMRER1DM	3564.20923223963	-0.246245365778614	0.265437088391473	-0.927697660002379	0.353564422629193	0.362041951684114	3564.20923223963	1.50592012184317	0.265437113828644	5.67335931333	1.40024101633641e-08	1.62177961873869e-07	3564.20923223963	-0.357496257276254	0.265437085480052	-1.34682106168288	0.178037869744399	0.334528001809583
DMBLPP	3030.08356731734	1.36990949460172	0.17282199982322	7.92670780342203	2.25031935757013e-15	2.89370070732467e-15	3030.08356731734	0.504272461228149	0.172821898885091	2.91787362875488	0.00352427147088187	0.0095323627582513	3030.08356731734	-0.804877615815414	0.17282193324977	-4.65726543315639	3.20437194167961e-06	4.71626247271994e-05
DME487856	2947.60467194571	1.06098649524943	0.157376932075165	6.74169003842756	1.56554792487236e-11	1.9209362136744e-11	2947.60467194571	0.728134601142714	0.157376900727163	4.62669297576934	3.71550672869254e-06	2.37405250680847e-05	2947.60467194571	-0.368194373295992	0.157376864630142	-2.33957115717931	0.0193058935097624	0.0621835851915647
DMW1DOC	2842.56391686893	1.23028988267646	0.116016926584891	10.6043998827726	2.84283155571472e-26	4.07770462552191e-26	2842.56391686893	0.256493763509315	0.116016695221234	2.21083494078333	0.027047269270347	0.055029048453079	2842.56391686893	-0.0507129160226169	0.11601668789394	-0.437117426322132	0.662026189934305	0.796732158175191
DMRER2DM	2766.91352258198	0.719396146858554	0.273730161347049	2.62812158995686	0.00858578208205115	0.00923968674750645	2766.91352258198	1.36985909443416	0.273730191469821	5.00441360552364	5.60323345239416e-07	4.42923841266427e-06	2766.91352258198	0.266492994965633	0.273730157313012	0.973560960843991	0.330274578025949	0.515986475511087
