Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
FBgn0010019	209860.794209202	0.322215517095844	0.084114606522818	3.83067258370204	0.000127793462078769	0.000420112758296814	209860.794209202	0.212754177557553	0.084114606611509	2.52933689079921	0.0114278277084295	0.0521467769493864
FBgn0087002	119952.07826833	0.198269691685027	0.0999947693737177	1.98280062974114	0.0473897036602869	0.0821364192297168	119952.07826833	-0.109134675545721	0.099994769374199	-1.0914038427082	0.275095222290529	0.499121850927207
FBgn0284245	50171.0362641848	0.41451660996885	0.0685568197514209	6.04632203582137	1.48189751466913e-09	1.38746286912649e-08	50171.0362641848	0.132023632120276	0.0685568216481296	1.92575485482528	0.0541349909032726	0.166502145934381
FBgn0004047	149.281130051135	0.601456666002425	0.123961558418841	4.85196115371689	1.2224657123469e-06	6.16303415312143e-06	149.281130051135	-0.0368617146519531	0.12395572892103	-0.297378063707221	0.766177889206391	0.884141360768085
FBgn0005391	68.7832339434687	0.872411438191919	0.195660021429157	4.45881295432544	8.2414799701995e-06	3.48698060764453e-05	68.7832339434687	-0.319738077173778	0.195569232977211	-1.63490991045118	0.102067934624421	0.260379371480349
FBgn0000559	31567.7515358876	0.209662949053531	0.0450903786413394	4.64983784503663	3.32196105404618e-06	1.52365760866544e-05	31567.7515358876	0.0357017465352758	0.0450903863121017	0.791781784439799	0.428487925314473	0.643694782185899
FBgn0266599	26848.7383110241	0.235417907973573	0.0452905260081743	5.1979504042652	2.01497868388815e-07	1.20054656878719e-06	26848.7383110241	0.0184012187621907	0.045290535907691	0.406292802533739	0.684527473181337	0.835148913163751
FBgn0065099	35237.8216961609	0.169159739047578	0.0570449807092051	2.96537463847861	0.00302314528396691	0.00718312643444778	35237.8216961609	0.209675729995769	0.0570449892418622	3.6756204669752	0.000237272044340414	0.00244025171756257
FBgn0086906	50190.6702934765	0.205425622409654	0.0946677506054205	2.16996412290261	0.0300095639485368	0.0551895281969653	50190.6702934765	-0.455181377768906	0.0946677507162824	-4.80819893073277	1.52296175672886e-06	3.62958978386183e-05
FBgn0001233	15171.9782785049	0.0283224144468132	0.106281632003614	0.266484564763272	0.789866045301299	0.845720271136251	15171.9782785049	-0.064304179111862	0.106281629666487	-0.60503568973913	0.545155283102171	0.739994422686233
FBgn0005666	45866.2060178176	-0.46874005139062	0.0792585384635418	-5.91406377757314	3.33768548494675e-09	2.92430242029738e-08	45866.2060178176	-0.694730938504639	0.0792585332811517	-8.76537717447078	1.86152381125014e-18	9.21799013200531e-16
FBgn0066084	12757.0522774127	0.269316874419726	0.0659113154561455	4.08604914885848	4.38780872758096e-05	0.000158554061318263	12757.0522774127	0.0890166966223448	0.0659113409454304	1.350552049852	0.176838969668824	0.374875063337906
FBgn0261836	41317.0341598001	0.265171636988974	0.102878189447635	2.5775301685684	0.00995091947426256	0.0208141103521418	41317.0341598001	-0.414326801585687	0.102878189562465	-4.02735315763034	5.64082743223015e-05	0.000745972925508577
FBgn0265297	24234.8715766223	0.349607960314656	0.0389457513423081	8.97679331544608	2.78772900339421e-19	1.48493772013468e-17	24234.8715766223	-0.0892694442054622	0.0389457595848327	-2.29214798111751	0.0218971054772195	0.0856787533597963
FBgn0004045	38.2465558095605	0.921943406314672	0.257609102391693	3.57884639073375	0.00034511422962427	0.00102106157337386	38.2465558095605	-0.410888392756435	0.257460997614261	-1.59592480633531	0.11050558240219	0.275285939392078
FBgn0064225	14602.9335123	0.445304857234723	0.0612424296118634	7.27118208825049	3.56355197005382e-13	6.6450055564323e-12	14602.9335123	0.198120419248253	0.0612424722166156	3.23501668168289	0.00121635623982194	0.00927176905725159
FBgn0264695	34564.7486116399	-1.02511918881614	0.143837657285403	-7.12691800021529	1.0264119704279e-12	1.76389820624949e-11	34564.7486116399	-0.756652074810568	0.143837650921615	-5.26045906591528	1.43696192086241e-07	4.9388639799307e-06
FBgn0283427	29239.9684892299	0.383365819441883	0.0858993845109253	4.46296351975751	8.08338191970377e-06	3.42659531599364e-05	29239.9684892299	0.106990080820693	0.0858993870415771	1.24552787284626	0.21293777646376	0.424359246449927
FBgn0017545	11093.944764772	0.421548301884291	0.067629420301496	6.23320886095139	4.56976239208284e-10	4.67823301547838e-09	11093.944764772	-0.0025997729008547	0.0676294361710955	-0.0384414398232974	0.969335721183077	0.987429987978495
FBgn0033774	14939.4126055079	-2.39954708928914	0.282865946795608	-8.48298325221522	2.19492263716245e-17	8.60589902019413e-16	14939.4126055079	0.0426978719699336	0.282865908656621	0.150947394730998	0.880017213199761	0.944818930416832
FBgn0032505	25725.3963473958	-0.110583734902697	0.103779454299785	-1.06556481385282	0.286620412085303	0.379229580364226	25725.3963473958	-0.131726145614902	0.103779451609478	-1.2692892819533	0.204337907641997	0.413375370732864
FBgn0004181	40785.3241064617	-1.44893695662479	0.138191369171652	-10.4850032625773	1.01242167496862e-25	1.34020572221094e-23	40785.3241064617	0.243039096406974	0.138191359007772	1.75871413489251	0.0786260753360636	0.216436200791264
FBgn0003360	18661.2226780181	-1.29320310265625	0.123061877799	-10.5085598057302	7.88890385721492e-26	1.08736746980375e-23	18661.2226780181	-0.334683809606693	0.123061818799543	-2.7196397133693	0.00653530800749446	0.0339196692780283
FBgn0010217	16373.7840174785	-1.03598500792848	0.114165917109622	-9.07438081484272	1.14325665026128e-19	6.56023236652074e-18	16373.7840174785	-0.122074380045533	0.114165856918447	-1.06927222674583	0.284947021467178	0.511306090057196
