Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
FBgn0010019	40979.8550920842	0.101950043990694	0.0915470916901559	1.1136349840118	0.2654358117603	0.506419616165914	40979.8550920842	0.0286868683548609	0.0915470917300573	0.313356413761883	0.754009894612665	0.867936532174612
FBgn0087002	119323.862224108	0.159049896581019	0.0662522856921631	2.40067033037976	0.016365072521269	0.0789608226771664	119323.862224108	-0.207598900305251	0.0662522857110021	-3.13346019804983	0.00172758346869479	0.013634402444926
FBgn0284245	99638.5105434483	-0.0288162271334687	0.0257194149611193	-1.12040756669742	0.262540121947504	0.503184046357033	99638.5105434483	0.14249233568958	0.0257194172680589	5.54026299291555	3.02017734881824e-08	1.37231547310346e-06
FBgn0004047	97616.8568344768	-0.171857332438499	0.0749252038246888	-2.29371858421118	0.0218066685630836	0.0976642673288677	97616.8568344768	-0.285038284535642	0.0749252038332679	-3.80430442565017	0.000142203211251285	0.00196246702892209
FBgn0005391	91633.0140248317	-0.144593367100226	0.0750151150646962	-1.92752309951831	0.0539144721453666	0.181825860540793	91633.0140248317	-0.0948109614336079	0.0750151149635541	-1.26389143680806	0.206268995765195	0.401035883813753
FBgn0000559	57086.6618441161	-0.0274568378705942	0.027657788563203	-0.992734390453899	0.320839410774692	0.563819893613916	57086.6618441161	0.17615177938562	0.0276577965361781	6.36897372338403	1.9029720396029e-10	1.53674200127158e-08
FBgn0266599	46534.1902351215	-0.0922941693428241	0.0271711934231647	-3.39676538698293	0.000681874016840052	0.00659032640308867	46534.1902351215	0.121174208240482	0.0271711972050119	4.45965657406258	8.20910845129977e-06	0.000178701583452034
FBgn0065099	36434.1368269077	0.00290909836201746	0.0612169424405214	0.0475211313411144	0.962097888984729	0.982665187465385	36434.1368269077	0.36501501478333	0.0612169488257228	5.96264632238505	2.48185232916874e-09	1.46534649076439e-07
FBgn0086906	14566.7385033406	0.0344183840875139	0.161912242946513	0.212574314709999	0.831659007439592	0.921336955128597	14566.7385033406	-0.475390315791847	0.161912244988139	-2.93609859974872	0.00332368659474842	0.0221810983173958
FBgn0001233	48163.0553751571	-0.0659296360218655	0.0448908277239547	-1.46866608090374	0.141923381787877	0.345053058454459	48163.0553751571	0.00138462138551272	0.0448908273409686	0.0308441939596215	0.975393795488483	0.988343247642625
FBgn0005666	15113.1587962416	-0.566089905544731	0.172893500690414	-3.2742116001132	0.00105957235579114	0.00946922235468441	15113.1587962416	-0.706237238005741	0.172893501130358	-4.08481078460696	4.4112748425683e-05	0.000753656074394087
FBgn0066084	47310.0564430996	0.0418417883652317	0.0527739626840237	0.79284909143081	0.427865750766467	0.661306060095154	47310.0564430996	0.292458265609872	0.0527739667638254	5.54171466622329	2.99524090623445e-08	1.36830038041374e-06
FBgn0261836	16354.414775835	0.180343123477902	0.142693462042846	1.26384994025691	0.206283892386179	0.437169808637422	16354.414775835	-0.312276265892139	0.142693462634669	-2.18844129314911	0.0286374731825536	0.108986090552151
FBgn0265297	26977.6925971404	-0.0503089781871932	0.0650498200117986	-0.773391504819971	0.439290716039989	0.671534977632724	26977.6925971404	-0.000937518788643977	0.0650498197602033	-0.0144123195436975	0.988501030836747	0.993900506304408
FBgn0004045	49921.7845055838	-0.115374262052012	0.0676551345921779	-1.70532898570793	0.0881330845548207	0.253787840099867	49921.7845055838	0.0182372675867919	0.0676551343419434	0.269562210823748	0.78749707579873	0.888206064328029
FBgn0064225	33316.4241851536	0.0277753302847364	0.0505140179548076	0.549853910049001	0.582419578903955	0.778736850614246	33316.4241851536	0.287618128401185	0.0505140270592663	5.69382694560726	1.24222995841382e-08	6.26975499575236e-07
FBgn0264695	10792.6950116025	-1.07690632938684	0.256949904993423	-4.19111394267456	2.7758820189922e-05	0.000450237328025213	10792.6950116025	-0.963472211123318	0.256949901579998	-3.74965004928541	0.000177081514617465	0.00233811109542913
FBgn0283427	16725.8388274467	-0.0934973468439746	0.139730874767604	-0.669124465151145	0.503416084798151	0.721985232509122	16725.8388274467	-0.0121685659058225	0.139730874548024	-0.0870857349543051	0.930603364161956	0.970204777979768
FBgn0017545	34694.3312677993	0.0445436694056546	0.059652143023007	0.746723707620608	0.455230356079873	0.684039676448618	34694.3312677993	0.204093319015699	0.0596521459667236	3.42139106159819	0.000623016785457168	0.00622867500284934
FBgn0033774	28267.091080795	-0.821319992605782	0.177343072244419	-4.63124937563852	3.63465777762225e-06	7.97790397805945e-05	28267.091080795	0.480510375502042	0.177343071020854	2.7094961913992	0.00673854787978512	0.0378574523389903
FBgn0032505	17859.6282948551	-0.0468336224471922	0.123409140537871	-0.379498813808044	0.704317484964313	0.852903166032262	17859.6282948551	0.252195368206203	0.123409142150506	2.04357119587327	0.0409959272575576	0.139026285961216
FBgn0004181	32.0325529380852	-0.408699502447041	0.562605087974036	-0.726441177271938	0.467568355707687	0.694931679670341	32.0325529380852	-2.30757567081599	0.563279858449768	-4.09667705351083	4.19122956192672e-05	0.000720626654212043
FBgn0003360	21234.0975912422	-0.58374422907006	0.101832237087833	-5.73241093158511	9.90130318227518e-09	4.08890288840459e-07	21234.0975912422	-0.245708043851911	0.101832228647674	-2.41287112257975	0.0158274149511872	0.0715204884274405
FBgn0010217	21517.5823585383	-0.450455052795324	0.0885260159725745	-5.08839178908577	3.61112737456312e-07	1.02966754171666e-05	21517.5823585383	-0.0284925929748967	0.0885260078148435	-0.321855618232445	0.747562077007021	0.863851044857541
FBgn0002940	8371.71588847543	0.0396736929969612	0.0861643589268122	0.460442037648768	0.645198966726058	0.817337358984069	8371.71588847543	0.187495301611224	0.0861643736621819	2.17601885375877	0.0295538508081501	0.111188924125523
FBgn0011559	38.5530118239266	-0.192498958672058	0.3675455949113	-0.523741710789689	0.600458200233371	0.790934452646155	38.5530118239266	-1.27384590645492	0.367806863992275	-3.46335544864023	0.000533483150714446	0.00555079683914607
FBgn0086687	13709.5600997316	0.262120937963651	0.0743440599612136	3.52578185937658	0.000422234603029591	0.00445747745208749	13709.5600997316	0.169044583591759	0.0743440607491739	2.27381423463121	0.0229771580281471	0.0934086024807787
FBgn0013733	10803.4278668515	0.0407658964160889	0.107640171141277	0.378723816432659	0.704892965596697	0.852916856775065	10803.4278668515	-0.174038913332344	0.107640172030799	-1.61685837219348	0.105908855863884	0.262611162608606
FBgn0065098	21517.7796469611	-0.152441558811701	0.0855588742457248	-1.78171534110991	0.0747956638723252	0.227192312688235	21517.7796469611	0.372600925334515	0.0855588798754873	4.35490653777558	1.33123704548012e-05	0.000269629354341013
FBgn0262736	18680.9855205583	-0.0780435851336968	0.0620367624117916	-1.25802156817363	0.208383956184942	0.439346886268818	18680.9855205583	0.0213409775431928	0.0620367614696575	0.344005345179579	0.730842266280816	0.854629357907042
FBgn0267910	22422.3227444803	-0.078613315255734	0.175370414730744	-0.448270110876075	0.653958268919131	0.821241787179698	22422.3227444803	0.572535193812533	0.175370416320363	3.26471936273811	0.0010957258058597	0.00965859148728578
FBgn0011761	33144.1465245892	0.038904133680682	0.0676357655413388	0.575200611234361	0.565155629453163	0.767173049964814	33144.1465245892	-0.00566699709153867	0.0676357656420775	-0.0837869881081545	0.933225793624987	0.971324788135627
FBgn0000042	22568.9720619825	-0.0508680618486356	0.0338238304599902	-1.5039119211766	0.132604047090172	0.329587609483656	22568.9720619825	-0.0248532636056413	0.0338238265626364	-0.734785686049358	0.462470025924578	0.658477096092712
FBgn0010078	22913.8263071495	0.0307459592117802	0.0571785173526697	0.537718720864047	0.590771252725767	0.785932572873986	22913.8263071495	0.353160872820901	0.0571785362003415	6.1764587953686	6.55553081661951e-10	4.50695598314754e-08
FBgn0024733	22859.2895193523	-0.0383235859425054	0.051834048920069	-0.73935157953033	0.459693536355049	0.688192401506546	22859.2895193523	0.175821999536251	0.0518340562168905	3.39201699362588	0.00069380137009315	0.00675821926027701
FBgn0032987	22655.8608154118	0.0444363939369539	0.0576009163065977	0.771452900166175	0.440438529758253	0.672221166487024	22655.8608154118	0.274880509567312	0.0576009286457984	4.77215413066718	1.82265933140225e-06	4.78285678221426e-05
FBgn0020910	21354.8362977415	-0.0992230317050987	0.0394060044550838	-2.51796732698937	0.0118034269783299	0.0626333678294297	21354.8362977415	0.226587948354063	0.0394060285780479	5.75008333827097	8.91994696232408e-09	4.73097356472079e-07
