Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
DMCOPIA	448090.882587792	1.61293448926466	0.179647978939704	8.97830578882276	2.74967975507337e-19	9.22556838966473e-17	448090.882587792	-2.28923927788688	0.179647979016734	-12.7429169557963	3.41387825754189e-37	4.27315141496519e-33
DM_ROO	8371.77573763289	0.00849666586679671	0.109283456917054	0.0777488753237892	0.938027814855429	0.971567621699148	8371.77573763289	-0.104353394774376	0.109283456978341	-0.954887387896766	0.339634648408707	0.546146826070373
Beagle	3440.78385167856	1.45720330450958	0.61825164574757	2.35697440440709	0.0184245167544988	0.0865090364846378	3440.78385167856	0.191329358242838	0.61825163569271	0.309468422236305	0.756965229396618	0.870138100501191
DMU89994	2687.25718667426	0.723940493868639	0.163258568005605	4.43431853355337	9.23639798609952e-06	0.000175222975041626	2687.25718667426	0.337898641641619	0.163258456046123	2.0697160185452	0.0384789457927649	0.133455518007215
DMLINEJA	1904.28172022403	0.734929212602415	0.165183943112537	4.44915649036009	8.6208188599737e-06	0.000164876670802396	1904.28172022403	-0.512175311528749	0.165183742430492	-3.10063995398499	0.00193102934371355	0.014732105077171
DMRER1DM	4276.69953958309	1.21964442728097	0.260039434375371	4.69022873477103	2.72899805092491e-06	6.24690528499243e-05	4276.69953958309	-1.32267610568045	0.260039445353485	-5.08644411190182	3.64839164626785e-07	1.20176100621933e-05
DMBLPP	1926.62788464019	0.506137754026928	0.287604475186798	1.75983963287843	0.0784350010945232	0.234247766493638	1926.62788464019	-1.03691754994481	0.287604582252158	-3.60535823812322	0.000311722619349409	0.00366025518423692
DME487856	2020.99729648108	0.419222495917826	0.180292983761108	2.3252291196939	0.0200597120573901	0.0918725423907692	2020.99729648108	-0.239892188327557	0.180292933876286	-1.33056899774101	0.183330869177685	0.372403844449381
DMW1DOC	1862.53885067523	0.0608114920428605	0.178138728291798	0.341371540181026	0.732823897346275	0.868777500539113	1862.53885067523	0.0176753464567248	0.178138731590115	0.0992223661802792	0.920961716840114	0.965548019908511
DMRER2DM	2278.95276734079	1.29444951418729	0.31551323379038	4.10267898635051	4.08393698547812e-05	0.000627718220163214	2278.95276734079	0.117633328210168	0.315513107235661	0.37283182699065	0.709273613454387	0.839926256024303
OPUS	1193.26534411159	0.636613783002183	0.157198160367322	4.04975339097238	5.127163475673e-05	0.000756385435864673	1193.26534411159	0.300120129971319	0.157197707598016	1.90918897328186	0.0562377182410923	0.17389513814816
