Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
DMCOPIA	907367.21270318	2.0139569546106	0.17931263117398	11.2315398052273	2.8545988515412e-29	6.05809311827077e-27	907367.21270318	-2.48124738802179	0.179312631195423	-13.8375493766394	1.51276538864958e-43	2.02256732462449e-39
DM_ROO	17501.3284290328	0.539078381303767	0.126642312075141	4.25670040660592	2.07466068695153e-05	8.07047232602325e-05	17501.3284290328	-0.180844310091834	0.126642311484721	-1.42799280881455	0.153293928374732	0.342388877776505
Beagle	5456.16357385215	0.934429490559595	0.388511732834309	2.40515127752424	0.0161657723284452	0.0320249482932749	5456.16357385215	-0.127405710266192	0.388511730574617	-0.327932724393563	0.742962530183393	0.870206660407531
DMU89994	4936.51303748865	0.986004467697651	0.125802477744479	7.83771898118216	4.5880437888759e-15	1.17288997050231e-13	4936.51303748865	0.424972973514112	0.125802489171766	3.37809669992992	0.000729894090413272	0.00611829717167739
DMLINEJA	5572.67820644169	0.832600734957341	0.195267615932544	4.26389563359532	2.00893305694201e-05	7.84217079454445e-05	5572.67820644169	-0.44037651306109	0.195267605400106	-2.25524613854281	0.0241178833518899	0.0922357266632631
DMRER1DM	3012.39584306828	1.91712309902633	0.35490596636068	5.40177759952905	6.59837273536777e-08	4.3912515416559e-07	3012.39584306828	0.609743146845425	0.354905888989525	1.71804178448958	0.0857889940595841	0.230598884313759
DMBLPP	3951.21480730337	0.576167751875078	0.200825335566621	2.86899932346406	0.00411772679416568	0.00947899573656941	3951.21480730337	-0.583483677305337	0.200825340361067	-2.90542854928707	0.00366750573075896	0.0216583708569997
DME487856	3746.58507452084	1.09286382923173	0.236129213951407	4.62824489585024	3.68777770076573e-06	1.67877384607551e-05	3746.58507452084	-0.485943001798789	0.23612917874785	-2.05795405877265	0.0395945436744565	0.13264320945314
DMW1DOC	3659.98012720432	0.508163468459692	0.142032896430753	3.57778712699452	0.000346515477453153	0.00102384794111573	3659.98012720432	-0.109209485581252	0.142032894465874	-0.768902767150832	0.441951034596985	0.655002077491639
DMRER2DM	3205.85163264188	1.51814416379474	0.479950316769242	3.16312774625099	0.00156083824472129	0.0039666237087861	3205.85163264188	0.397825053036707	0.479950304582463	0.828888010359319	0.407167780419655	0.626448011992036
OPUS	4102.34367198932	0.890268134479997	0.168272240429797	5.2906417137259	1.21887935422318e-07	7.63655902809929e-07	4102.34367198932	-0.0143143693651355	0.16827220510189	-0.085066748584343	0.932208325242637	0.96872573515421
1360	3424.19476620781	0.598699128904589	0.145687669324359	4.1094701540708	3.96567962096895e-05	0.000144826923060243	3424.19476620781	-0.0254667794266782	0.145687665045461	-0.17480395075816	0.861233683882249	0.934720259698347
AF222049	3551.96296868682	0.533855329688675	0.321756200165333	1.65919205104472	0.0970770988641931	0.151821360605248	3551.96296868682	-0.649356005504251	0.321756203420911	-2.01816157264507	0.0435744367868804	0.142268673953746
DMIS297	3117.47562259663	-0.258903065844093	0.104903860162728	-2.46800323117261	0.0135869093186141	0.0274572215220481	3117.47562259663	-0.091570015035038	0.104903543451354	-0.872897254204776	0.382719083053637	0.603841649802588
