Regime	Pop	Age	DMCOPIA	DM_ROO	Beagle	DMU89994	DMLINEJA	DMRER1DM	DMBLPP	DME487856	DMW1DOC	DMRER2DM	OPUS	1360	AF222049	DMIS297	DMCR1A	RT1B	DMRTMGD1	BLOOD	SPRINGER	DMTN1731	F	DM14101	DM23420	DME9736	412	ROOA_LTR	DOC3	DME010298	PPI251	QUASIMODO	AY561850	STALKER2	GYPSY4	INVADER2	Tinker	BAGGINS	DM06920	DOC2	Beagle2	JUAN	ACCORD	DMDM11	DMMDG3	TABOR	TC1-2	ROVER	DMIS176	ROXELEMENT	BS	DMIFACA	TAHRE	GYPSY12	DMGYPF1A	GYPSY7	CIRC	INVADER4	TRANSIB2	IVK	TIRANT	DMTNFB	DMPOGOR11	DM33463	DM88	GYPSY6	DME278684	DMTRDNA	GYPSY2	DIVER2	TC1	McCLINTOCK	GTWIN	INVADER	G4_DM	DMHFL1	STALKER4	GYPSY10	G5_DM	TARTC	INVADER6	DMBARI1	DMTHB1	QBERT	INVADER3	G5A	TRANSIB3	GYPSY3	STALKER	DOC5	JOCKEY2	FB	DMAURA	FW2	MARINER2	G2	DOC4	HEL	FROGGER	BS3	TC3	G6_DM	HOPPER2	TRANSIB4	RT1C	DMTOM1_LTR	GYPSY8	GYPSY5	INE1	DMZAM	LOOPER1_DM	S2	GYPSY11	G3	TRANSIB1	DMREPG	GYPSY9	R1-2	FW3	AF541951	OSV	INVADER5	Q	STALKER3	BS4
1	Cont	B1	old	1544097.61812565	8666.84199189788	385.218684370261	3658.99909508449	1635.73339249114	11339.0797123042	2531.10655075715	2912.85479652948	1906.4276031297	6970.95433037595	1325.70754440937	1536.24748601714	1367.35280758453	932.391169977267	1762.98280774858	1093.18815834804	2780.97812980813	1837.01883117109	2953.34324683866	548.329298472984	1279.43502977029	670.95146226652	1418.25257368751	712.596725441683	1369.66643331648	1510.79760296565	1110.54035133769	890.745906802104	1297.94403562592	561.054239998728	1233.16251513122	1568.63824626448	998.329503337943	788.946374596149	1050.3860823069	506.68403529782	599.229064575961	386.375497236237	726.478479833404	559.897427132751	795.88725179201	117.994912329629	586.504123050217	173.521929896514	566.838304328612	334.318918267283	452.313830596913	432.648011875308	403.727690225889	242.930701855119	434.961637607261	275.321462102469	734.576169895242	296.14409369005	374.80736857647	231.362573195352	293.830467958097	434.961637607261	290.360029360166	314.653099545678	345.887046927051	259.126081978794	219.794444535584	355.141549854865	225.578508865468	268.380584906608	303.084970885911	229.048947463398	270.694210638562	62.467894762745	465.038772122657	168.894678432607	307.712222349818	247.557953319026	156.169736906862	249.87157905098	293.830467958097	550.642924204937	224.421695999491	270.694210638562	196.658187216049	208.226315875817	189.717310020188	173.521929896514	183.933245690305	211.696754473747	127.249415257443	161.953801236746	127.249415257443	57.8406432988379	69.4087719586055	47.4293275050471	91.3882164121639	117.994912329629	60.1542690307914	69.4087719586055	67.095146226652	77.5064620204428	71.722397690559	41.6452631751633	49.7429532370006	72.8792105565358	74.0360234225125	90.2314035461872	64.7815204946985	82.1337134843499	64.7815204946985	60.1542690307914	50.8997661029774	52.0565789689541	39.3316374432098	48.5861403710239	48.5861403710239	50.8997661029774	39.3316374432098	33.547573113326	23.1362573195352	18.5090058556281	12.7249415257443	13.8817543917211	20.8226315875817	8.09769006183731	6.94087719586055
2	Cont	B2	old	909646.289379985	11467.104241884	13948.4776270938	3643.08002244335	2833.28451800342	5827.52838935848	7038.222655873	1999.49507269119	1289.67432188582	5323.6556310403	953.759149673699	1476.62711118245	1039.73743779942	1260.6816433318	1399.64655088383	1391.64857059307	7729.0482034878	3799.04063811326	5786.53874036831	721.81772124152	1075.72834910786	1047.73541809018	1179.7020928878	693.824790223844	884.776569665852	1713.56727729635	1113.71875548899	695.824285296535	1039.73743779942	568.856348180644	419.89396526515	407.896994829003	667.831354278858	651.835393697329	1135.7132012886	445.887401210136	507.871748463563	325.917696848664	639.838423261181	620.843220070615	618.843724997924	178.954809005862	347.912142648267	194.950769587391	441.888411064753	456.884624109937	379.904063811326	312.920978876172	266.932592204274	273.930824958693	291.926280612914	233.940923504869	201.94900234181	135.965664943001	323.918201775973	230.941680895833	263.933349595237	157.960110742604	269.931834813311	263.933349595237	395.900024392856	263.933349595237	141.964150161075	275.930320031384	204.948244950847	191.951526978354	377.904568738635	194.950769587391	237.939913650252	54.9861144990078	297.924765830988	167.95758610606	231.941428432178	209.946982632575	166.957838569715	179.954556542207	199.949507269119	14.9962130451839	260.934106986201	227.942438286796	168.957333642406	177.955061469516	165.958091033369	149.962130451839	157.960110742604	174.955818860479	105.973238852633	135.965664943001	116.970461752435	101.974248707251	73.9813176895741	52.9866194263166	83.9787930530301	101.974248707251	47.9878817445886	63.9838423261181	66.9830849351549	72.9815701532285	52.9866194263166	71.9818226168829	47.9878817445886	59.9848521807358	57.9853571080446	71.9818226168829	47.9878817445886	55.9858620353534	57.9853571080446	30.9921736267135	51.986871889971	49.9873768172798	28.9926785540223	41.989396526515	45.9883866718974	49.9873768172798	24.9936884086399	18.9952031905663	16.9957081178751	17.9954556542207	8.99772782711036	13.9964655088383	11.9969704361472	5.99848521807358	1.99949507269119
3	Cont	B3	old	1255757.76036798	6079.62047384654	1094.11867103784	1551.13107168373	1775.76428556053	7315.10315016892	3684.17835690175	1574.36899036064	1421.38602573765	2533.90138239471	1566.62301746834	1438.81446474534	1030.21439467634	942.103953026387	1426.22725879534	977.92907765329	3929.14474962084	2862.13698370606	348.568780153648	713.59775270344	971.151351372525	457.012400645894	936.29447335716	855.930004599513	1169.6419067378	1471.73484953762	873.358443607196	1113.4836032686	515.107197338169	452.171167588204	720.375478984206	1830.95434241819	617.741338161187	647.756983118862	643.883996672711	698.105806918834	440.552208249749	257.553598669084	358.251246269027	538.345116015078	350.505273376724	416.346042961302	406.663576845923	221.728474042182	426.028509076681	342.75930048442	405.695330234385	348.568780153648	268.204311396001	270.140804619077	323.394368253662	216.887240984492	193.649322307582	143.300498507611	288.537490238297	145.236991730687	259.49009189216	183.966856192203	379.552671722861	220.760227430644	321.457875030586	300.156449576752	241.09340627294	218.823734207568	214.950747761416	158.792444292217	307.902422469056	181.062116357589	216.887240984492	53.2535636345851	157.824197680679	168.474910407596	298.219956353677	168.474910407596	164.601923961445	186.871596026817	342.75930048442	206.236528257575	160.728937515293	276.918530899842	169.443157019134	179.125623134514	113.284853549936	175.252636688362	195.585815530658	131.681539169156	133.618032392232	205.268281646037	127.808552723004	133.618032392232	110.380113715322	57.1265500807367	79.3962221461087	85.2057018153362	56.1583034691988	60.0312899153505	30.9838915692131	69.7137560307296	61.9677831384263	94.8881679307153	36.7933712384406	67.7772628076538	56.1583034691988	100.697647599943	48.4123305768955	52.2853170230472	58.0947966922746	124.903812888391	98.7611543768669	34.8568780153648	22.2696720653719	40.6663576845923	46.4758373538197	47.4440839653576	77.4597289230329	23.2379186769099	26.1426585115236	13.5554525615308	13.5554525615308	6.77772628076538	11.6189593384549	21.301425453834	1.93649322307582
4	Cont	B4	old	1271281.59326871	8769.81549772931	6982.94462970488	2649.38976795646	3827.36211731686	12349.8453424047	1555.25886694913	3320.12135478089	2156.82125888228	2483.80290745919	876.143135289401	1623.38004373598	3000.47583293487	1161.20405968978	1437.88083925485	1631.76418857129	4677.30479999593	3258.28828662051	5443.40603432195	573.265903113998	1114.04324499119	475.800219403574	1129.76351655738	846.798628365832	1048.01810441316	1541.63463159176	1013.43350696752	725.228528253906	1341.46317364884	588.986174680195	412.919133138785	347.942010665169	703.220148061229	695.884021330337	591.082210889021	513.528871162448	178.163077750237	348.990028769582	358.4221917093	425.495350391742	439.119585749113	236.852091597374	456.935893524137	197.027403629674	471.608146985921	383.574626215216	427.591386600569	301.82921407099	482.088328030053	298.68515975775	253.620381267984	207.507584673805	547.065450503669	209.603620882632	306.021286488642	243.140200223853	257.812453685637	243.140200223853	227.419928657655	332.221739098971	360.518227918127	311.261377010708	167.682896706105	249.428308850332	193.883349316434	191.787313107608	415.015169347611	191.787313107608	205.411548464979	54.4969414294842	247.332272641505	188.643258794369	257.812453685637	159.2987518708	213.795693300284	203.315512256153	165.586860497279	318.5975037416	209.603620882632	205.411548464979	170.826951019345	187.595240689955	176.067041541411	157.202715661974	167.682896706105	221.131820031176	163.490824288453	165.586860497279	127.858208738405	50.3048690118316	59.73703195155	53.4489233250711	96.4176656060106	97.4656837104237	54.4969414294842	62.8810862647895	41.9207241765263	88.0335207707053	57.6409957427237	56.5929776383106	54.4969414294842	79.6493759354001	57.6409957427237	82.7934302486395	52.4009052206579	52.4009052206579	60.7850500559632	38.7766698632869	56.5929776383106	37.7286517588737	29.3445069235684	47.1608146985921	39.8246879677	56.5929776383106	62.8810862647895	25.1524345059158	23.0563982970895	18.8643258794369	20.9603620882632	6.28810862647895	15.7202715661974	12.5762172529579	1.04801810441316
5	Cont	B5	old	1066152.88819669	6922.61193856775	1459.38993495472	2563.42263863796	4009.10443114007	8023.48122476192	990.14967407694	2045.67664292786	1581.70874453185	1982.40829314659	1336.01665288124	1388.74027769897	1261.14910564006	1019.67490397487	1461.49887994743	1446.73626499847	1856.9260660804	2507.53559633116	733.91285746278	347.975923797008	1293.83775302706	708.60551755027	1486.80621985994	906.846346864929	1153.5929110119	1484.69727486723	1060.7993313327	685.40712263047	1402.44842015158	520.909413199157	664.317672703378	444.987393461628	750.784417404453	687.516067623179	949.025246719112	499.819963272066	528.290720673639	343.758033811589	667.481090192442	373.283263709517	354.302758775135	418.625581052764	341.64908881888	166.606654424022	428.115833519955	301.579133957407	506.146798250193	313.178331417307	476.621568352265	312.123858920952	202.458719300077	229.875004205296	2619.30968094475	266.781541577706	276.271794044897	215.112389256332	246.746564146969	188.750576847468	245.692091650615	378.55562619129	221.439224234459	278.380739037606	187.696104351113	297.361243971988	201.404246803723	267.836014074061	316.341748906371	237.256311679778	240.419729168842	56.9415148031467	194.022939329241	177.151379387568	224.602641723523	217.221334249041	177.151379387568	184.53268686205	213.003444263623	278.380739037606	162.388764438604	267.836014074061	137.081424526094	181.369269372986	165.552181927667	162.388764438604	177.151379387568	195.077411825595	124.427754569839	180.314796876631	126.536699562548	180.314796876631	65.3772947739833	73.8130747448198	80.1399097229473	87.5212171974292	42.1788998541828	69.5951847594016	67.4862397666924	73.8130747448198	56.9415148031467	67.4862397666924	46.396789839601	46.396789839601	69.5951847594016	97.0114696646203	52.7236248177284	35.8520648760553	37.9610098687645	37.9610098687645	50.6146798250193	42.1788998541828	48.5057348323102	41.1244273578282	24.2528674161551	54.8325698104376	56.9415148031467	29.5252298979279	16.8715599416731	14.762614948964	14.762614948964	10.5447249635457	10.5447249635457	5.27236248177284	2.10894499270914
6	Sel	O1	old	195154.009423287	8675.82780904051	1250.79072299948	4517.76616534371	1474.58416118321	2170.48978402851	1281.44735836711	1416.33655398471	2017.20660719034	1802.6101596169	1273.27225560241	1416.33655398471	539.556782470364	1009.62519144076	1579.83860927876	1612.53902033757	1467.4309462641	1081.1573406319	701.015062073238	667.29276316884	1296.77567605093	1285.53490974947	1250.79072299948	670.358426705604	934.005490867259	1360.13272247738	1169.03969535246	805.247622323195	854.29823891141	427.149119455705	799.116295249668	657.073884712962	904.370743345213	668.314651014428	1726.9904590434	615.176483043862	352.551306727795	435.324222220407	404.667586852773	402.623811161597	400.580035470422	347.441867499856	272.844054771945	204.377569117562	429.192895146881	351.529418882207	347.441867499856	433.280446529232	302.478802293992	402.623811161597	345.39809180868	271.822166926358	279.99726969106	204.377569117562	298.391250911641	298.391250911641	235.034204485196	243.209307249899	286.128596764587	335.179213352802	294.30369952929	320.872783514573	175.764709441103	232.990428794021	247.29685863225	419.99590453659	375.032839330727	247.29685863225	251.384410014601	69.4883734999711	442.477437139522	183.939812205806	210.508896191089	241.165531558723	200.290017735211	226.859101720494	237.077980176372	118.538990088186	220.727774646967	295.325587374877	161.458279602874	184.961700051394	134.889195617591	156.348840374935	168.611494521989	247.29685863225	134.889195617591	151.239401146996	128.757868544064	130.80164423524	131.823532080828	60.2913828896808	98.1012331764298	114.451438705835	58.2476071985052	81.7510276470249	77.6634762646736	89.9261304117273	62.3351585808565	55.1819436617418	44.9630652058637	51.0943922793905	80.7291398014371	81.7510276470249	89.9261304117273	67.4445978087955	55.1819436617418	34.7441867499856	60.2913828896808	35.7660745955734	24.5253082941075	37.809850286749	27.5909718308709	60.2913828896808	47.0068408970393	30.6566353676343	26.5690839852831	16.350205529405	14.3064298382294	16.350205529405	10.2188784558781	10.2188784558781	0
7	Sel	O2	old	171473.252265447	7045.37717178122	2413.53480716009	3624.34837135565	2352.84239792723	1889.55700744972	1681.17973575024	2514.68882254819	2401.39632531351	3524.20589612143	1138.99421327002	1423.23699651058	683.801144023562	980.182409110697	1705.45669944338	1015.58631449653	1102.5787677303	335.831331088495	2789.82774440382	963.997766648601	1306.90987881426	920.501540031717	1196.65200204123	736.401232025374	1002.43629249608	1370.63690850877	1078.30180403715	754.608954795232	1307.92141896814	441.03150709212	1542.59873466854	469.354631400788	657.501100022655	675.708822792514	865.878371722143	534.093201249172	481.49311324736	434.962266168834	510.827777709909	558.370164942317	370.223696320449	155.777183697675	408.662222167927	274.127381701753	459.239229861978	256.931199085776	325.715929549685	451.14690863093	200.28495046844	275.138921855634	482.504653401241	219.504213392179	537.127821710815	167.915665544247	281.20816277892	180.054147390819	259.965819547419	230.63115508487	278.173542317277	242.769636931442	290.312024163849	269.069680932348	149.707942774389	353.027513704472	266.035060470705	197.250330006797	343.923652319543	225.573454315465	242.769636931442	64.7385698483845	250.86195816249	169.938745852009	228.608074777108	202.308030776202	171.961826159771	200.28495046844	198.261870160678	51.5885478479314	184.100308006344	178.031067083057	169.938745852009	189.158008775749	157.800264005437	181.0656875447	143.638701851103	222.538833853822	123.407898773483	145.661782158865	135.546380620055	103.177095695863	85.9809130798857	63.7270296945035	100.14247523422	101.154015388101	67.7731903100276	56.6462486173365	68.7847304639086	84.9693729260047	54.6231683095744	254.908118778014	50.5770076940504	59.6808690789795	70.8078107716706	85.9809130798857	60.6924092328605	44.5077667707644	55.6347084634555	38.4385258474783	40.4616061552403	34.3923652319543	22.2538833853822	35.4039053858353	33.3808250780733	97.1078547725768	38.4385258474783	22.2538833853822	19.2192629237392	24.2769636931442	17.1961826159771	15.1731023082151	12.1384818465721	10.1154015388101	4.04616061552403
8	Sel	O3	old	252498.666428226	8988.59793227389	14021.8319015535	4635.2218998209	2073.85236191658	3601.15226481566	1504.44753527465	2929.86396584817	2462.34261153181	3092.6870851722	2323.32404181656	2161.45310447688	740.797583825115	1058.82636659836	1750.11048723723	1285.44567887391	1432.08170446398	851.250694009836	3184.0965556699	1041.68709088005	1328.29386816971	1841.51995773493	1001.6954475373	870.294333696857	1096.91364597241	1416.84679271436	1176.89693265789	874.103061634261	1621.56591934983	417.055709145759	1335.91132404452	830.302690354113	773.17177129305	746.510675731221	1224.50603187545	642.722839436957	759.841223512136	411.342617239652	620.822653796883	704.614668419775	735.084491919009	324.694056663707	460.856080425907	200.910398698071	529.413183299182	361.829154053398	367.542245959504	423.720983036216	306.602598961037	361.829154053398	590.352830297649	302.793871023633	401.820797396142	184.723304964103	373.255337865611	329.454966585462	278.037139430506	295.176415148825	357.068244131643	229.475858228602	318.02878277325	283.750231336612	175.201485120593	346.594242303781	318.02878277325	209.48003655723	426.577528989269	262.802227680889	237.093314103411	66.6527389045733	308.506962929739	238.997678072113	258.993499743485	255.184771806081	171.392757183189	241.854224025166	211.384400525933	217.097492432039	253.280407837379	263.75440966524	174.249303136242	203.766944651124	165.679665277082	180.914577026699	171.392757183189	243.758587993868	156.157845433572	186.627668932805	131.401113840445	76.1745587480838	94.2660164507537	62.8440109671691	104.740018278615	110.453110184721	76.1745587480838	75.2223767637327	61.8918289828181	91.4094704977005	64.7483749358712	60.939646998467	47.6090992175524	57.1309190610628	89.5051065289984	86.6485605759453	70.4614668419775	60.939646998467	58.0831010454139	43.8003712801482	52.3700091393076	48.5612812019034	30.4698234992335	47.6090992175524	32.3741874679356	65.7005569202223	55.2265550923607	27.6132775461804	22.8523676244251	7.61745587480838	20.948003655723	19.0436396870209	18.0914577026699	9.52181984351047	2.85654595305314
9	Sel	O4	old	219018.517582393	8892.39180682945	7362.7240633826	4311.05608397487	2189.07338723846	4182.62533358522	1631.26221763567	2334.7560294715	2116.23206612195	2850.39590790157	2075.97765182071	2354.88323662211	726.496334293675	1176.00396065744	1684.93477003731	1061.94978680395	1491.3302060171	991.025342558919	2568.61500779294	851.093330940348	1226.80119775185	1641.80504042885	1117.53921607708	1078.24324021159	1211.46618277995	1380.15134747083	1010.19411127379	871.220538090964	1415.61356959335	448.549187928021	1341.81381004109	1102.20420110518	720.745703679214	695.826304349879	1299.64251886837	605.733091389977	714.995073064752	406.377896755301	630.652490719312	526.182701223256	716.911949936239	270.279638879705	433.214172956123	189.77081027724	538.642400887923	322.035314409861	383.375374297454	432.255734520379	320.118437538374	337.37032938176	621.068106361876	335.453452510272	328.744383460067	164.851410947905	352.705344353658	249.193993293345	292.323722901809	262.612131393756	348.871590610683	275.071831058423	331.619698767298	269.321200443961	170.602041562367	300.949668823501	270.279638879705	222.357717092523	454.299818542483	237.692732064422	241.526485807396	67.0906905020545	308.61717630945	207.022702120625	251.110870164832	269.321200443961	183.061741227034	226.191470835498	220.440840221036	166.768287819392	254.944623907807	258.778377650781	170.602041562367	207.981140556369	175.394233741085	161.976095640674	178.269549048316	227.149909271242	176.352672176829	161.017657204931	132.264504132622	95.8438435743635	84.3425823454399	59.4231830161054	103.511351060313	101.594474188825	65.1738136305672	67.0906905020545	53.6725524016436	87.2178976526708	57.5063061446181	74.7581979880035	49.838798658669	74.7581979880035	83.3841439096962	90.0932129599017	76.6750748594908	55.5894292731308	57.5063061446181	35.4622221225145	49.838798658669	41.2128527369763	26.8362762008218	36.4206605582581	35.4622221225145	59.4231830161054	47.9219217871818	32.5869068152836	23.9609608935909	7.66750748594908	19.1687687148727	15.3350149718982	5.75063061446181	10.54282279318	1.91687687148727
10	Sel	O5	old	128126.048041356	8345.52924624315	1501.7920986597	2461.32637914562	1640.88425276375	4055.84658054136	982.716306169936	1988.61463802388	1676.16124836985	1632.82093948236	1731.59652717944	1507.83958362074	1681.20081917072	1085.52355050771	1521.95038186318	825.481697182746	1004.89041769377	1147.00631427835	1842.46708479861	975.660907048716	1235.70276037368	1975.51175394162	1274.00349846031	1171.19625412253	1063.34943898388	1315.32797902745	953.486795524882	814.394641420829	977.676735369065	507.988736727844	1338.51000471146	903.091087516167	761.983105091766	593.661440342659	1403.01651096262	572.495242978999	510.004565048193	352.769956061003	689.413285559217	258.026025004619	514.03622168889	330.595844537168	376.959895905186	326.564187896471	468.680084481046	360.833269342397	473.719655281918	421.308118952855	395.102350788323	337.651243658388	364.864925983094	247.946883402876	320.516702935425	144.131724904924	383.007380866232	247.946883402876	270.120994926711	205.614488675556	292.295106450545	308.421733013334	277.176394047931	314.46921797438	169.329578909281	686.389543078694	230.812342679913	211.661973636602	413.24480567146	253.994368363922	251.978540043573	70.5539912122005	330.595844537168	219.725286917996	249.962711723225	251.978540043573	216.701544437473	241.89939844183	209.646145316253	160.258351467713	216.701544437473	250.970625883399	175.377063870327	190.495776272941	228.796514359565	145.139639065098	174.369149710153	194.527432913639	133.044669143007	159.250437307538	135.060497463355	123.973441701438	92.728102736035	69.5460770520262	98.7755876970808	120.949699220915	66.5223345715034	74.5856478528977	69.5460770520262	74.5856478528977	52.4115363290633	74.5856478528977	61.4827637706319	71.5619053723748	72.5698195325491	82.6489611342921	70.5539912122005	71.5619053723748	51.403622168889	47.3719655281918	60.4748496104576	42.3323947273203	24.189939844183	42.3323947273203	42.3323947273203	78.6173044935949	61.4827637706319	27.2136823247059	20.1582832034859	17.134540722963	19.1503690433116	12.0949699220915	10.0791416017429	12.0949699220915	1.00791416017429
