Age_young_vs_old.baseMean	Age_young_vs_old.log2FoldChange	Age_young_vs_old.lfcSE	Age_young_vs_old.stat	Age_young_vs_old.pvalue	Age_young_vs_old.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj	Ageyoung.RegimeSel.baseMean	Ageyoung.RegimeSel.log2FoldChange	Ageyoung.RegimeSel.lfcSE	Ageyoung.RegimeSel.stat	Ageyoung.RegimeSel.pvalue	Ageyoung.RegimeSel.padj
DMCOPIA	448090.882587792	-1.96939017730199	0.232651971687	-8.46496233417496	2.56235487308787e-17	6.269228256155e-15	448090.882587792	-2.64570386028925	0.232653646885828	-11.3718563869647	5.77461913318672e-30	6.48374236274205e-26	448090.882587792	0.71295580244404	0.329027797906325	2.16685583096848	0.0302458487493551	0.138161265157754
DM_ROO	8371.77573763289	0.0972978425702861	0.153416808484083	0.634205883512307	0.525946468408302	0.669998408177361	8371.77573763289	0.00145282004115015	0.153424987987238	0.00946925308718938	0.992444742068808	0.996566263016435	8371.77573763289	-0.211601634337294	0.21697050020647	-0.975255318745787	0.329433628064857	0.552649152235502
Beagle	3440.78385167856	-1.49498651567583	0.894453315477798	-1.67139691899654	0.0946433040856793	0.200485382969376	3440.78385167856	0.153544709312707	0.894358720918621	0.171681346333826	0.863688051529648	0.935058281995457	3440.78385167856	0.0755787475139449	1.26492498136743	0.0597495888113789	0.952355076094104	0.979216373112143
DMU89994	2687.25718667426	-0.586501868462017	0.230686343037306	-2.54242128398199	0.0110087394862872	0.0410107400137229	2687.25718667426	0.475035593446339	0.230431041096081	2.06150868904969	0.0392545353761469	0.149463338705066	2687.25718667426	-0.274661406368279	0.326110148235512	-0.842235078713105	0.399656382261438	0.615064123682939
DMLINEJA	1904.28172022403	-0.755838007958621	0.237207545236122	-3.18639951864197	0.00144055517633452	0.00854438383377403	1904.28172022403	-0.533073273964086	0.237125657811111	-2.2480623939427	0.024572211617852	0.108749228240143	1904.28172022403	0.0418856019068621	0.335681840301363	0.124777681954015	0.900699556506075	0.955504026875492
DMRER1DM	4276.69953958309	-1.39320438500641	0.377817148736776	-3.68750965821577	0.000226459500825432	0.00193561890661854	4276.69953958309	-1.49624533857631	0.377826717661727	-3.96013640283617	7.49069647391681e-05	0.00152365108712206	4276.69953958309	0.347400292906382	0.534521119040925	0.649928095506707	0.515738669024848	0.70903805262777
DMBLPP	1926.62788464019	-0.626978177418854	0.422938117515432	-1.48243478526377	0.13822464400055	0.264468918074691	1926.62788464019	-1.15781927386973	0.42304068560691	-2.73689815959114	0.00620214900680587	0.0408923528917732	1926.62788464019	0.241926031698715	0.598393841675443	0.404292315277421	0.685997775822426	0.830087620102834
DME487856	2020.99729648108	-0.262851795867202	0.254372292643686	-1.03333501119713	0.301447148207216	0.456443048713608	2020.99729648108	-0.0835918210479312	0.254318581663417	-0.328689396194269	0.742390470025625	0.866776406652574	2020.99729648108	-0.312875279841012	0.359818089593064	-0.869537382611467	0.384553270331458	0.603714222494633
DMW1DOC	1862.53885067523	0.274834988327503	0.233584916859954	1.17659561251671	0.23935694981911	0.387404633224315	1862.53885067523	0.353241509398759	0.233555685083651	1.51245091410317	0.130419190916382	0.326333703242982	1862.53885067523	-0.671147221439846	0.330301512699759	-2.03192294202392	0.0421614575791763	0.168226313325868
DMRER2DM	2278.95276734079	-1.99348869637354	0.40004718612169	-4.98313390402686	6.25626234796486e-07	1.58348157358835e-05	2278.95276734079	-0.580482003243262	0.399707502758471	-1.45226696831364	0.14642738827298	0.352053800245776	2278.95276734079	1.39743922963121	0.565621684242356	2.47062527580262	0.0134877068050908	0.0858990198568122
