Sex_M_vs_F.baseMean	Sex_M_vs_F.log2FoldChange	Sex_M_vs_F.lfcSE	Sex_M_vs_F.stat	Sex_M_vs_F.pvalue	Sex_M_vs_F.padj	Age_young_vs_old.baseMean	Age_young_vs_old.log2FoldChange	Age_young_vs_old.lfcSE	Age_young_vs_old.stat	Age_young_vs_old.pvalue	Age_young_vs_old.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj	SexM.Ageyoung.baseMean	SexM.Ageyoung.log2FoldChange	SexM.Ageyoung.lfcSE	SexM.Ageyoung.stat	SexM.Ageyoung.pvalue	SexM.Ageyoung.padj	Ageyoung.RegimeSel.baseMean	Ageyoung.RegimeSel.log2FoldChange	Ageyoung.RegimeSel.lfcSE	Ageyoung.RegimeSel.stat	Ageyoung.RegimeSel.pvalue	Ageyoung.RegimeSel.padj	SexM.RegimeSel.baseMean	SexM.RegimeSel.log2FoldChange	SexM.RegimeSel.lfcSE	SexM.RegimeSel.stat	SexM.RegimeSel.pvalue	SexM.RegimeSel.padj	SexM.Ageyoung.RegimeSel.baseMean	SexM.Ageyoung.RegimeSel.log2FoldChange	SexM.Ageyoung.RegimeSel.lfcSE	SexM.Ageyoung.RegimeSel.stat	SexM.Ageyoung.RegimeSel.pvalue	SexM.Ageyoung.RegimeSel.padj
DMCOPIA	688399.960523701	1.33231521099735	0.236436525159471	5.63498050945694	1.75078137051171e-08	2.49708949710364e-08	688399.960523701	-1.99646806413898	0.236438967837588	-8.44390449847663	3.06909969336412e-17	6.62183009647288e-15	688399.960523701	-2.64016026136895	0.236440596709542	-11.1662730432553	5.96307461367693e-29	7.97680491071563e-25	688399.960523701	-0.222145103336349	0.334374010495172	-0.664361153569849	0.50645918948254	0.708554108314959	688399.960523701	0.742226112872804	0.334383259543722	2.21968681651587	0.0264400343792868	0.121221977126868	688399.960523701	-0.126442360403331	0.334375678831637	-0.378144609216619	0.705323170970554	0.886288440118193	688399.960523701	-0.175389216239032	0.472885350656975	-0.370891625201257	0.710718253118895	0.894858055969671
DM_ROO	13367.8012686375	1.62915144836449	0.170075249390832	9.57900373040586	9.79855234950218e-22	2.05157669086384e-21	13367.8012686375	0.0765696925893244	0.170141017774269	0.450036643667617	0.652684018733331	0.775254608611915	13367.8012686375	0.00590835570483093	0.170148198191987	0.0347247621051163	0.972299215526966	0.985187593251343	13367.8012686375	-0.522615221200088	0.240513981762808	-2.17290993799888	0.0297870963574918	0.11003005397453	13367.8012686375	-0.187023634110578	0.240621148272426	-0.777253518459794	0.437009212628326	0.638807178315847	13367.8012686375	-0.173243271770753	0.240509952435823	-0.720316436040127	0.471330187286943	0.755496456951668	13367.8012686375	0.148975825241486	0.340138925177801	0.437985229604674	0.661396990611035	0.867999444389871
Beagle	4531.23025908105	0.940370384891564	0.796876149492781	1.18007093761072	0.23797200234213	0.252687051542361	4531.23025908105	-1.49185572529921	0.79698558739874	-1.87187290320825	0.0612241891848591	0.14741245125165	4531.23025908105	0.15745295937375	0.796881696533232	0.197586367033823	0.843368702049919	0.950281597651765	4531.23025908105	0.520030346966264	1.12703497517193	0.461414559816064	0.64450120754013	0.803419313508929	4531.23025908105	0.0820275464718825	1.12708299942096	0.0727786210190589	0.941982283788044	0.979076124178549	4531.23025908105	-0.39433469778333	1.1269432817038	-0.349915301138442	0.726402263451262	0.894729702271665	4531.23025908105	0.135383870926446	1.59384510032729	0.0849416740049866	0.932307760423472	0.984187934523289
DMU89994	3911.17982070818	1.21434712835309	0.210837886538695	5.75962483920182	8.43010915604204e-09	1.21322829672269e-08	3911.17982070818	-0.606852879283041	0.211138529703485	-2.87419297716661	0.00405061382654298	0.0191669830766415	3911.17982070818	0.4810797162399	0.210858571761068	2.28152790859757	0.0225172271804423	0.116839778119774	3911.17982070818	-0.259154044305248	0.298349068091195	-0.868626960906187	0.385051202884819	0.607807915959258	3911.17982070818	-0.253427915445973	0.298452483703626	-0.849139910987092	0.395803444515788	0.602600122279174	3911.17982070818	-0.0138833470367929	0.298014815262652	-0.0465860968172236	0.962843113132235	0.986880681339434	3911.17982070818	0.162321149265276	0.421729843900396	0.384893674500336	0.700316192583934	0.888170402731204
DMLINEJA	3903.37020334787	1.8585632859891	0.266343552661702	6.9780674899601	2.99267899612044e-12	4.80070355331613e-12	3903.37020334787	-0.777289288042429	0.266697566994385	-2.91449710922482	0.0035626210821772	0.0173790045947115	3903.37020334787	-0.533868530629885	0.266625539161712	-2.00231580331128	0.0452507774091802	0.185680874049878	3903.37020334787	-0.150343010863203	0.376831582895202	-0.398966057218761	0.689918214649423	0.832306091766093	3903.37020334787	0.064029684093807	0.377364427150675	0.169675993514463	0.865264954685183	0.932940729937964	3903.37020334787	-0.0722280542125675	0.376757200344156	-0.191709817746255	0.847969515187053	0.945809142976267	3903.37020334787	0.266301522836344	0.533078235260037	0.499554296577953	0.617388945855185	0.845210609357931
DMRER1DM	3564.20923223963	-0.837564067178204	0.457497934303569	-1.83074939661355	0.0671379564856588	0.0737117895525819	3564.20923223963	-1.41034279689838	0.457494289223231	-3.08275497666422	0.00205093946669273	0.0113369492751854	3564.20923223963	-1.49185597471006	0.457502348236023	-3.260870639161	0.00111070700202147	0.013494938752081	3564.20923223963	-0.753512983906579	0.647293041464473	-1.16409869354039	0.244384018041625	0.466344613811348	3564.20923223963	0.370164657901632	0.647165247636864	0.571978577733114	0.567336487781739	0.739141228553066	3564.20923223963	1.77378821920102	0.647026651336985	2.74144537251402	0.00611695312918682	0.0918559051976189	3564.20923223963	0.289076348408133	0.915381763511869	0.315798675406303	0.752155323578127	0.915482107812414
DMBLPP	3030.08356731734	1.13670698027157	0.372490595596819	3.05163940703064	0.00227595334404481	0.00267981937182356	3030.08356731734	-0.638465131923644	0.372641772274985	-1.71334825944446	0.0866484889801477	0.188348527313525	3030.08356731734	-1.1513800221337	0.372759102601577	-3.08880457673049	0.00200963582504681	0.0207911047421896	3030.08356731734	0.0282023830740478	0.526857994685413	0.0535293824114551	0.95731012042384	0.981072357382189	3030.08356731734	0.25351528211051	0.527301178220149	0.480778903180579	0.630673645776107	0.784001703318518	3030.08356731734	0.451334799066072	0.526947867288393	0.856507497389797	0.391717127584753	0.698663429755493	3030.08356731734	-0.0245518257882302	0.745340026633144	-0.0329404364597671	0.973722086648112	0.992962223996108
DME487856	2947.60467194571	1.62477764528918	0.339022136408084	4.79254146205196	1.64681723497003e-06	2.19460790517973e-06	2947.60467194571	-0.281850116658129	0.33920724119046	-0.830908313363141	0.40602542690943	0.566420078816086	2947.60467194571	-0.0783334400525142	0.339166693952505	-0.230958527028847	0.817347021626079	0.935726072256267	2947.60467194571	-0.865512971071056	0.479541587387512	-1.80487572680875	0.0710941309347918	0.205894390455664	2947.60467194571	-0.290881096650044	0.479771926983065	-0.606290364838941	0.544321955630683	0.727796081272369	2947.60467194571	-0.537383392208859	0.479466197096802	-1.12079515816287	0.262375065618584	0.587738794083179	2947.60467194571	0.553702916301733	0.678245810038231	0.816374989873542	0.414285696425964	0.720781671822482
DMW1DOC	2842.56391686893	1.69309086795577	0.21959765000841	7.70996806154769	1.25849229108899e-14	2.16358454927354e-14	2842.56391686893	0.253638563115613	0.219803515788613	1.15393314891077	0.248527577526147	0.399877050067512	2842.56391686893	0.358135210561439	0.219771493921297	1.62957990670843	0.103190313957956	0.313437063990821	2842.56391686893	-0.763705090732717	0.310488982526194	-2.4596849927462	0.0139059010383807	0.0646124481383877	2842.56391686893	-0.64784287708581	0.310808295872226	-2.08438090517423	0.0371255333218872	0.149716180781624	2842.56391686893	-0.547294986792912	0.310426037976741	-1.76304471867118	0.0778929477515002	0.333818282874493	2842.56391686893	0.806137897201933	0.439042287205929	1.8361281377523	0.066338707695504	0.327278350524027
DMRER2DM	2766.91352258198	0.609643521577522	0.542459218843922	1.12385134292082	0.261076096017076	0.276342375092611	2766.91352258198	-2.00173678638587	0.542756221967381	-3.68809551206983	0.000225938844325216	0.00191532567841471	2766.91352258198	-0.570664661064422	0.542507373017464	-1.05190212971733	0.292844454717472	0.580955104664929	2766.91352258198	-0.0228359633468246	0.767507436953151	-0.0297534098659405	0.97626371584023	0.989876976924775	2766.91352258198	1.40414756875169	0.767477923892372	1.8295608577643	0.0673156312770753	0.213685634937164	2766.91352258198	0.379219482460679	0.767174657591118	0.494306581569581	0.6210896777074	0.838389626761338	2766.91352258198	-0.224351034672484	1.08526217881097	-0.20672519419988	0.836224480263296	0.946911515989414
