Age_young_vs_old.baseMean	Age_young_vs_old.log2FoldChange	Age_young_vs_old.lfcSE	Age_young_vs_old.stat	Age_young_vs_old.pvalue	Age_young_vs_old.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj	Ageyoung.RegimeSel.baseMean	Ageyoung.RegimeSel.log2FoldChange	Ageyoung.RegimeSel.lfcSE	Ageyoung.RegimeSel.stat	Ageyoung.RegimeSel.pvalue	Ageyoung.RegimeSel.padj
DMCOPIA	907367.21270318	-2.34587520359209	0.235149642117961	-9.97609514717142	1.93949878867016e-23	1.18415700015108e-21	907367.21270318	-2.81314530408548	0.235150376844806	-11.9631758274497	5.54017622190992e-33	7.26372504454609e-29	907367.21270318	0.663817261586287	0.332556652316304	1.99610279019441	0.0459227353984436	0.155506134797099
DM_ROO	17501.3284290328	-0.563040117648988	0.181367250402675	-3.10441998982129	0.0019065248519376	0.00484457312718694	17501.3284290328	-0.204802807240955	0.181355270316109	-1.12929062874201	0.258775252837702	0.473128202475959	17501.3284290328	0.0479244988677364	0.256487853511284	0.186848999715412	0.851779027174735	0.928239717053639
Beagle	5456.16357385215	-1.08240050052107	0.571460637001864	-1.89409458926134	0.0582124557983577	0.100941349562941	5456.16357385215	-0.275350220945741	0.571425335597428	-0.481865615317635	0.629901413732364	0.793200662370363	5456.16357385215	0.295926948865455	0.808158575872422	0.36617435946404	0.714234973697879	0.847922139970085
DMU89994	4936.51303748865	-0.986014653636885	0.180454186462232	-5.46407192300442	4.65334852901925e-08	2.82304551640274e-07	4936.51303748865	0.424961247151201	0.18022992868792	2.35788389999892	0.0183794401731202	0.0841973585289233	4936.51303748865	2.72419240283202e-05	0.255037814981884	0.000106815234557492	0.99991477377365	0.99991477377365
DMLINEJA	5572.67820644169	-1.04069410135729	0.271933966961356	-3.82701033264147	0.000129709072072242	0.000423319502728324	5572.67820644169	-0.648423611962407	0.271902662243097	-2.38476374822207	0.0170900925787728	0.0800815596141138	5572.67820644169	0.416236944418172	0.384598717479507	1.08226295486893	0.279135701812063	0.489772746049126
DMRER1DM	3012.39584306828	-2.3007031329812	0.524663535124404	-4.38510203007661	1.15931426504574e-05	4.6944854748415e-05	3012.39584306828	0.226715458273326	0.52432714113071	0.432393138727122	0.665455704041276	0.817625454154754	3012.39584306828	0.766628666671659	0.741802145278493	1.03346784793113	0.301385009431587	0.512283625452055
DMBLPP	3951.21480730337	-0.743391233416342	0.282641148183357	-2.63015926093707	0.00853448762277018	0.0186614282917515	3951.21480730337	-0.75071176538087	0.282653848208891	-2.65594036712378	0.00790875983599069	0.0465241826807337	3951.21480730337	0.334562673124725	0.399778177167082	0.83687077542729	0.402665209074246	0.611393455733103
DME487856	3746.58507452084	-1.26951652937693	0.368799726230222	-3.44229249396036	0.000576806204654524	0.00163851195292875	3746.58507452084	-0.66252599070314	0.368739833904688	-1.79673018693822	0.072378464202047	0.211094398896783	3746.58507452084	0.353376101928681	0.521599964801364	0.677484903710171	0.49809834511665	0.697728293824653
DMW1DOC	3659.98012720432	-0.634132923562901	0.19968044047692	-3.1757388057054	0.0014945545203195	0.00389469664611032	3659.98012720432	-0.235092533462537	0.199618541478942	-1.17770890279417	0.238912676448723	0.450832484300403	3659.98012720432	0.251857595976453	0.282350246793796	0.892004164460278	0.372390700253274	0.583951116888775
DMRER2DM	3205.85163264188	-2.1658716823939	0.655224380829743	-3.30554195747593	0.000947929103099081	0.00257879146236781	3205.85163264188	-0.249561797917456	0.655039857327348	-0.38098719509329	0.703212750125993	0.83908103084291	3205.85163264188	1.29507724328351	0.926521801003802	1.39778388579784	0.162177974784878	0.350532904445361
