Regime	Pop	Age	Sex	DMCOPIA	DM_ROO	Beagle	DMU89994	DMLINEJA	DMRER1DM	DMBLPP	DME487856	DMW1DOC	DMRER2DM	OPUS	1360	AF222049	DMIS297	DMCR1A	RT1B	DMRTMGD1	BLOOD	SPRINGER	DMTN1731	F	DM14101	DM23420	DME9736	412	ROOA_LTR	DOC3	DME010298	PPI251	QUASIMODO	AY561850	STALKER2	GYPSY4	INVADER2	Tinker	BAGGINS	DM06920	DOC2	Beagle2	JUAN	ACCORD	DMDM11	DMMDG3	TABOR	TC1-2	ROVER	DMIS176	ROXELEMENT	BS	DMIFACA	TAHRE	GYPSY12	DMGYPF1A	GYPSY7	CIRC	INVADER4	TRANSIB2	IVK	TIRANT	DMTNFB	DMPOGOR11	DM33463	DM88	GYPSY6	DME278684	DMTRDNA	GYPSY2	DIVER2	TC1	McCLINTOCK	GTWIN	INVADER	G4_DM	DMHFL1	STALKER4	GYPSY10	G5_DM	TARTC	INVADER6	DMBARI1	DMTHB1	QBERT	INVADER3	G5A	TRANSIB3	GYPSY3	STALKER	DOC5	JOCKEY2	FB	DMAURA	FW2	MARINER2	G2	DOC4	HEL	FROGGER	BS3	TC3	G6_DM	HOPPER2	TRANSIB4	RT1C	DMTOM1_LTR	GYPSY8	GYPSY5	INE1	DMZAM	LOOPER1_DM	S2	GYPSY11	G3	TRANSIB1	DMREPG	GYPSY9	R1-2	FW3	AF541951	OSV	INVADER5	Q	STALKER3	BS4
Cont_B1_old_F	Cont	B1	old	F	1378738.96594355	7738.70293279153	343.965306542923	3267.15394773353	1460.56139174683	10124.768572774	2260.04832046822	2600.91484046571	1702.2667422905	6224.42924092389	1183.73646035492	1371.72951077778	1220.92189890011	832.540651872661	1574.18356507932	976.117761810998	2483.1609517393	1640.29101138187	2637.06735016241	489.608274178215	1142.41930641583	599.098732116803	1266.3707682331	636.284170661984	1222.98775659706	1349.00507611128	991.611694538157	795.35521332748	1158.94616799147	500.970491511465	1101.10215247674	1400.65151853515	891.417596235864	704.457474661482	937.89939441734	452.422835633034	535.057143511214	344.9982353914	648.679316843711	499.937562662987	710.655047752346	105.358742544679	523.694926177964	154.939327271587	506.135135753851	298.516437209924	403.875179754603	386.31538933049	360.492168118559	216.915058180222	388.381247027445	245.837065937585	655.909818783051	264.429785210175	334.668946906628	206.585769695449	262.363927513221	388.381247027445	259.265140967789	280.956646785811	308.845725694697	231.376062058903	196.256481210677	317.109156482515	201.421125453063	239.639492846721	270.627358301039	204.519911998495	241.705350543676	55.7781578177713	415.237397087853	150.807611877678	274.759073694948	221.046773574131	139.445394544428	223.112631271085	262.363927513221	491.674131875169	200.388196604586	241.705350543676	175.597904241132	185.927192725904	169.400331150268	154.939327271587	164.235686907882	189.025979271336	113.622173332497	144.610038786814	113.622173332497	51.6464424238623	61.9757309086348	42.3500827875671	81.6013790297025	105.358742544679	53.7123001208168	61.9757309086348	59.9098732116803	69.2062328479755	64.0415886055893	37.1854385451809	44.4159404845216	65.0745174540665	66.1074463025438	80.5684501812252	57.8440155147258	73.3379482418845	57.8440155147258	53.7123001208168	45.4488693329988	46.4817981814761	35.1195808482264	43.3830116360444	43.3830116360444	45.4488693329988	35.1195808482264	29.9549366058401	20.6585769695449	16.5268615756359	11.3622173332497	12.395146181727	18.5927192725904	7.23050193934073	6.19757309086348
Cont_B2_old_F	Cont	B2	old	F	824795.635258543	10397.4672773164	12647.3812949536	3303.25813064872	2568.99932553745	5283.94391974516	6381.70615800411	1812.98470397844	1169.37513406609	4827.0717743426	864.793703797716	1338.88920388808	942.752046068789	1143.08685585841	1269.08929278491	1261.83735396899	7008.09237322866	3444.67093755904	5246.7777333136	654.487478136217	975.385770740401	950.003984884702	1069.66097534728	629.105692280518	802.24573151046	1553.72789130952	1009.83248011599	630.918676984497	942.752046068789	515.794148281866	380.726787835472	369.848879611602	605.536891128799	591.033013496971	1029.77531185975	404.295588987192	460.498114810524	295.516506748486	580.155105273101	562.931750585306	561.118765881327	162.26213100607	315.459338492248	176.766008637898	400.669619579235	414.267004859073	344.467093755904	283.732106172626	242.033457981122	248.378904445046	264.695766780852	212.119210365477	183.111455101822	123.282959870534	293.703522044507	209.39973330951	239.313980925154	143.225791614297	244.752935037089	239.313980925154	358.970971387731	239.313980925154	128.721913982469	250.191889149025	185.83093215779	174.04653158193	342.654109051925	176.766008637898	215.745179773434	49.8570793594071	270.134720892788	152.290715134189	210.306225661499	190.363393917736	151.3842227822	163.16862335806	181.298470397844	13.5973852798383	236.594503869186	206.680256253542	153.197207486178	161.355638654081	150.47773043021	135.973852798383	143.225791614297	158.636161598113	96.0881893108573	123.282959870534	106.059605182739	92.4622199029004	67.0804340472023	48.0440946554287	76.1453575670945	92.4622199029004	43.5116328954825	58.0155105273101	60.7349875832777	66.173941695213	48.0440946554287	65.2674493432238	43.5116328954825	54.3895411193532	52.5765564153747	65.2674493432238	43.5116328954825	50.7635717113963	52.5765564153747	28.1012629116658	47.1376023034394	45.324617599461	26.2882782076874	38.0726787835472	41.6986481915041	45.324617599461	22.6623087997305	17.2233546877952	15.4103699838167	16.316862335806	8.15843116790298	12.6908929278491	10.8779082238706	5.43895411193532	1.81298470397844
Cont_B3_old_F	Cont	B3	old	F	1141634.56625708	5527.1049096552	994.68522820678	1410.16436777634	1614.38292790375	6650.30699035595	3349.36043657239	1431.29042572055	1292.21054425447	2303.62056833376	1424.24840640581	1308.05508771263	936.58856886019	856.485599155042	1296.61180632618	889.054938485706	3572.06429740099	2602.02613679579	316.890869163222	648.746029370263	882.89317158531	415.479139569558	851.204084668988	778.143134278579	1063.34491652548	1337.98366980027	793.98767773674	1012.29027649363	468.294284430095	411.077877497846	654.907796270659	1664.55731552126	561.601040350377	588.888865194988	585.367855537619	634.661990740786	400.514848525739	234.147142215047	325.693393306645	489.42034237431	318.651373991907	378.508538167182	369.706014023759	201.577802884383	387.311062310605	311.609354677168	368.825761609417	316.890869163222	243.829918772813	245.590423601497	294.004306390323	197.176540812672	176.050482868457	130.277357322658	262.315219474	132.037862151343	235.907647043732	167.247958725034	345.058946422175	200.697550470041	292.243801561638	272.878248446108	219.182851171229	198.937045641356	195.416035983987	144.361395952135	279.920267760846	164.607201482007	197.176540812672	48.4138827888256	143.481143537792	153.163920095557	271.117743617423	153.163920095557	149.642910438188	169.888715968061	311.609354677168	187.493764254906	146.121900780819	251.752190501893	154.0441725099	162.846696653322	102.989532478047	159.325686995953	177.810987697141	119.714328350551	121.474833179235	186.613511840564	116.193318693181	121.474833179235	100.34877523502	51.9348924461947	72.1806979760673	77.4622124621209	51.0546400318524	54.5756496892216	28.1680772589531	63.3781738326444	56.3361545179061	86.2647366055438	33.4495917450068	61.6176690039598	51.0546400318524	91.5462510915975	44.0126207171142	47.5336303744833	52.815144860537	113.552561450155	89.7857462629129	31.6890869163222	20.2458055298725	36.9706014023759	42.2521158884296	43.1323683027719	70.4201931473827	21.1260579442148	23.7668151872417	12.323533800792	12.323533800792	6.16176690039598	10.5630289721074	19.3655531155302	1.76050482868457
Cont_B4_old_F	Cont	B4	old	F	1143601.95233176	7889.02960437397	6281.62096724949	2383.30148659864	3442.96559693759	11109.5034486069	1399.0583093799	2986.66895156032	1940.2035045174	2234.34514368622	788.148751106195	1460.33781754007	2699.12664403952	1044.57992371491	1293.4690030116	1467.87991085209	4207.54530644372	2931.04601338416	4896.70408282964	515.690630209436	1002.15564883479	428.013795457192	1016.29707379483	761.751424514121	942.761664002626	1386.80240774786	911.650529090539	652.391071489817	1206.73492992336	529.832055169476	371.448095617034	312.996872448872	632.593076545762	625.993744897743	531.717578497481	461.953215361287	160.269482880446	313.939634112874	322.424489088898	382.761235585066	395.0171372171	213.064136064593	411.044085505145	177.239192832494	424.242748801182	345.050769024961	384.646758913071	271.515359232756	433.670365441208	268.687074240748	228.148322688635	186.66680947252	492.121588609371	188.552332800525	275.286405888767	218.720706048609	231.919369344646	218.720706048609	204.57928108857	298.855447488832	324.310012416903	280.00021420878	150.84186624042	224.377276032625	174.410907840486	172.52538451248	373.33361894504	172.52538451248	184.781286144515	49.0236065281365	222.49175270462	169.697099520473	231.919369344646	143.299772928399	192.323379456536	182.895762816509	148.956342912415	286.599545856798	188.552332800525	184.781286144515	153.670151232428	168.75433785647	158.383959552441	141.414249600394	150.84186624042	198.922711104554	147.07081958441	148.956342912415	115.01692300832	45.252559872126	53.7374148481497	48.0808448641339	86.7340730882415	87.6768347522442	49.0236065281365	56.5656998401575	37.710466560105	79.1919797762205	51.8518915201444	50.9091298561418	49.0236065281365	71.6498864641995	51.8518915201444	74.4781714562074	47.1380832001313	47.1380832001313	54.6801765121523	34.8821815680971	50.9091298561418	33.9394199040945	26.3973265920735	42.4242748801181	35.8249432320998	50.9091298561418	56.5656998401575	22.626279936063	20.7407566080578	16.9697099520473	18.8552332800525	5.65656998401575	14.1414249600394	11.3131399680315	0.942761664002626
Cont_B5_old_F	Cont	B5	old	F	990894.385648699	6433.95274720294	1356.3732828833	2382.47359153851	3726.1063739323	7457.11294036057	920.256150742355	1901.27468843468	1470.0577487897	1842.4723784831	1241.7087784777	1290.71070343736	1172.12604503499	947.697228719763	1358.33335988169	1344.61282089298	1725.84779707911	2330.53155108128	682.106795438423	323.412704733735	1202.50723850998	658.585871457788	1381.85428386232	842.833109306097	1072.16211811729	1379.89420686394	985.918730188295	637.025024475539	1303.45120392687	484.139018601409	617.424254491676	413.576246659503	697.787411425513	638.985101473925	882.034649273823	464.538248617547	490.999288095761	319.492550736962	620.364369989255	346.93362871437	329.292935728894	389.075284179675	317.532473738576	154.846082872516	397.895630672413	280.291010769237	470.418479612705	291.071434260361	442.977401635298	290.091395761168	188.167391845082	213.648392824104	2434.41563199575	247.949740295863	256.770086788602	199.9278538354	229.329008811194	175.426891355571	228.348970312001	351.833821210336	205.808084830559	258.730163786988	174.446852856378	276.370856772464	187.187353345889	248.929778795057	294.011549757941	220.508662318456	223.448777816035	52.9220789564294	180.327083851537	164.646467864447	208.748200328138	201.887930833786	164.646467864447	171.506737358799	197.967776837014	258.730163786988	150.925928875743	248.929778795057	127.405004895108	168.566621861219	153.866044373322	150.925928875743	164.646467864447	181.30712235073	115.64454290479	167.586583362026	117.604619903176	167.586583362026	60.7623869499744	68.6026949435195	74.4829259386783	81.3431954330303	39.2015399677254	64.682540946747	62.7224639483607	68.6026949435195	52.9220789564294	62.7224639483607	43.121693964498	43.121693964498	64.682540946747	90.1635419257685	49.0019249596568	33.3213089725666	35.2813859709529	35.2813859709529	47.0418479612705	39.2015399677254	45.0817709628843	38.2215014685323	22.5408854814421	50.9620019580431	52.9220789564294	27.4410779774078	15.6806159870902	13.7205389887039	13.7205389887039	9.80038499193136	9.80038499193136	4.90019249596568	1.96007699838627
Sel_O1_old_F	Sel	O1	old	F	178571.638532357	7938.63673138598	1144.51017187473	4133.88845576648	1349.28772713663	1986.06176884144	1172.56189177362	1295.98945932874	1845.80316934699	1649.44113005476	1165.08143313391	1295.98945932874	493.710270220471	923.836642003457	1445.59863212282	1475.52046668164	1342.74232582689	989.290655100868	641.449328354627	610.592436465848	1186.58775172306	1176.30212109347	1144.51017187473	613.397608455737	854.642399586194	1244.56130618077	1069.70558547769	736.825176010855	781.707927849079	390.85396392454	731.214832031077	601.241863166218	827.525737017267	611.527493795811	1580.24688763749	562.904512637734	322.59477883724	398.334422564244	370.282702665353	368.412588005427	366.542473345501	317.919492187425	249.660307100125	187.011465992603	392.724078584466	321.659721507277	317.919492187425	396.464307904318	276.776969669052	368.412588005427	316.049377527499	248.725249770162	256.205708409866	187.011465992603	273.0367403492	273.0367403492	215.063185891493	222.543644531197	261.816052389644	306.698804227868	269.296511029348	293.608001608386	160.829860753638	213.193071231567	226.283873851049	384.308562614799	343.166040096426	226.283873851049	230.024103170901	63.5838984374849	404.879823873985	168.310319393342	192.621809972381	220.673529871271	183.271236672751	207.582727251789	216.933300551419	108.46665027571	201.972383272011	270.231568359311	147.739058134156	169.245376723305	123.427567555118	143.063771484341	154.284459443897	226.283873851049	123.427567555118	138.388484834526	117.81722357534	119.687338235266	120.622395565229	55.1683824678178	89.7655036764493	104.726420955858	53.2982678078918	74.8045863970411	71.064357077189	82.2850450367452	57.0384971277438	50.4930958180027	41.1425225183726	46.7528664981507	73.8695290670781	74.8045863970411	82.2850450367452	61.7137837775589	50.4930958180027	31.7919492187425	55.1683824678178	32.7270065487055	22.4413759191123	34.5971212086315	25.2465479090014	55.1683824678178	43.0126371782986	28.0517198988904	24.3114905790383	14.9609172794082	13.0908026194822	14.9609172794082	9.35057329963013	9.35057329963013	0
Sel_O2_old_F	Sel	O2	old	F	156296.730718346	6421.81450505425	2199.92094889583	3303.569471875	2144.60022092695	1722.31866409782	1532.384164738	2292.1221621773	2188.85680330205	3212.29027072635	1038.18566154933	1297.27107087026	623.280201782724	893.429756697426	1554.51245592555	925.70018134594	1004.993224768	306.108028094474	2542.90946230289	878.677562572391	1191.23967559657	839.03104086136	1090.74035311977	671.224832689088	913.714023619349	1249.32643996389	982.86493358045	687.821051079752	1192.16168772938	401.997289907201	1406.06850254239	427.813629626012	599.307886329543	615.904104720207	789.242385689367	486.822406126152	438.877775219788	396.465217110313	465.616127071414	508.950697313704	337.456440610173	141.989868453461	372.492901657131	249.865287992779	418.593508297865	234.191081734929	296.887906766327	411.217411235348	182.558402297307	250.787300125593	439.799787352603	200.076632820786	489.588442524596	153.054014047237	256.319372922481	164.118159641013	236.957118133373	210.218766281747	253.553336524037	221.282911875523	264.617482117813	245.255227328705	136.457795656573	321.782234352324	242.489190930261	179.792365898863	313.484125156992	205.608705617674	221.282911875523	59.0087765001396	228.659008938041	154.898038312866	208.374742016118	184.402426562936	156.742062578496	182.558402297307	180.714378031677	47.0226187735487	167.806208172272	162.274135375384	154.898038312866	172.416268836345	143.83389271909	165.040171773828	130.925722859685	202.84266921923	112.485480203391	132.769747125314	123.549625797167	94.0452375470975	78.3710312892479	58.0867643673249	91.2792011486534	92.2012132814681	61.7748128985836	51.6326794376221	62.6968250313983	77.4490191564332	49.7886551719928	232.3470574693	46.1006066407341	54.3987158360662	64.5408492970277	78.3710312892479	55.3207279688809	40.568533843846	50.7106673048075	35.0364610469579	36.8804853125872	31.3484125156992	20.284266921923	32.2704246485138	30.4264003828845	88.5131647502094	35.0364610469579	20.284266921923	17.5182305234789	22.1282911875523	15.6742062578496	13.8301819922202	11.0641455937762	9.22012132814681	3.68804853125872
Sel_O3_old_F	Sel	O3	old	F	228586.978606243	8137.3754258178	12693.9608602323	4196.26520899164	1877.45801667703	3260.12223097912	1361.97597169408	2652.40510436879	2229.15814101322	2799.80883295087	2103.30466514782	1956.76294667441	670.643864543035	958.555240837859	1584.3745797302	1163.71364670064	1296.46320343538	770.637037148423	2882.56180338292	943.039058881851	1202.50410159066	1667.12755016225	906.834634317831	787.877239321766	993.035645184545	1282.6710416967	1065.44449431258	791.325279756434	1468.00321506014	377.560427596207	1209.40018246	751.672814757746	699.952208237718	675.815925195038	1108.54499974594	581.856823350319	687.884066716378	372.388366944204	562.030590850975	637.887480413683	665.471803891032	293.945447055495	417.212892594896	181.884132928766	479.27762041893	327.563841293513	332.735901945516	383.594498356877	277.567254990819	327.563841293513	534.446267373627	274.11921455615	363.768265857533	167.229961081425	337.907962597519	298.25549759883	251.706951730805	267.223133686813	323.253790750177	207.744436188781	287.911376294825	256.879012382808	158.609859994754	313.771679554839	287.911376294825	189.642223906771	386.180528682879	237.914789992131	214.640517058118	60.3407076066998	279.291275208153	216.364537275452	234.466749557462	231.018709122793	155.161819560085	218.950567601454	191.366244124105	196.538304776108	229.294688905459	238.776800100798	157.747849886087	184.470163254768	149.989758908082	163.781920646757	155.161819560085	220.674587818788	141.369657821411	168.953981298759	118.957394996065	68.9608086933712	85.3390007580468	56.8926671720312	94.8211119533854	99.9931726053882	68.9608086933712	68.098798584704	56.0306570633641	82.7529704320454	58.6166873893655	55.1686469546969	43.100505433357	51.7206065200284	81.0289502147111	78.4429198887097	63.7887480413683	55.1686469546969	52.5826166286955	39.6524649986884	47.4105559766927	43.9625155420241	27.5843234773485	43.100505433357	29.3083436946828	59.4786974980326	49.9965863026941	24.9982931513471	20.6882426080114	6.89608086933712	18.9642223906771	17.2402021733428	16.3781920646757	8.6201010866714	2.58603032600142
Sel_O4_old_F	Sel	O4	old	F	200071.791427398	8123.13396376358	6725.79382513816	3938.11775910849	1999.70230364691	3820.79722115373	1490.14593730606	2132.78231684933	1933.1622970457	2603.81552147369	1896.3901881345	2151.16837130493	663.649013206811	1074.27089604849	1539.17541585432	970.083254133439	1362.31908251952	905.294300337524	2346.41075909532	777.467445550987	1120.67379538881	1499.77672773518	1020.86378548699	984.967202978447	1106.66537294645	1260.75801981241	922.804828390474	795.853500006585	1293.15249671037	409.746356439034	1225.73696370651	1006.85536304463	658.395854790926	635.632168322091	1187.21380199002	553.332686473225	653.142696375041	371.223194722543	576.09637294206	480.663995053482	654.893749180336	246.898445546597	395.737933996674	173.354227724207	492.0458382879	294.176871289563	350.210561059003	394.862407594026	292.425818484268	308.185293731923	567.341108915585	306.434240926628	300.305556108095	150.590541255371	322.193716174283	227.636864688352	267.03555280749	239.894234325417	318.691610563693	251.276077559835	302.932135316038	246.02291914395	155.843699671256	274.915290431318	246.898445546597	203.122125414222	414.999514854919	217.130547856582	220.632653467172	61.2868481853256	281.919501652498	189.113702971862	229.387917493647	246.02291914395	167.225542905674	206.624231024812	201.371072608927	152.341594060666	232.890023104237	236.392128714827	155.843699671256	189.989229374509	160.221331684494	147.963962047429	162.847910892437	207.499757427459	161.096858087142	147.088435644781	120.822643565356	87.5526402647508	77.0463234329807	54.2826369641455	94.5568514859309	92.8057986806359	59.5357953800306	61.2868481853256	49.0294785482605	79.6729026409233	52.5315841588505	68.2910594065056	45.5273729376704	68.2910594065056	76.1707970303332	82.2994818488658	70.0421122118007	50.7805313535555	52.5315841588505	32.3944768979578	45.5273729376704	37.6476353138429	24.5147392741302	33.2700033006053	32.3944768979578	54.2826369641455	43.7763201323754	29.7678976900153	21.8881600661877	7.00421122118007	17.5105280529502	14.0084224423601	5.25315841588505	9.63079042912259	1.75105280529502
Sel_O5_old_F	Sel	O5	old	F	115467.470521796	7521.00893581236	1353.41827468121	2218.15263541712	1478.76842361142	3655.1376760518	885.626052224282	1792.14379593693	1510.56012805024	1471.50174831111	1560.51852073981	1358.86828115644	1515.10180011292	978.27616230313	1371.58496293196	743.925883868397	905.609409300112	1033.68456146793	1660.43530611896	879.267711336518	1113.61798977125	1780.33544857394	1148.13469744768	1055.48458736884	958.2928052273	1185.37640836173	859.284354260688	733.934205330482	881.084380161593	457.800543919013	1206.2680998501	813.867633633801	686.70081587852	535.00896898472	1264.40150225251	515.933946321428	459.617212744089	317.917044388204	621.300738175804	232.533609609658	463.25055039424	297.933687312374	339.717070289109	294.300349662223	422.375501830042	325.183719688505	426.917173892731	379.683784440769	356.067089714788	304.292028200138	328.817057338656	223.45026548428	288.850343186996	129.891820992895	345.167076764335	223.45026548428	243.43362256011	185.300220157696	263.41697963594	277.950330236544	249.791963447874	283.40033671177	152.600181306338	618.575734938191	208.008580471139	190.750226632922	372.417109140467	228.900271959507	227.083603134431	63.5834088776407	297.933687312374	198.016901933224	225.266934309356	227.083603134431	195.291898695611	218.000259009054	188.933557807847	144.425171593498	195.291898695611	226.175268721893	158.050187781564	171.67520396963	206.191911646064	130.800155405432	157.141853369026	175.308541619781	119.90014245498	143.516837180961	121.716811280055	111.72513274214	83.5667659534707	62.675074465103	89.016772428697	109.000129504527	59.9500712274898	67.2167465277916	62.675074465103	67.2167465277916	47.2333894519617	67.2167465277916	55.4083991648012	64.4917432901785	65.4000777027162	74.4834218280934	63.5834088776407	64.4917432901785	46.325055039424	42.6917173892731	54.5000647522635	38.1500453265844	21.8000259009054	38.1500453265844	38.1500453265844	70.8500841779425	55.4083991648012	24.5250291385186	18.1666882507545	15.4416850131413	17.2583538382168	10.9000129504527	9.08334412537725	10.9000129504527	0.908334412537725
