Regime	Pop	Age	DMCOPIA	DM_ROO	Beagle	DMU89994	DMLINEJA	DMRER1DM	DMBLPP	DME487856	DMW1DOC	DMRER2DM	OPUS	1360	AF222049	DMIS297	DMCR1A	RT1B	DMRTMGD1	BLOOD	SPRINGER	DMTN1731	F	DM14101	DM23420	DME9736	412	ROOA_LTR	DOC3	DME010298	PPI251	QUASIMODO	AY561850	STALKER2	GYPSY4	INVADER2	Tinker	BAGGINS	DM06920	DOC2	Beagle2	JUAN	ACCORD	DMDM11	DMMDG3	TABOR	TC1-2	ROVER	DMIS176	ROXELEMENT	BS	DMIFACA	TAHRE	GYPSY12	DMGYPF1A	GYPSY7	CIRC	INVADER4	TRANSIB2	IVK	TIRANT	DMTNFB	DMPOGOR11	DM33463	DM88	GYPSY6	DME278684	DMTRDNA	GYPSY2	DIVER2	TC1	McCLINTOCK	GTWIN	INVADER	G4_DM	DMHFL1	STALKER4	GYPSY10	G5_DM	TARTC	INVADER6	DMBARI1	DMTHB1	QBERT	INVADER3	G5A	TRANSIB3	GYPSY3	STALKER	DOC5	JOCKEY2	FB	DMAURA	FW2	MARINER2	G2	DOC4	HEL	FROGGER	BS3	TC3	G6_DM	HOPPER2	TRANSIB4	RT1C	DMTOM1_LTR	GYPSY8	GYPSY5	INE1	DMZAM	LOOPER1_DM	S2	GYPSY11	G3	TRANSIB1	DMREPG	GYPSY9	R1-2	FW3	AF541951	OSV	INVADER5	Q	STALKER3	BS4
21	Cont	B1	old	3224912.11836153	18794.549833166	1214.51627781991	5838.51532179112	4356.49496704725	7740.89922598691	4342.16439149775	7931.97356664688	4067.49502679905	14424.9185051984	4600.1147513887	3698.48270639949	3745.05707693535	2346.63174623022	3711.61906731986	2897.16469025675	3066.74316759247	2784.90851511902	7912.86613258088	3739.08600378973	2925.82584135574	1478.43771085649	2727.58621292103	2761.02422253652	1901.18968956667	2335.8838145681	2018.2227232209	3083.46217240022	1831.92524107743	2743.11100309965	2123.31361058388	3642.35461883062	1953.73513324816	1468.8839938235	781.016367447615	1406.78483310901	1141.6691854433	1193.02041449567	735.636211540873	1153.61133173455	1108.23117582781	623.380036403142	1208.54520467429	919.545264426091	826.396523354357	654.429616760387	1060.46259066282	735.636211540873	585.165168271149	766.685791898117	649.652758243888	693.838699521505	615.020533999269	1171.52455117142	728.470923766124	653.235402131262	592.330456045898	862.222962228101	420.363549451927	629.351109548766	523.06600755666	470.520563875169	544.561870880906	535.008153847907	434.694125001425	471.714778504293	293.776798764699	523.06600755666	446.636271292673	711.751918958377	600.689958449771	469.326349246044	425.140407968426	525.454436814909	486.045354053791	398.867686127681	548.14451476828	635.32218269439	326.020593751069	296.165228022949	341.545383929691	407.227188531555	360.652817995688	300.942086539448	360.652817995688	315.272662088945	260.338789149205	288.9999402482	198.239628434716	113.450389766855	222.123921017212	207.793345467714	188.685911401717	163.607404190097	148.082614011474	181.520623626969	126.586750687228	133.752038461977	138.528896978476	69.264448489238	66.8760192309884	99.1198142173579	71.6528777474876	66.8760192309884	81.206594780486	124.198321428979	78.8181655222364	121.809892170729	74.0413070057372	71.6528777474876	112.256175137731	71.6528777474876	83.5950240387355	21.4958633242463	54.9338729397405	54.9338729397405	42.9917266484926	44.1859412776174	33.4380096154942	21.4958633242463	27.4669364698702	16.7190048077471	4.77685851649917
22	Cont	B2	old	1796984.61823489	29722.5132089294	11129.565969266	6111.38169925634	7618.0182348488	1855.64357341679	5504.64638734634	4673.47270342007	3025.0856170805	1713.89302266968	3409.53029259162	3601.75263034717	3050.85844448906	3061.59712257597	3184.01805276666	4006.60079422341	3800.41817495488	4405.0057512475	6328.30299661178	3584.57074540813	2978.90930130682	2590.16915456094	2149.88335299793	2800.64724506423	1265.01627863714	2201.42900781506	2301.29871402325	2477.41303464846	1677.38151717421	2977.83543349813	1127.56119912479	1491.60238627079	1445.42607049711	1437.90899583628	762.446144170094	1292.93684166309	734.525581144147	966.481027821246	809.696327752466	984.73678056898	818.287270221988	880.571603126024	929.969522325776	788.21897157866	790.366707196041	1179.10685394192	725.934638674624	627.138800275119	517.604283788712	846.207833247935	444.581272797773	661.502570153208	322.160342607082	670.09351262273	526.195226258234	821.508873648059	622.843329040358	460.689289928127	493.979191997526	558.411260518942	433.84259471087	517.604283788712	506.865605701809	577.740881075367	468.206364588959	419.882313197897	358.671848102551	447.802876223844	493.979191997526	652.911627683686	435.990330328251	468.206364588959	360.819583719932	425.251652241348	493.979191997526	368.336658380764	329.677417267914	147.119889790567	401.626560450162	390.887882363259	362.967319337312	356.524112485171	328.603549459223	307.126193285418	310.347796711489	287.796572728993	268.466952172568	225.512239824957	191.148469946869	310.347796711489	166.449510346992	208.330354885913	163.227906920921	146.046021981877	143.898286364497	161.080171303541	115.977723338549	125.642533616762	150.341493216638	76.2446144170094	167.523378155683	104.165177442956	86.9832925039121	77.3184822256996	94.500367164744	81.6139534604607	73.0230109909385	98.7958383995051	82.687821269151	73.0230109909385	71.9491431822483	56.9149938605845	65.5059363301066	26.8466952172568	40.8069767302304	44.0285801563012	45.1024479649915	51.5456548171331	40.8069767302304	19.3296205564249	16.1080171303541	10.7386780869027	9.66481027821245
23	Cont	B3	old	3219962.36898395	17380.7487642709	4424.13015973313	4488.94649190051	6727.60288752806	5868.37099700138	10849.25683048	3975.40170626658	5338.20663901683	3729.43203547751	6684.39199941647	5863.38512529619	3832.47338405131	3320.59055565244	4400.86275844227	3171.01440449692	3701.17876248147	2978.22736522981	774.472071538556	3795.91032487996	4068.47131143001	1500.74738326034	2499.58368153216	3756.02335123849	2436.42930659984	2389.89450401812	2310.12055673518	3436.92756210673	877.513420112355	3623.06677243359	2044.20739912537	6411.83101286642	1665.2811495314	1698.52029423263	1126.80700537155	2464.68257959588	1332.88970251915	3310.61881224207	1017.1178278575	1299.65055781792	767.824242598311	1912.91277755553	1070.30045937946	1294.66468611274	907.428650343458	950.639538455052	1372.77667616062	890.809077992846	601.628519092183	953.963452925174	721.289440016595	910.752564813581	375.602335123849	900.780821403213	834.302532000762	674.754637434879	791.091643889169	704.669867665982	874.189505642233	678.078551905002	543.460015865038	711.317696606228	727.93726895684	535.150229689732	737.909012367208	488.615427108016	501.911084988506	546.783930335161	535.150229689732	744.556841307453	206.082697147599	711.317696606228	558.41763098059	442.0806245263	726.275311721779	581.685032271448	953.963452925174	460.362154111974	471.995854757403	671.430722964757	462.024111347036	471.995854757403	330.729489777195	422.137137705565	541.798058629977	229.350098438457	385.574078534217	398.869736414707	242.645756318947	397.207779179646	265.913157609805	290.842516135724	202.758782677476	201.096825442415	339.039275952501	179.491381386618	132.956578804902	196.110953737231	176.167466916496	151.238108390576	169.51963797625	113.013091984167	93.0696051634316	78.1119900478801	119.660920924412	132.956578804902	106.365263043922	142.92832221527	142.92832221527	59.8304604622061	113.013091984167	91.4076479283704	114.675049219228	34.9011019362869	59.8304604622061	83.097861753064	49.8587170518384	46.5348025817158	43.2108881115933	23.2674012908579	21.6054440557966	16.6195723506128	6.64782894024512
24	Cont	B4	old	2709723.75533479	24138.8644561203	16787.5725284718	6371.81991871373	10772.879133123	4156.84769475534	5994.99891795732	10327.7839440763	5968.73961476872	4561.24096385977	5163.89197203814	4478.52415881568	12746.2657677463	2937.10306164488	4201.48851017596	5419.92017812698	3904.75838414478	3350.68708686533	6696.12231309293	5204.59389198047	3663.17279480966	1512.53586366334	3240.39801347321	3713.065470868	1870.97535218773	2492.00787259811	2467.06153456894	3013.25504089182	1844.71604899913	3206.26091932803	1084.50922168917	1155.40934029839	1872.28831734716	1685.8472647081	559.323157917174	1546.67295780852	619.719555250954	1169.85195705212	903.320029687831	1131.77596742865	971.59421797819	1160.66120093611	1172.47788737098	1029.36468499311	926.953402557571	976.84607861591	1169.85195705212	677.490022265873	1252.56876209621	946.64787994902	449.034084525055	837.671771716331	548.819436641734	1110.76852487777	674.864091947013	806.160607890012	592.147286902924	814.038398846592	485.797108989095	752.329036353382	519.934203134275	596.086182381214	533.063854728575	439.843328409046	538.315715366295	554.071297279454	395.202512988426	605.276938497224	512.056412177695	623.658450729244	375.508035596976	535.689785047435	480.545248351375	337.432045973507	579.017635308624	488.423039307955	443.782223887335	559.323157917174	375.508035596976	317.737568582057	386.011756872416	460.850770959925	435.904432930756	362.378384002676	383.385826553556	397.828443307286	370.256174959256	325.615359538637	221.891111943668	152.303958493878	212.700355827658	262.593031885997	168.059540407038	181.189192001338	169.372505566468	178.563261682478	126.044655305279	158.868784291028	157.555819131598	84.0297702035191	118.166864348699	99.785352116679	78.7779095657992	84.0297702035191	72.2130837686493	131.296515942999	76.1519792469392	128.670585624139	73.5260489280792	74.8390140875092	112.915003710979	78.7779095657992	73.5260489280792	34.1370941451797	49.8926760583395	65.6482579714993	47.2667457394795	68.2741882903593	31.5111638263197	23.6333728697398	39.3889547828996	15.7555819131598	7.87779095657992
25	Cont	B5	old	2166975.24286728	21021.6939748671	5732.03076497042	5194.25464606924	14440.9454487872	2072.09471406001	3252.14373326023	4557.07914974083	4870.56949393441	973.604158389818	7714.92090954445	4187.51736187034	4284.36803731226	3392.32234245248	4414.35183856326	4712.54997084496	3008.74269366278	2561.44549524023	2181.68889942849	3234.30281936304	4247.41185852522	2032.58983328764	3507.0139317916	3969.60334212603	2096.30738292049	2064.44860810407	2423.81558803329	2772.98776002126	2279.81392586307	3306.94082594447	1827.41932346989	1508.83157530569	1948.48266777229	1851.63199233037	1513.92897927631	1513.92897927631	1073.00353581705	1241.21786684775	999.091178242955	1250.13832379635	841.071655153508	1391.59128398126	1121.42887353801	1044.9678139786	823.230741256312	846.169059124135	1350.81205221624	797.743721403176	1478.24715148192	1302.38671449528	527.581310959928	728.928767799707	644.821602284356	1541.96470111476	841.071655153508	770.982350557382	672.857324122806	788.823264454578	639.724198313729	968.506754419191	377.207893826422	637.175496328415	713.636555887825	479.155973238968	522.4839069893	857.638218058047	428.181933532695	624.431986401847	530.130012945241	823.230741256312	254.870198531366	560.714436769005	499.545589121478	563.263138754319	553.068330813064	498.271238128821	440.925443459263	658.839463203581	446.022847429891	354.269575958599	383.579648789706	481.704675224282	428.181933532695	356.818277943913	425.633231547381	314.764695186237	336.428662061403	365.73873489251	177.134787979299	406.517966657529	285.45462235513	267.613708457934	191.152648898525	234.480582648857	163.116927060074	243.401039597455	151.647768126163	142.727311177565	170.763033016015	101.948079412546	123.612046287713	108.319834375831	90.478920478635	82.832814522694	94.3019734566055	66.2662516181552	91.7532714712918	186.055244927897	79.0097615447235	89.2045694859781	129.983801250997	81.5584635300371	81.5584635300371	45.8766357356459	67.540602610812	64.9919006254983	47.1509867283027	56.0714436769005	35.6818277943913	33.1331258090776	28.0357218384503	15.292211911882	7.64610595594098
26	Sel	O1	old	468992.522300447	19878.8319413893	8346.29394147997	10180.3174349754	4736.73743347088	2539.87469747852	3025.64308224218	2714.35477037322	4506.74097374604	2222.63820130634	4207.34903048355	3571.88467408865	1800.31711577713	3051.41854755616	3761.23520774142	3864.33706899738	2732.19932328291	1594.11339326521	1018.13087990259	3534.2128401682	2993.91943262496	2768.87979315282	2412.98009900965	2904.69666807653	2086.82132638263	2109.622699545	2125.48452435361	2678.66566455385	1623.85431478135	2721.29431872699	1954.96990766106	1832.04076539434	1933.15989854923	1421.61604847159	1213.42959785859	1533.64018618239	848.607627260584	1225.32596646505	854.555811563812	876.36582067565	635.4643563949	1596.09612136629	721.713028791712	928.908115354167	832.745802451975	951.709488516543	852.573083462736	785.160328026148	488.742476915266	848.607627260584	677.101646517499	824.81489004767	513.526578178718	906.106742191792	513.526578178718	1005.2431472456	621.585259687367	640.42117664759	578.95660551423	730.635305246554	434.217454135673	574.991149312078	479.820200460424	319.219224273257	505.595665774413	693.954835376646	358.87378629478	546.241591846474	603.740706777682	628.524808041133	620.593895636829	465.941103752891	410.424716922759	412.407445023835	565.077508806697	422.321085529216	366.804698699084	247.841012634516	517.49203438087	739.557581701397	392.580164013074	395.554256164688	316.245132121643	313.271039970029	370.770154901236	325.167408576485	350.942873890475	260.728745291511	239.910100230212	247.841012634516	336.072413132404	224.048275421603	183.402349349542	136.808238974253	249.823740735592	214.134634916222	160.600976187167	154.652791883938	153.6614278334	61.46457113336	162.583704288243	103.101861255959	79.3091240430452	64.4386632849742	85.2573083462736	132.842782772101	99.1364050538065	71.3782116387407	69.3954835376646	81.2918521441213	71.3782116387407	61.46457113336	105.084589357035	26.7668293645278	55.5163868301317	63.4472992344362	48.5768384763652	45.602746324751	35.6891058193704	23.7927372129136	23.7927372129136	9.91364050538065	5.94818430322839
27	Sel	O2	old	293035.662828768	16553.7596981552	3239.18214523713	6835.28619256822	6265.13821909346	5423.35877207705	4172.74150993484	4436.95642447193	3896.47468701536	5315.81866651108	3956.73422892733	3114.95478191092	2142.45848243933	2285.22724327691	3457.04356599578	2662.54468263338	2111.86517654556	648.02184302254	3947.46353017164	4017.92084071486	2566.12941557424	2041.40786600234	2545.73387831172	2612.48290935267	1479.60352140769	1920.8887821784	1820.76523561698	2436.33963299461	2080.34480077622	2567.98355532537	2771.93892795049	1203.33669848821	1308.09559442747	1237.63828388425	773.176276224318	1359.08443758375	1156.98320470977	948.392482706808	1155.12906495863	1153.2749252075	491.347034051425	754.634878712944	871.445683034603	1138.4418071984	677.688079040739	592.397650488417	780.592835228868	876.081032412447	229.913329141044	528.429829074174	708.281384934507	787.082324357849	496.909453304838	637.824074391284	497.836523180406	544.190016958843	511.742571313937	572.002113225905	380.098648983178	454.264239028676	370.827950227491	419.962653632633	637.824074391284	584.054021608298	558.096065092374	432.941631890595	303.151849310974	508.034291811662	453.337169153107	791.717673735693	226.205049638769	347.651203338273	394.931766992278	248.454726652419	456.118378779814	400.49418624569	289.245801177443	239.184027896732	443.139400521851	294.808220430855	341.161714209292	330.963945578036	381.025718858747	300.370639684268	276.266822919481	232.69453876775	251.235936279125	216.934350883082	213.226071380807	163.164298100096	200.247093122845	248.454726652419	177.997416109196	85.2904285523229	135.352201833034	159.456018597821	135.352201833034	112.175454943816	105.685965814835	628.553375635597	127.935642828484	70.4573105432232	74.1655900454981	48.2076335295738	83.4362888011854	82.5092189256167	68.6031707920858	80.6550791744792	67.6761009165171	59.3324720363985	57.4783322852611	57.4783322852611	47.2805636540051	137.206341584172	66.7490310409483	64.8948912898109	38.0098648983178	37.0827950227491	40.791074525024	24.1038167647869	19.4684673869433	12.9789782579622	5.56241925341236
28	Sel	O3	old	495691.085026052	28892.69468396	9609.4572483251	7028.74296905889	4130.31235480748	3200.55350948272	4317.43363185398	6788.01924285845	4511.37703879279	5011.34170090139	7344.51012407484	5011.34170090139	2535.88313997383	2512.49298034301	3732.67964108369	3432.5059258216	2325.37170329652	957.047364894042	4849.55976345494	4638.07373679302	2709.36015723568	3910.05501828401	1496.97021637194	2537.83231994306	1604.17511467983	2242.53155460406	2027.14716800367	2356.55858280427	2289.31187386569	2401.38972209666	2606.05361886626	1210.4407608945	1421.92678755642	1428.74891744874	1023.31948384801	1367.34974841786	1447.26612715647	937.555565201699	886.876886001607	1516.46201606429	1216.2883008022	986.285064432556	1097.38832267891	789.417887539892	754.332648093674	825.477716970726	805.011327293766	656.873649631959	376.19173406222	728.993308493628	857.639186463092	727.044128524394	594.499890616462	822.553947016875	504.837612031684	1286.45877969464	547.719571354838	629.585130062679	566.236781062564	465.854012646998	304.072075200551	436.616313108483	623.737590154976	519.456461800941	469.752372585466	489.244172277809	341.106494616003	473.650732523935	474.625322508552	577.93186087797	230.977826354265	570.135141001033	407.378613569969	339.157314646768	426.870413262312	419.073693385375	285.554865492825	419.073693385375	460.981062723912	438.565493077718	365.471244231431	345.004854554471	323.563874892894	284.580275508208	325.513054862128	313.817975046722	250.469626046608	228.054056400413	183.222917108024	133.51882789255	206.613076738836	216.358976585007	165.680297384916	79.9163787386063	182.248327123407	183.222917108024	114.027028200207	123.772928046378	142.290137754104	74.0688388309034	146.188497692573	85.7639186463092	66.2721189539662	54.5770391385604	92.5860485386293	75.0434288155206	76.0180188001377	63.3483490001148	63.3483490001148	59.4499890616462	70.1704788924348	48.7294992308575	66.2721189539662	15.5934397538744	33.1360594769831	59.4499890616462	38.0090094000689	15.5934397538744	26.3139295846631	31.1868795077488	25.3393396000459	9.7458998461715	7.7967198769372
29	Sel	O4	old	386739.552052931	15609.8582951782	5824.11691698107	8879.08710351735	7954.80086239034	5804.62895406574	4234.45594203069	2882.36251500051	3492.98535301414	6090.45241015723	4994.48649572851	4637.20717561415	1848.57248225403	2931.54642140587	2923.1944372993	2273.59567345501	2393.30744564917	1503.35713918249	2696.76286818786	3723.12891506183	2467.54730437423	2609.53103418591	2726.45881167788	3343.57763732996	1874.5564328078	1695.45277363359	1674.10881425014	2243.89972996498	1889.40440455281	2212.34779000683	2333.91555866912	3193.24192341171	1412.41331224429	1139.58183142969	1438.39726279807	1232.38165483602	1229.59766013383	857.47036827446	1147.0058173022	730.334610207792	1024.51005040585	870.462343551346	830.558419486625	834.270412422878	741.470589016552	562.366929842341	720.126629633096	658.878746184921	454.719134691002	581.854892757669	868.606347083219	729.406611973729	429.663182371293	604.126850375188	527.102996947937	528.958993416063	534.526982820443	526.174998713873	520.607009309494	441.727159414116	389.759258306573	489.055069351342	476.063094074457	302.527424304626	367.487300689054	389.759258306573	334.079364262777	430.591180605357	427.807185903167	610.622838013631	282.111463155234	421.311198264724	347.071339539662	502.975042862292	471.42310290414	399.039240647205	301.599426070562	266.335493176158	395.327247710952	399.039240647205	322.015387219954	288.607450793676	330.367371326524	283.96745962336	308.095413709005	214.367592068615	315.519399581511	183.743650344527	183.743650344527	174.463668003894	177.247662706084	194.879629153286	161.471692727009	90.9438269382003	185.599646812654	155.903703322629	107.647795151339	146.623720981996	126.207759832605	66.8158728525553	137.343738641364	90.9438269382003	61.2478834481757	63.1038799163023	77.9518516613145	87.2318340019472	63.1038799163023	64.9598763844288	51.0399028734798	50.1119046394165	62.175881682239	66.8158728525553	64.9598763844288	16.7039682131388	46.3999117031634	48.25590817129	33.4079364262777	37.1199293625307	31.5519399581511	16.7039682131388	22.2719576175184	6.49598763844288	5.56798940437961
30	Sel	O5	old	222112.623811182	15428.5240792206	5442.79719283101	4676.82001351955	4930.06992104258	8416.40778731248	2042.60581149722	3057.68126050346	3360.75082196545	2727.62605315787	5224.83620684807	3097.1218198718	6648.84798193658	2576.09127242688	2974.64850393853	1936.73904687694	1685.56495826803	1525.72690188055	1475.90724794159	4402.81191685529	2388.22966069873	3844.41662895615	2383.04011341342	3221.67095471919	1583.849831476	1820.49318768604	1641.97276107145	2397.57084581229	1465.52815337097	2488.90687803371	2572.9775440557	2005.241071043	1490.43798034045	1293.23518349875	1328.52410503884	1254.83253358747	814.758923793353	954.876700496668	1774.82517157533	564.622744641508	1017.15126792036	1085.65329208643	745.218990170226	983.938165294393	734.83989559961	786.73536845269	807.493557593922	653.882957948806	619.631945865773	770.128817139704	454.604342192979	668.413690347668	415.163782824638	568.774382469755	474.324621877149	690.209788945961	527.258004187291	503.386086674874	448.37688545061	431.770334137624	386.102318026914	498.196539389566	508.575633960182	337.320573545019	446.301066536486	454.604342192979	321.751931689095	429.694515223501	443.187338165302	682.94442274653	479.514169162457	535.561279843784	363.268309971559	442.14942870824	522.068456901983	369.495766713928	300.993742547863	256.363635894214	346.661758658573	363.268309971559	305.145380376109	314.486565489664	340.434301916204	315.524474946725	286.463010149001	213.809348154689	294.766285805493	207.581891412319	201.35443466995	169.17924150104	172.292969872225	222.112623811182	176.444607700471	115.207949733837	168.141332043979	124.549134847392	118.321678105022	121.435406476207	131.814501046823	69.5399336231269	114.170040276776	83.0327565649277	60.1987485095726	64.350386337819	89.2602133072973	117.28376864796	72.6536619943117	85.1085754790509	64.350386337819	58.1229295954494	68.5020241660653	60.1987485095726	76.8052998225581	29.0614647977247	39.4405593683407	51.8954728530798	43.592197196587	44.6301066536486	33.2131026259711	16.6065513129855	16.6065513129855	8.30327565649277	8.30327565649277
