Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
FBgn0010019	40974.8135067549	0.101794341860801	0.0913288449768613	1.11459136362221	0.265025572935032	0.507781906179815	40974.8135067549	0.029884758036391	0.0913288450170634	0.327221460326226	0.743500390566965	0.862224130920483
FBgn0087002	119303.834067885	0.158851213227668	0.0660883540928803	2.40361884341104	0.0162336894410602	0.07883879863787	119303.834067885	-0.206422650679092	0.0660883541118426	-3.12343458167772	0.00178753597254162	0.0134355631437079
FBgn0284245	99628.1022621941	-0.0289958546575753	0.0257485666425117	-1.12611529255777	0.260116721847304	0.501733171246577	99628.1022621941	0.143671356568079	0.0257485689424384	5.57978025455552	2.40822633109308e-08	1.09748872092454e-06
FBgn0004047	97602.1135373993	-0.172050110797834	0.074832996239523	-2.2991209686051	0.0214980711247182	0.0967990219392508	97602.1135373993	-0.28386210943457	0.0748329962481255	-3.79327467382653	0.000148673542576632	0.00193480781151478
FBgn0005391	91622.5897827001	-0.144782026698237	0.0749925969803058	-1.93061758797683	0.0535303612007706	0.181050412321615	91622.5897827001	-0.0936540767250709	0.0749925968790934	-1.24884429427167	0.211722029520416	0.403466556799437
FBgn0000559	57080.9983414946	-0.0276366668709467	0.0276945620976485	-0.997909509220704	0.31832324044785	0.56228487935955	57080.9983414946	0.177327171743908	0.027694570040868	6.40295810630864	1.52395019881742e-10	1.20529712821308e-08
FBgn0266599	46529.4469873047	-0.0924795047670665	0.0272842331471784	-3.38948521177808	0.000700239856948748	0.00674009560667963	46529.4469873047	0.122346123829006	0.0272842368848388	4.48413215093403	7.32112819742886e-06	0.000154474544874837
FBgn0065099	36431.1229178839	0.00275820339726853	0.0610468139262037	0.0451817747704701	0.963962421040108	0.983992324027157	36431.1229178839	0.36622503221658	0.0610468203669371	5.99908447344666	1.98433116513442e-09	1.17516501224072e-07
FBgn0086906	14564.7673681642	0.0341958012171792	0.161506054862834	0.211730769141884	0.832317081969144	0.922414070740247	14564.7673681642	-0.47425494745041	0.161506056919937	-2.93645301293878	0.00331989110171938	0.0213416596832605
FBgn0001233	48156.6851136601	-0.0661174925007981	0.0447607944876048	-1.47712955629301	0.139640912136061	0.341910598668424	48156.6851136601	0.00256548342990431	0.044760794101591	0.0573154136649494	0.954293942207777	0.979136343228319
FBgn0005666	15110.5384461581	-0.56625858155047	0.172393577520479	-3.28468490354987	0.00102096481631884	0.00918711864983306	15110.5384461581	-0.705061863153601	0.172393577964449	-4.08983833086286	4.31673969694352e-05	0.000699224497041618
FBgn0066084	47305.5624921188	0.0416697614422446	0.0526160220344644	0.791959555873498	0.428384258949575	0.662607528035414	47305.5624921188	0.293647181355988	0.0526160261520083	5.58094563256521	2.39214415936774e-08	1.09422743468989e-06
FBgn0261836	16352.4992954356	0.180117760401983	0.14239134127032	1.26494882901652	0.2058896718437	0.437178949772316	16352.4992954356	-0.311149030931336	0.14239134186615	-2.1851681910816	0.0288765168643535	0.106513614329138
FBgn0265297	26974.5124353954	-0.0505117375501194	0.0649854876058948	-0.777277195432438	0.436995246417678	0.669958124797018	26974.5124353954	0.000219287107393344	0.0649854873535651	0.00337440121361671	0.997307622479199	0.998432033772599
FBgn0004045	49916.4881273013	-0.115555946574101	0.0676267860471401	-1.70873042071748	0.0875008964087084	0.252773192257678	49916.4881273013	0.0193995965345372	0.0676267857967045	0.286862613770454	0.7742175177841	0.880112439773301
FBgn0064225	33313.1492695911	0.0276070611381163	0.0503291219814412	0.548530553509287	0.583327655892214	0.780361889170912	33313.1492695911	0.288816261832637	0.0503291311892363	5.73855051752622	9.54902811483805e-09	4.79760392048359e-07
FBgn0264695	10790.5529316558	-1.07705916297627	0.257030208743278	-4.19039912951257	2.78464188150717e-05	0.000451035167097085	10790.5529316558	-0.96227851918641	0.257030205333707	-3.74383437906478	0.000181233139215101	0.00226939433466591
FBgn0283427	16724.5150342565	-0.0937280468533749	0.139429741618276	-0.672224202422887	0.50144097546983	0.721426097883296	16724.5150342565	-0.0110443286127542	0.139429741397145	-0.0792107085768455	0.936865027144864	0.974198826358766
FBgn0017545	34690.3052480551	0.0443836676926789	0.059413924967267	0.747024670010124	0.455048669443691	0.684579869217462	34690.3052480551	0.205299269083943	0.0594139279477755	3.4554064370967	0.000549463856936542	0.00542101331127576
