Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj	Ageold.RegimeSel.baseMean	Ageold.RegimeSel.log2FoldChange	Ageold.RegimeSel.lfcSE	Ageold.RegimeSel.stat	Ageold.RegimeSel.pvalue	Ageold.RegimeSel.padj
1360	19.2153577321099	-0.202680211737362	0.24137560416615	-0.839688055624079	0.401083312785544	0.556118350100759	19.2153577321099	-0.419650946091722	0.245144055521886	-1.7118544653197	0.0869234918871943	0.227000760019573	19.2153577321099	0.345627860356651	0.349524576380238	0.988851381885812	0.322735860592755	0.544511287404263
412	34.934478174751	-0.582462068805814	0.181677521541021	-3.20602165785435	0.00134583858495146	0.00813041581361623	34.934478174751	-0.822580135662157	0.185055022588487	-4.44505706549428	8.78685403991051e-06	0.000255642534723646	34.934478174751	0.235513573047612	0.277643405950619	0.848259198669751	0.396293635070512	0.612562155683332
ACCORD	40.7019215278316	-0.00894733310378945	0.354194303378729	-0.0252610869752537	0.979846712113931	0.98746328624473	40.7019215278316	-0.199608557122875	0.355159803966215	-0.562024629177526	0.574099238709561	0.739627308227776	40.7019215278316	0.549579211395606	0.499268981355436	1.10076778634152	0.270997735299114	0.492354462631682
AF222049	47.3397452235837	-0.202702412477393	0.337521551140532	-0.600561391687238	0.548132159480192	0.689436015951095	47.3397452235837	-0.756948826500861	0.341654682979601	-2.2155376882279	0.0267231804588692	0.100696714108384	47.3397452235837	-0.211991706333073	0.488358180303721	-0.434090622176597	0.664222635123748	0.815868582164093
AF541951	15.0457536408819	-0.687981326648148	0.315258451432927	-2.18227718724464	0.0290890816121382	0.085150093333238	15.0457536408819	-1.22799034736651	0.330867664352142	-3.71142447470951	0.000206096162912312	0.00293901245886113	15.0457536408819	0.612759805764866	0.483153424829668	1.26825098255464	0.204708335722299	0.418340246436964
BAGGINS	29.9320223912133	-0.491751569500946	0.293313724563478	-1.67653787845349	0.0936328832300808	0.200004470835589	29.9320223912133	-1.52755810954788	0.312565404102019	-4.8871631009083	1.02299342688163e-06	5.16809935115319e-05	29.9320223912133	0.879963321888451	0.440540213651027	1.99746423736361	0.0457747756620157	0.176130932659527
Beagle	157.684826341524	1.50192681508407	0.886951225049537	1.69335897247358	0.090387159269965	0.195273509651668	157.684826341524	0.00411432515357996	0.888634009141281	0.00462994338642946	0.996305852852769	0.998494433109772	157.684826341524	-0.0669464439795112	1.25426126745086	-0.0533751983871528	0.957432965857067	0.981959576986914
Beagle2	42.4957052287681	-0.12558570444923	0.271050324180065	-0.463329844113377	0.643127957022262	0.766013934001511	42.4957052287681	-0.705566340121646	0.27753228131071	-2.54228566417372	0.011013012346754	0.0537013104854438	42.4957052287681	0.382088719068577	0.391532213404637	0.975880670829247	0.329123601801312	0.551382671895487
BLOOD	65.9443645029984	-0.255517594200824	0.264285055609432	-0.966825739017324	0.333631155057017	0.491675779268366	65.9443645029984	-1.70259926013318	0.277908318838857	-6.12647821140043	8.98455035010059e-10	2.01904533212433e-07	65.9443645029984	0.22515463136918	0.394863947104893	0.570208126165969	0.568536545180265	0.748182089806562
BS	33.8519040939559	-0.255450740124215	0.249203191314639	-1.0250700995305	0.305330112712288	0.461773085427716	33.8519040939559	-0.868382474328962	0.258673375481355	-3.35706167174347	0.000787755393921944	0.00807201556948004	33.8519040939559	0.331722664061571	0.368160776033988	0.901026631992287	0.367574159853323	0.586770741209394
BS3	12.8232628704128	-0.32674790687761	0.297442929369486	-1.09852302614906	0.271976168636837	0.425367975026104	12.8232628704128	-1.1164255030384	0.32678313574283	-3.41641101062509	0.000634523985740853	0.00691416585401227	12.8232628704128	0.602350831833679	0.4616663761007	1.30473186486142	0.191984167092014	0.402165551785132
BS4	2.32499273169396	-0.211250017752916	0.71991461365571	-0.293437601829185	0.769187687629291	0.852752958957473	2.32499273169396	-1.33056910820737	0.817039928837906	-1.62852396956886	0.103413830975251	0.256790983602862	2.32499273169396	0.230542665725416	1.16730572399674	0.197499816017401	0.843436425400691	NA
CIRC	11.8474067179054	-0.302771622683478	0.302193416000401	-1.00191336624977	0.316385436474581	0.474053402137979	11.8474067179054	-0.994983105017629	0.328550195333804	-3.02840515436837	0.00245848236131656	0.0179416904240762	11.8474067179054	0.556223417288787	0.464962781438865	1.19627514178126	0.23158920605254	0.448144926864767
DIVER2	37.7840021584735	-0.527229375606066	0.222463796048103	-2.3699558533653	0.017790209317083	0.0591697021296581	37.7840021584735	-1.02198196890047	0.230476027033247	-4.43422243109496	9.24051859719196e-06	0.000263546869575055	37.7840021584735	0.859487093608648	0.327486971099134	2.62449248201838	0.00867782083445536	0.0657034917575191
DM_ROO	66.717446400677	-0.110433848911658	0.163556432531887	-0.67520333625599	0.499546587297609	0.647392972988647	66.717446400677	-0.476685460570644	0.167185682462423	-2.85123375129797	0.00435499412433958	0.0275847327255472	66.717446400677	0.233702335140337	0.236907357840454	0.986471409206822	0.323901838492267	0.545388053455129
DM06920	39.1721398367611	-0.124923025573055	0.297655005646104	-0.419690659331904	0.674711449571976	0.788909922717372	39.1721398367611	-0.131380762224754	0.296351598238565	-0.443327328098268	0.657528991827001	0.795627246633115	39.1721398367611	0.383173151359635	0.418860004560769	0.914800045808726	0.360296610763343	0.579623672103516
