Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
1360	19.2153577321099	-0.0378392689865159	0.172998516422501	-0.218725973892771	0.826863514610818	0.919145991298262	19.2153577321099	-0.249780245416266	0.173165336973848	-1.44243790230368	0.14917887786235	0.323106689702216
412	34.934478174751	-0.482064543970837	0.135795340972789	-3.54993433881824	0.000385327246377068	0.00416273951628879	34.934478174751	-0.718405894650316	0.136387742417966	-5.2673787388366	1.38385512081248e-07	4.93159300175588e-06
ACCORD	40.7019215278316	0.267794252388864	0.249970587631269	1.07130304779651	0.284033189868602	0.526332753490342	40.7019215278316	0.0784296740021427	0.24995799238993	0.313771419158279	0.753694653116515	0.867888667345046
AF222049	47.3397452235837	-0.303947966548533	0.238336903669681	-1.27528704899928	0.202207660019436	0.432360624837625	47.3397452235837	-0.860453991251205	0.238539047116576	-3.60718298178953	0.000309539376633095	0.00345910958809947
AF541951	15.0457536408819	-0.427709270335905	0.238880701771703	-1.79047226152519	0.0733780226152186	0.224278531902788	15.0457536408819	-0.943032551698197	0.241063037947315	-3.91197489141532	9.15444314577376e-05	0.00129739096559584
BAGGINS	29.9320223912133	-0.0963496574210851	0.230350291492724	-0.418274519197335	0.675746417386211	0.836623627169403	29.9320223912133	-1.08716813984817	0.231529041400559	-4.69560161123505	2.65823184978543e-06	6.41573757133446e-05
Beagle	157.684826341524	1.46843387178979	0.613021145259076	2.39540492713216	0.0166020191481074	0.0800975804668139	157.684826341524	-0.0295104284168219	0.613015991031805	-0.0481397367255479	0.961604877573307	0.98326083861633
Beagle2	42.4957052287681	0.0576749769678839	0.194489283047776	0.296545784241058	0.766813307625829	0.885668632625376	42.4957052287681	-0.513742813634762	0.194657320955488	-2.63921650166057	0.0083097893175579	0.0426233084702688
BLOOD	65.9443645029984	-0.155015216037242	0.192393566063022	-0.805719334639617	0.420404698587949	0.65684092842483	65.9443645029984	-1.59110919125695	0.193521123372281	-8.22188897795977	2.0032259092674e-16	8.41537838108794e-14
BS	33.8519040939559	-0.103414683468457	0.181375030828169	-0.570170452880197	0.568562094277364	0.770527948424592	33.8519040939559	-0.704727723157407	0.182023457795004	-3.87163133639114	0.000108109379894247	0.00148744431888168
BS3	12.8232628704128	-0.0761497341356981	0.22647084743464	-0.336245194462281	0.736685974621833	0.871539734030243	12.8232628704128	-0.817819054884945	0.229798234485421	-3.55885699781923	0.000372472254218078	0.00398789289472438
BS4	2.32499273169396	-0.124223464770957	0.552259695132935	-0.224936684436215	0.82202853042284	0.916065030628048	2.32499273169396	-1.21694521580843	0.570261059437081	-2.13401423027149	0.0328416159746353	0.116225568773976
CIRC	11.8474067179054	-0.0676433556255704	0.227953028925049	-0.296742517283294	0.766663094148583	0.885591650067559	11.8474067179054	-0.719838020035892	0.230779960234474	-3.11915306382985	0.00181371714709464	0.0135740894421448
