TEfam	flybase_name	fb_id	TEsubclass	TEclass	Mean_Cont	Mean_Sel	Diff_SelCont	log2_SelCont	Df_Study	F_value_Study	P_value_Study	Df_Regime	F_value_Regime	P_value_Regime	Df_Interaction	F_value_Interaction	P_value_Interaction	Df_resid	FDR_Study	FDR_Regime	FDR_Interaction
1360	1360	FBte0000559	TIR	DNA	215837.287818182	231139.358291667	15302.0704734848	0.0988188172925785	3	13.9105385462144	2.84550157943634e-06	1	3.58102665064769	0.0660799719831873	3	0.606267935325186	0.61501104347258	38	2.84550157943634e-06	0.0660799719831873	0.61501104347258
412	412	FBte0000007	LTR	RNA	155886.852318182	177798.564041667	21911.7117234848	0.189744417988393	3	31.2400676019329	2.36144836670743e-10	1	6.68860312441474	0.0136597183046149	3	4.1632286727557	0.0120762248223985	38	2.36144836670743e-10	0.0136597183046149	0.0120762248223985
ACCORD	accord	FBte0000956	LTR	RNA	58412.2292727273	55411.7224166667	-3000.50685606061	-0.0760792331082964	3	19.3816823883519	8.67481164169498e-08	1	0.103529149933282	0.749398267852022	3	6.72545994817198	0.000944506721643217	38	8.67481164169498e-08	0.749398267852022	0.000944506721643217
AF222049	Transpac	FBte0001377	LTR	RNA	86098.4674090909	92260.317125	6161.84971590909	0.0997226941270096	3	38.2406720997886	1.4569329965058e-11	1	6.86819039376534	0.0125457515772069	3	0.0457444617695378	0.986809920087804	38	1.4569329965058e-11	0.0125457515772069	0.986809920087804
AF541951	Bari2	FBte0000963	TIR	DNA	1172.86904545455	1268.6925	95.8234545454545	0.113300496707126	3	17.2416657808614	3.15468212231546e-07	1	3.39821707600161	0.0730764976085146	3	1.31812230425177	0.282676863442581	38	3.15468212231546e-07	0.0730764976085146	0.282676863442581
BAGGINS	baggins	FBte0000906	non-LTR	RNA	130272.659818182	146669.465	16396.8051818182	0.171034209901912	3	76.4385227375516	3.72543211892916e-16	1	5.51895868560757	0.024111253149622	3	8.3698482995067	0.000213706821874842	38	3.72543211892916e-16	0.024111253149622	0.000213706821874842
Beagle	HMS-Beagle	FBte0000726	LTR	RNA	102647.580590909	104465.668166667	1818.08757575759	0.0253292661930787	3	37.3056969078888	2.06603286223634e-11	1	0.0840773633204693	0.773422508350411	3	12.0704003185539	1.07745351530077e-05	38	2.06603286223634e-11	0.773422508350411	1.07745351530077e-05
Beagle2	HMS-Beagle2	FBte0001399	LTR	RNA	62716.8465	69731.0100833333	7014.16358333333	0.152947359487442	3	26.5540071721742	1.96994541607788e-09	1	11.4186436324381	0.00169227429648472	3	4.4999376283469	0.0084918423150503	38	1.96994541607788e-09	0.00169227429648472	0.0084918423150503
BLOOD	blood	FBte0000279	LTR	RNA	150481.925954545	136617.274583333	-13864.6513712121	-0.139450301671932	3	5.95763109990708	0.00196486208215584	1	4.36372787354069	0.0434619542751836	3	3.05011599758747	0.040139057557066	38	0.00196486208215584	0.0434619542751836	0.040139057557066
BS	BS	FBte0000780	non-LTR	RNA	46771.0368636364	49826.4012916667	3055.36442803031	0.0912949671257463	3	34.8180890843367	5.40548674487745e-11	1	2.30321445165766	0.137382904319025	3	0.861301054948853	0.469499927916247	38	5.40548674487745e-11	0.137382904319025	0.469499927916247
