TEfam	Cont	Sel	DiffSelCont	log2SelCont	regime_Df	regime_F	regime_P	regime_Bonf	inter_Df	inter_F	inter_P	inter_Bonf	study_Df	study_F	study_P	study_Bonf	adj_R_squared	Df_resid	regime_fdr	inter_fdr	study_fdr	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length
1360	0.153578422709636	0.156138016318692	0.00255959360905642	0.0238463098108896	1	0.69	0.411589768232907	FALSE	3	0.47	0.70633886440937	FALSE	3	61.16	1.30633550134567e-14	TRUE	0.798725978606244	38	0.514487210291134	0.770551488446585	7.83801300807402e-14	FBte0000559	AC005453	1360	Dmel	1360	terminal_inverted_repeat_element	DNA	P	P	P	Drosophila_melanogaster	97.979	1	1	P|DNA_transposon|Transposable_Element|HOPPEL;P-like_DNA_transposon|PROTOP|PROTOP.|PROTOP_A|TIR;insertion_element_1360|transposase.	TIR	DNA	3409
AF541951	0.000703594284022765	0.000736493669962223	3.28993859394579e-05	0.0659293631464393	1	1.58	0.21586038256466	FALSE	3	2.48	0.0754569363928172	FALSE	3	23.45	9.2329493498392e-09	TRUE	0.616690139309354	38	0.340832182996832	0.117477748539741	1.42045374612911e-08	FBte0000963	AF541951	Bari2	Dmel	Bari2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_erecta	94.081	2	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI1|DEBARI1;pseudogene|Repeat_region|transposase|transposon.	TIR	DNA	1064
AY561850	0.00235296210111022	0.0027049270469214	0.000351964945811171	0.201111601027208	1	3.23	0.0803043757135023	FALSE	3	3.58	0.0225731052251423	FALSE	3	3.12	0.0373661181468017	FALSE	0.265970057324763	38	0.146007955842731	0.0419278710751562	0.0393327559440018	FBte0001206	AY561850	TART-A	Dmel	TART-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.794	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|TART-A;TART.	non-LTR	RNA	13424
BAGGINS	0.0381506334063885	0.0402474492913286	0.00209681588494011	0.0771903443736487	1	1.39	0.245085102653185	FALSE	3	5.99	0.00190413341977995	FALSE	3	43.01	2.69560627017253e-12	TRUE	0.758562682317494	38	0.377054004081823	0.00544038119937129	7.70173220049294e-12	FBte0000906	nnnnnnnn	baggins	Dmel	baggins	non_LTR_retrotransposon	LINE	Loa	Loa	LOA	Drosophila_melanogaster	100	1	NA	Loa|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LOA_superfamily|BAGGINS1.	non-LTR	RNA	5453
BS	0.0142034371367158	0.0142183495685884	1.49124318725782e-05	0.00151391562447911	1	1.09	0.302561900902746	FALSE	3	0.56	0.646360363079046	FALSE	3	169.37	4.93365138880559e-22	TRUE	0.918012103077401	38	0.432231287003923	0.731728712919675	1.48009541664168e-20	FBte0000780	nnnnnnnn	BS	Dmel	BS	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.375	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|LINE|BS.	non-LTR	RNA	5142
BS3	0.003628566513797	0.00398318335813767	0.000354616844340672	0.13452217715966	1	12.59	0.00105216211751998	FALSE	3	7.38	0.000514260415960445	TRUE	3	213.59	7.97353146601904e-24	TRUE	0.936930575675139	38	0.00631297270511988	0.00171420138653482	4.78411887961142e-22	FBte0000420	nnnnnnnn	BS3	Dmel	BS3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS3_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	1790
CIRC	0.00254421336246152	0.00268255351437138	0.000138340151909861	0.0763872888687851	1	1.61	0.212418071617859	FALSE	3	8.51	0.000188867151010169	TRUE	3	14.44	1.972798439021e-06	TRUE	0.585110904944038	38	0.340832182996832	0.000814383702548798	2.69017968957409e-06	FBte0000616	nnnnnnnn	Circe	Dmel	Circe	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Composite	Drosophila_melanogaster	98.755	1	NA	LTR_Retrotransposon|Transposable_Element|CIRCE;composite_transposon|non_LTR_retrotransposon.	LTR	RNA	7450
DM06920	0.0124821832948495	0.015041236217196	0.00255905292234648	0.26905284264082	1	6.47	0.0151818061371968	FALSE	3	3.56	0.0230603290913359	FALSE	3	2.75	0.05603873127519	FALSE	0.290077715568812	38	0.0455454184115904	0.0419278710751562	0.0569885402798542	FBte0000143	U06920	HeT-A	Dmel	HeT-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.984	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|HETA;telomere.	non-LTR	RNA	6083
DMAURA	0.00649903881785843	0.00630361109393678	-0.000195427723921652	-0.0440478356500549	1	0.29	0.593359112634195	FALSE	3	2.64	0.0631897546583814	FALSE	3	16.61	4.69071680961042e-07	TRUE	0.531507290741598	38	0.67172729732173	0.102469872418997	6.54518624596803e-07	FBte0000112	nnnnnnnn	aurora-element	Dmel	aurora-element	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_simulans	97.228	2	NA	BEL|LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|internal_portion|PAO_subgroup|NINJA_I.	LTR	RNA	4263
DMBARI1	0.0253429427602525	0.0275018773398361	0.00215893457958355	0.117946047188863	1	3.63	0.0643126479536527	FALSE	3	7.4	0.00050889672968175	TRUE	3	41.23	4.96397639313672e-12	TRUE	0.760019565202038	38	0.124476092813521	0.00171420138653482	1.24099409828418e-11	FBte0000034	X67681	Bari1	Dmel	Bari1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI_DM;DMBARI1|Mobile_genetic_element|transposon.	TIR	DNA	1728
DMBLPP	0.00527037782300978	0.00525075306774932	-1.9624755260462e-05	-0.00538203929259709	1	0.1	0.75565107058259	FALSE	3	0.3	0.821919212611174	FALSE	3	9.46	8.45768124979734e-05	TRUE	0.332227431705965	38	0.809626147052775	0.821919212611174	0.000105721015622467	FBte0000660	Z27119	flea	Dmel	flea	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	1	Gypsy|LTR_Retrotransposon|Transposable_Element|BLASTOPIA_I;BLASTOPIA_LTR|Gypsy_superfamily|gag|pol|internal_portion.	LTR	RNA	5034
DMCR1A	0.0412068510583147	0.0420280622760119	0.000821211217697217	0.0284687217936364	1	0.91	0.347162501259356	FALSE	3	1.97	0.135031394816546	FALSE	3	34.88	5.28094407019201e-11	TRUE	0.698883404953204	38	0.462883335012475	0.192901992595066	1.0561888140384e-10	FBte0000140	nnnnnnnn	Cr1a	Dmel	Cr1a	non_LTR_retrotransposon	LINE	CR1	CR1	CR1	Drosophila_melanogaster	100	1	NA	CR1|Non-LTR_Retrotransposon|Transposable_Element;CR1_superfamily|DMCR1A|ORF1|ORF2.	non-LTR	RNA	4470
DME278684	0.0101424073556298	0.010385497264412	0.000243089908782187	0.0341701705071865	1	0.43	0.518005761792133	FALSE	3	0.39	0.757470616889412	FALSE	3	90.32	2.40553486222829e-17	TRUE	0.855101775447475	38	0.634292769541387	0.790780331757503	2.43418335673233e-16	FBte0000457	AJ278684	Rt1a	Dmel	Rt1a	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	98.01	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|DMRT1|DMRT1A|Waldo-B.	non-LTR	RNA	5108
DMHFL1	0.0177976706072713	0.0173406167376847	-0.000457053869586561	-0.0375332204237256	1	1.25	0.269735033957314	FALSE	3	0.66	0.580384921649108	FALSE	3	90.25	2.43418335673233e-17	TRUE	0.855769638773502	38	0.395165402805023	0.686716860479561	2.43418335673233e-16	FBte0000154	M69216	hobo	Dmel	hobo	terminal_inverted_repeat_element	DNA	hAT	hAT	hAT	Drosophila_melanogaster	99.791	1	NA	hAT|DNA_transposon|Transposable_Element|DMHOBOG|HOBO;Autonomous_DNA_transposon|hAT_superfamily|transposase.	TIR	DNA	2959
DMIFACA	0.0238792275607377	0.0222953871851515	-0.00158384037558616	-0.0990109154850775	1	0.38	0.54166298953308	FALSE	3	3.09	0.038494140674723	FALSE	3	28.15	9.30929836462666e-10	TRUE	0.659337513536988	38	0.637250575921271	0.0641569011245383	1.59587971965028e-09	FBte0000133	M14954	I-element	Dmel	I-element	non_LTR_retrotransposon	LINE	I	I	I	Drosophila_melanogaster	99.963	1	NA	I|Non-LTR_Retrotransposon|Transposable_Element|DMI|I_DM.	non-LTR	RNA	5371
DMLINEJA	0.0356891209728153	0.034820174321508	-0.000868946651307351	-0.0355609424546479	1	0.11	0.740522291574794	FALSE	3	2.4	0.0829851604866286	FALSE	3	39.72	8.49131398131676e-12	TRUE	0.726391174776068	38	0.807842499899775	0.124477740729943	1.95953399568848e-11	FBte0000088	M22874	jockey	Dmel	jockey	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;LINE_repetitive_sequence|dispersed_repetitive_element;long_interspersed_element|J1|LINEJ1_DM.	non-LTR	RNA	5020
DMPOGOR11	0.0177923420819622	0.0192000699996958	0.00140772791773358	0.109855139525684	1	5.04	0.0306572965700658	FALSE	3	4.26	0.0109514633516644	FALSE	3	2.84	0.0505270930464669	FALSE	0.300549527086944	38	0.0707476074693826	0.0252726077346102	0.0522694065997934	FBte0000568	X59837	pogo	Dmel	pogo	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Pogo	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|pogo;transposon.	TIR	DNA	2121
DMREPG	0.0059329137820027	0.00452384384231216	-0.00140906993969054	-0.391191687411419	1	18.53	0.000113392011262966	TRUE	3	10.7	3.08843691813349e-05	TRUE	3	11.47	1.70218798822355e-05	TRUE	0.634237425085537	38	0.00299784272169122	0.000284251471251227	2.17300594241304e-05	FBte0000657	X06950	G-element	Dmel	G-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;G_LINE-like_retrotransposon|G_DM|ORF1|ORF2.	non-LTR	RNA	4346
DMRER1DM	0.120800735871033	0.111575982445369	-0.00922475342566415	-0.114602733206864	1	2.52	0.120999500280922	FALSE	3	0.38	0.764420987365586	FALSE	3	7.51	0.000457139127159054	TRUE	0.299185405941343	38	0.207427714767295	0.790780331757503	0.000548566952590865	FBte0000118	X51968	R1A1-element	Dmel	R1A1-element	non_LTR_retrotransposon	LINE	Non-LTR_Retrotransposon	?	R1	Drosophila_melanogaster	100	1	NA	Non-LTR_Retrotransposon|Transposable_Element|transposon;reverse_transcriptase|integrase|retrotransposon|DMR1|R1_DM.	non-LTR	RNA	5356
DMRER2DM	0.0168302133583224	0.0151384097569495	-0.00169180360137293	-0.152839803337145	1	6.28	0.0165780819343711	FALSE	3	1.86	0.152471719721327	FALSE	3	56.99	3.92417870579251e-14	TRUE	0.796223845112219	38	0.0473659483839174	0.203295626295103	2.13748670752935e-13	FBte0000030	X51967	R2-element	Dmel	R2-element	non_LTR_retrotransposon	LINE	R2	R2	R2	Drosophila_melanogaster	100	1	NA	R2|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|protease|integrase|retrotransposon|LINE;R2_DM.	non-LTR	RNA	3607
DMTHB1	0.00660484366593413	0.00723152732728057	0.000626683661346442	0.130775968429298	1	8.27	0.00658243427809163	FALSE	3	3.56	0.0228949639640941	FALSE	3	49.05	3.85431835741064e-13	TRUE	0.779532631772655	38	0.0263297371123665	0.0419278710751562	1.44536938402899e-12	FBte0000414	X01748	HB	Dmel	HB	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	1	Mariner/Tc1|DNA_transposon|Transposable_Element;Repetitive_sequence|transposon|unidentified_reading_frame;DMFB4|FB4_DM.	TIR	DNA	1653
DMTN1731	0.00705098608530996	0.00771677980075094	0.000665793715440974	0.130173905328787	1	3.28	0.0780540608055289	FALSE	3	9.25	0.000101113819159539	TRUE	3	50.79	2.28002761021437e-13	TRUE	0.79673751119039	38	0.146007955842731	0.000505569095797695	9.77154690091873e-13	FBte0000003	X07656	1731	Dmel	1731	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element|LTR|gag;retrotransposon|internal_portion|gene|DM1731|DM1731_LTR;DM1731_I.	LTR	RNA	4648
DMTOM1_LTR	0.00473553319588872	0.00493844809788662	0.000202914901997905	0.0605308729936244	1	8.3	0.00648753162503652	FALSE	3	1.9	0.145597324932146	FALSE	3	19.35	8.85612043686215e-08	TRUE	0.591078458112186	38	0.0263297371123665	0.203159058044855	1.29601762490666e-07	FBte0000400	NA	Tom1	Dmel	Tom1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DMTOM1_I;DMTOM1_LTR|Gypsy_group|Gypsy_superfamily;endogenous_retrovirus.	LTR	RNA	410
DMTRDNA	0.0135789901022364	0.013944625265191	0.000365635162954583	0.0383329779121176	1	0.73	0.398283559559468	FALSE	3	0.65	0.588913190128905	FALSE	3	56.67	4.27497341505869e-14	TRUE	0.786416117237849	38	0.508447097309959	0.686716860479561	2.13748670752935e-13	FBte0000670	X80025	hopper	Dmel	hopper	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	1	Transib|DNA_transposon|Transposable_Element|Nonautonomous;nonautonomous_DNA_transposon|TIR|DMTRDNA|M4DM.	TIR	DNA	1435
DMW1DOC	0.0349460186359768	0.029184698654386	-0.0057613199815908	-0.25991592839975	1	5.08	0.0300757524073013	FALSE	3	8.12	0.000265542886031812	TRUE	3	38.29	1.43118994876981e-11	TRUE	0.753168829934834	38	0.0707476074693826	0.00106217154412725	3.18042210837736e-11	FBte0000341	X17551	Doc	Dmel	Doc	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LINE-like_retrotransposon|DOC.	non-LTR	RNA	4725
DOC2	0.01127070225926	0.0110228986076369	-0.000247803651623165	-0.0320737619914088	1	0.02	0.898652063893195	FALSE	3	1.87	0.150436586573448	FALSE	3	71.99	9.81266257791323e-16	TRUE	0.826665884477599	38	0.913883454806639	0.203295626295103	7.35949693343492e-15	FBte0000103	nnnnnnnn	Doc2-element	Dmel	Doc2-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.917	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC;DOC2_DM|JOCKEY_clade|gag|reverse_transcriptase.	non-LTR	RNA	4789
DOC3	0.0176629290239237	0.0178715647629205	0.000208635738996852	0.016941353189369	1	0.33	0.569258491066858	FALSE	3	0.64	0.59515461241562	FALSE	3	7.68	0.000392810962122238	TRUE	0.288975661555059	38	0.656836720461759	0.686716860479561	0.000480993014843557	FBte0001140	nnnnnnnn	Doc3-element	Dmel	Doc3-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|gag|DOC|JOCKEY_clade|DOC3_DM.	non-LTR	RNA	4740
DOC4	0.0045435469657955	0.00487037961361831	0.000326832647822811	0.100215233349199	1	4.6	0.038407758564995	FALSE	3	10.3	4.2637720687684e-05	TRUE	3	61.53	1.18939004069813e-14	TRUE	0.825632266424812	38	0.0853505745888778	0.000284251471251227	7.83801300807402e-14	FBte0001039	nnnnnnnn	Doc4-element	Dmel	Doc4-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC4_DM;JOCKEY_clade|ORF1|ORF2|reverse_transcriptase.	non-LTR	RNA	2791
DOC5	0.00905241185990598	0.00859587040741856	-0.00045654145248742	-0.0746584921133942	1	0.09	0.769548584342984	FALSE	3	3.28	0.0311723392547845	FALSE	3	17.55	2.61141675721648e-07	TRUE	0.55253218413913	38	0.810051141413667	0.0534382958653449	3.73059536745211e-07	FBte0000791	nnnnnnnn	Porto1	Dmel	Porto1	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC5_DM;JOCKEY_clade|ORF1|ORF2|Porto-1|reverse_transcriptase.	non-LTR	RNA	4682
