TEfam	TEpropCov	Cont_1	Cont_2	Cont_3	Sel_1	Sel_2	Sel_3	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS
1360	1	193.708	207.718	174.603	201.679	190.274	193.39	192.009	195.115	3.105	0.023	1	1.78	0.182443892336945	4	19.14	0.182443892336945	1194	FALSE	FBte0000559	AC005453	1360	Dmel	1360	terminal_inverted_repeat_element	DNA	P	P	P	Drosophila_melanogaster	97.979	1	1	P|DNA_transposon|Transposable_Element|HOPPEL;P-like_DNA_transposon|PROTOP|PROTOP.|PROTOP_A|TIR;insertion_element_1360|transposase.	TIR	DNA	3409	FALSE	FALSE
AF541951	0.895	0.866	0.806	0.625	0.917	0.745	0.949	0.765	0.87	0.105	0.185	1	61.85	8.24723697991876e-15	4	52.24	8.24723697991876e-15	1194	TRUE	FBte0000963	AF541951	Bari2	Dmel	Bari2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_erecta	94.081	2	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI1|DEBARI1;pseudogene|Repeat_region|transposase|transposon.	TIR	DNA	1064	FALSE	FALSE
AY561850	0.93	2.232	1.059	2.203	3.245	2.399	3.224	1.831	2.956	1.125	0.691	1	628.38	9.19263674147246e-112	4	112.76	9.19263674147246e-112	1194	TRUE	FBte0001206	AY561850	TART-A	Dmel	TART-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.794	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|TART-A;TART.	non-LTR	RNA	13424	TRUE	FALSE
BAGGINS	1	53.752	49.538	47.142	52.896	49.049	50.792	50.144	50.912	0.768	0.022	1	0.48	0.490688447140838	4	4	0.490688447140838	1194	FALSE	FBte0000906	nnnnnnnn	baggins	Dmel	baggins	non_LTR_retrotransposon	LINE	Loa	Loa	LOA	Drosophila_melanogaster	100	1	NA	Loa|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LOA_superfamily|BAGGINS1.	non-LTR	RNA	5453	FALSE	FALSE
BS	0.885	21.588	21.907	19.469	23.094	19.06	22.271	20.988	21.475	0.487	0.033	1	0.55	0.458941823804264	4	4.86	0.458941823804264	1194	FALSE	FBte0000780	nnnnnnnn	BS	Dmel	BS	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.375	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|LINE|BS.	non-LTR	RNA	5142	FALSE	FALSE
BS3	0.98	3.963	3.758	3.415	4.031	3.684	3.893	3.712	3.869	0.157	0.06	1	2.61	0.106720005745275	4	3.77	0.106720005745275	1194	FALSE	FBte0000420	nnnnnnnn	BS3	Dmel	BS3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS3_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	1790	FALSE	FALSE
CIRC	0.915	3.036	2.943	3.042	3.115	2.958	3.198	3.007	3.091	0.084	0.04	1	0.73	0.394455028715046	4	0.62	0.394455028715046	1194	FALSE	FBte0000616	nnnnnnnn	Circe	Dmel	Circe	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Composite	Drosophila_melanogaster	98.755	1	NA	LTR_Retrotransposon|Transposable_Element|CIRCE;composite_transposon|non_LTR_retrotransposon.	LTR	RNA	7450	FALSE	FALSE
DM06920	1	9.816	13.688	13.708	11.823	12.138	14.353	12.404	12.771	0.367	0.042	1	2.85	0.0914981950553698	4	48.87	0.0914981950553698	1194	FALSE	FBte0000143	U06920	HeT-A	Dmel	HeT-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.984	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|HETA;telomere.	non-LTR	RNA	6083	FALSE	FALSE
DMAURA	1	7.661	7.597	6.681	7.825	7.504	7.455	7.313	7.595	0.282	0.055	1	7.15	0.00761747031162505	4	10.2	0.00761747031162505	1194	FALSE	FBte0000112	nnnnnnnn	aurora-element	Dmel	aurora-element	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_simulans	97.228	2	NA	BEL|LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|internal_portion|PAO_subgroup|NINJA_I.	LTR	RNA	4263	FALSE	FALSE
DMBARI1	1	29.899	26.266	27.342	27.469	29.327	30.447	27.836	29.081	1.245	0.063	1	15.19	0.000102424061884172	4	18.76	0.000102424061884172	1194	TRUE	FBte0000034	X67681	Bari1	Dmel	Bari1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI_DM;DMBARI1|Mobile_genetic_element|transposon.	TIR	DNA	1728	FALSE	FALSE
