TEfam	flybase_name	fb_id	TEsubclass	TEclass	Mean_Cont	Mean_Sel	diff_Freq	log2diff_Freq	Df_Regime	Fvalue_Regime	pval_Regime	Df_nested	Fvalue_nested	pval_nested	Df_Resid	fdr_Regime
1360	1360	FBte0000559	TIR	DNA	0.406	0.403	-0.003	-0.011	1	0.0677379057845933	0.794679117469343	4	0.0217390534819493	0.999081142036637	2706	0.999624278339843
412	412	FBte0000007	LTR	RNA	0.1	0.097	-0.002	-0.035	1	1.07790671588629	0.299799824175033	4	0.260751773519588	0.903011718101828	396	0.999624278339843
ACCORD	accord	FBte0000956	LTR	RNA	0.489	0.437	-0.051	-0.16	1	0.0935290633019228	0.763246502353153	4	0.14121528774337	0.964586409285134	18	0.999624278339843
AF222049	Transpac	FBte0001377	LTR	RNA	0.088	0.091	0.003	0.047	1	1.74927971287282	0.186900099356046	4	0.269175044314789	0.897711212869394	324	0.999624278339843
AF541951	Bari2	FBte0000963	TIR	DNA	0.372	0.37	-0.002	-0.006	1	2.41608068971275e-05	0.996237475611029	4	0.054507277888499	0.992963436828826	6	0.999624278339843
AY561850	TART-A	FBte0001206	non-LTR	RNA	0.481	0.541	0.06	0.171	1	0.355523604189023	0.572795078301935	4	0.0896867960831185	0.982308343365427	6	0.999624278339843
BAGGINS	baggins	FBte0000906	non-LTR	RNA	0.363	0.385	0.022	0.086	1	0.90544139642678	0.341890195631049	4	0.414385611629457	0.798289991526427	408	0.999624278339843
Beagle	HMS-Beagle	FBte0000726	LTR	RNA	0.21	0.199	-0.011	-0.078	1	0.00536967640451913	0.941672009860475	4	0.0674811759138019	0.991590226264473	168	0.999624278339843
Beagle2	HMS-Beagle2	FBte0001399	LTR	RNA	0.303	0.314	0.01	0.049	1	0.0487337026945438	0.825622652621568	4	0.0785574561575509	0.988742886674283	132	0.999624278339843
BLOOD	blood	FBte0000279	LTR	RNA	0.122	0.105	-0.017	-0.214	1	0.365695571086905	0.545817053842049	4	0.754731523890044	0.555514460470226	300	0.999624278339843
BS	BS	FBte0000780	non-LTR	RNA	0.174	0.173	-0.001	-0.008	1	0.17711475847481	0.674092890023149	4	0.0963104679552615	0.983604953364309	396	0.999624278339843
BS3	BS3	FBte0000420	non-LTR	RNA	0.378	0.37	-0.008	-0.031	1	0.0165295406821534	0.897926615189458	4	0.0821174171945731	0.987735848237781	114	0.999624278339843
BS4	BS4	FBte0001042	non-LTR	RNA	0.627	0.653	0.026	0.059	1	NA	NA	4	NA	NA	0	NA
CIRC	Circe	FBte0000616	LTR	RNA	0.563	0.53	-0.033	-0.087	1	0.198882098919135	0.657915339847581	4	0.0648730218964406	0.991972930986302	42	0.999624278339843
DIVER2	diver2	FBte0001178	LTR	RNA	0.634	0.632	-0.002	-0.004	1	0.000570041249342091	0.980972770162633	4	0.0694081059269215	0.991148694083173	228	0.999624278339843
DM_ROO	roo	FBte0000100	LTR	RNA	0.115	0.113	-0.002	-0.024	1	2.11718728363489	0.145839975176719	4	1.96940704051734	0.0966913353791367	1686	0.999624278339843
DM23420	3S18	FBte0000266	LTR	RNA	0.115	0.133	0.018	0.215	1	1.17520184276517	0.280404967121709	4	0.470677429094729	0.757168532212779	126	0.999624278339843
DM33463	S-element	FBte0001005	TIR	DNA	0.253	0.261	0.008	0.044	1	0.273492211710604	0.60121323538469	4	0.11041394255045	0.97887019239441	540	0.999624278339843
DM88	Dm88	FBte0000267	LTR	RNA	0.364	0.383	0.019	0.072	1	0.261490133674097	0.610542814480282	4	0.11391808186157	0.977264292514826	78	0.999624278339843
DMAURA	aurora-element	FBte0000112	LTR	RNA	0.545	0.544	-0.001	-0.002	1	2.40924636394635e-07	0.999624278339843	4	0.0796542499533226	0.985750174248021	6	0.999624278339843
DMBARI1	Bari1	FBte0000034	TIR	DNA	0.186	0.182	-0.004	-0.031	1	0.056342227501974	0.81304761950076	4	0.14075187834718	0.966493729843571	72	0.999624278339843
DMBLPP	flea	FBte0000660	LTR	RNA	0.111	0.102	-0.009	-0.118	1	0.0593272796411032	0.80780015253951	4	0.0365493260283464	0.99743308974114	210	0.999624278339843
DMCOPIA	copia	FBte0000023	LTR	RNA	0.08	0.089	0.009	0.152	1	4.29015468212521	0.0389617713015888	4	0.353403200794107	0.841649515732578	408	0.999624278339843
DMCR1A	Cr1a	FBte0000140	non-LTR	RNA	0.425	0.426	0.001	0.004	1	0.0171961942316351	0.895691643500871	4	0.171955874155386	0.952775013317014	1170	0.999624278339843
DMDM11	micropia	FBte0000042	LTR	RNA	0.391	0.386	-0.004	-0.016	1	0.0464454794757175	0.83028120332419	4	0.0385339236472433	0.997073250957947	48	0.999624278339843
DME010298	GATE	FBte0000359	LTR	RNA	0.44	0.456	0.016	0.052	1	0.073631334306262	0.786742554460567	4	0.0754229315420974	0.989520893595605	90	0.999624278339843
DME278684	Rt1a	FBte0000457	non-LTR	RNA	0.238	0.251	0.013	0.077	1	0.0998135590701004	0.75247578054324	4	0.0965028703650196	0.983447722679331	156	0.999624278339843
DME487856	Max-element	FBte0000304	LTR	RNA	0.228	0.233	0.005	0.033	1	0.150484862009867	0.698454460975551	4	0.275707714800921	0.893461578864515	216	0.999624278339843
DME9736	Idefix	FBte0000104	LTR	RNA	0.316	0.299	-0.017	-0.079	1	0.141156558675626	0.707625441466388	4	0.0702795053594374	0.990909373560683	162	0.999624278339843
DMGYPF1A	gypsy	FBte0000021	LTR	RNA	0.808	0.814	0.006	0.011	1	0.00369859211614223	0.952506852995174	4	0.0180680606802166	0.999262250092999	12	0.999624278339843
DMHFL1	hobo	FBte0000154	TIR	DNA	0.092	0.095	0.003	0.046	1	2.59054058146886	0.108034924525463	4	1.14557234926538	0.334051319276894	594	0.999624278339843
DMIFACA	I-element	FBte0000133	non-LTR	RNA	0.182	0.181	-0.002	-0.014	1	0.00109683778408001	0.973591899847384	4	0.227232317983678	0.923148393386795	558	0.999624278339843
DMIS176	17.6	FBte0000109	LTR	RNA	0.177	0.188	0.011	0.087	1	0.322164488370931	0.571193622712421	4	0.588111958067033	0.671760034278976	144	0.999624278339843
DMIS297	297	FBte0000675	LTR	RNA	0.21	0.22	0.01	0.067	1	0.469646771130444	0.493489009836572	4	0.278835899349072	0.891662465101874	468	0.999624278339843
DMLINEJA	jockey	FBte0000088	non-LTR	RNA	0.091	0.089	-0.002	-0.035	1	0.809440017763615	0.368467271088805	4	0.263295949958193	0.90156232796384	1194	0.999624278339843
DMMDG3	mdg3	FBte0000010	LTR	RNA	0.169	0.167	-0.002	-0.014	1	0.0384228356276628	0.844750818887094	4	0.108753441252067	0.979395975185538	258	0.999624278339843
DMPOGOR11	pogo	FBte0000568	TIR	DNA	0.112	0.119	0.007	0.082	1	5.10312115784302	0.0241786662591317	4	0.513554909803949	0.72580125512149	726	0.999624278339843
DMREPG	G-element	FBte0000657	non-LTR	RNA	0.299	0.399	0.1	0.417	1	2.47575931380008	0.124362181656104	4	0.0311766055602806	0.998040281939329	36	0.999624278339843
DMRER1DM	R1A1-element	FBte0000118	non-LTR	RNA	0.294	0.31	0.016	0.078	1	0.0826862605169349	0.774452149371707	4	0.0568023267190538	0.993885104492224	78	0.999624278339843
DMRER2DM	R2-element	FBte0000030	non-LTR	RNA	0.841	0.83	-0.011	-0.018	1	0.00455911411114518	0.947278769719945	4	0.643971281430582	0.641527894111374	12	0.999624278339843
