TEfam	TEpropCov	Cont_Ra	Cont_Rb	Sel_2La	Sel_2Lb	Sel_La	Sel_Lb	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS
1360	0.999706658844236	43.003	38.205	38.37	44.512	40.043	45.082	40.604	42.002	1.398	0.049	1	2.52	0.112118920337933	4	10.73	0.112118920337933	20448	FALSE	FBte0000559	AC005453	1360	Dmel	1360	terminal_inverted_repeat_element	DNA	P	P	P	Drosophila_melanogaster	97.979	1	1	P|DNA_transposon|Transposable_Element|HOPPEL;P-like_DNA_transposon|PROTOP|PROTOP.|PROTOP_A|TIR;insertion_element_1360|transposase.	TIR	DNA	3409	FALSE	FALSE
412	0.887670146689573	15.142	14.526	10.401	12.421	11.302	18.532	14.834	13.164	-1.67	-0.172	1	553	1.49690235598907e-121	4	1511.34	1.49690235598907e-121	45396	TRUE	FBte0000007	nnnnnnnn	412	Dmel	412	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.816	1	NA	NA	LTR	RNA	7567	FALSE	FALSE
ACCORD	0.934089681253377	6.744	4.704	7.246	5.039	7.585	6.623	5.724	6.623	0.899	0.211	1	841.57	2.56035000398177e-183	4	1151.18	2.56035000398177e-183	44418	TRUE	FBte0000956	nnnnnnnn	accord	Dmel	accord	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Gypsy	Drosophila_melanogaster	100	1	NA	LTR_Retrotransposon|Transposable_Element|ACCORD_I|ACCORD_LTR;Retrovirus|env-like|gag|pol|internal_portion.	LTR	RNA	7404	FALSE	FALSE
AF222049	0.907791960373404	9.798	6.865	7.509	9.179	9.967	8.715	8.332	8.843	0.511	0.086	1	172.68	2.43998108559836e-39	4	926.27	2.43998108559836e-39	31488	TRUE	FBte0001377	AF222049	Transpac	Dmel	Transpac	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|TRANSPAC_I|TRANSPAC_LTR|gag|pol;internal_portion.	LTR	RNA	5249	FALSE	FALSE
AF541951	0.944548872180451	0.962	0.856	0.778	0.882	0.796	0.917	0.909	0.843	-0.066	-0.108	1	81.59	2.18170817469861e-19	4	68.02	2.18170817469861e-19	6378	TRUE	FBte0000963	AF541951	Bari2	Dmel	Bari2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_erecta	94.081	2	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI1|DEBARI1;pseudogene|Repeat_region|transposase|transposon.	TIR	DNA	1064	FALSE	FALSE
BAGGINS	1	27.776	27.79	29.89	31.682	28.528	32.009	27.783	30.527	2.744	0.136	1	176.6	3.39787100229092e-40	4	34.88	3.39787100229092e-40	32712	TRUE	FBte0000906	nnnnnnnn	baggins	Dmel	baggins	non_LTR_retrotransposon	LINE	Loa	Loa	LOA	Drosophila_melanogaster	100	1	NA	Loa|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LOA_superfamily|BAGGINS1.	non-LTR	RNA	5453	TRUE	FALSE
Beagle	0.922118380062305	14.625	11.607	9.564	9.011	8.793	9.504	13.116	9.218	-3.898	-0.509	1	7014.63	0	4	430.98	0	42366	TRUE	FBte0000726	AF365402	HMS-Beagle	Dmel	HMS-Beagle	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.893	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DMLTR5;HMSBEAGLE_I|Retrovirus|gag-like|pol|internal_portion.	LTR	RNA	7062	FALSE	TRUE
Beagle2	0.929916897506925	6.793	6.815	6.966	8.488	8.249	9.118	6.804	8.205	1.401	0.27	1	2012.74	0	4	471.34	0	43314	TRUE	FBte0001399	3R.Release.3	HMS-Beagle2	Dmel	HMS-Beagle2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.985	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy2_DM;Gypsy2-LTR_DM|Gypsy2-I_DM.	LTR	RNA	7220	TRUE	FALSE
BLOOD	0.936707152496626	15.499	9.835	13.12	17.888	11.472	15.949	12.667	14.607	1.94	0.206	1	1502.6	2.47032822920623e-323	4	3042.29	2.47032822920623e-323	44454	TRUE	FBte0000279	AY180916	blood	Dmel	blood	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.834	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|BLOOD|BLOODI;BLOOD_I|Gypsy_superfamily|LTRBLD_DM|TABOR_group|gag|protease;Retrovirus|reverse_transcriptase|internal_portion.	LTR	RNA	7410	FALSE	FALSE
BS	0.995915985997666	8.795	8.055	8.685	8.401	10.636	9.519	8.425	9.31	0.885	0.144	1	448.42	8.05906905093661e-99	4	353.37	8.05906905093661e-99	30846	TRUE	FBte0000780	nnnnnnnn	BS	Dmel	BS	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.375	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|LINE|BS.	non-LTR	RNA	5142	FALSE	FALSE
