TEfam	flybase_name	fb_id	TEsubclass	TEclass	Mean_Cont	Mean_Sel	diff_Freq	log2diff_Freq	Df_Regime	Fvalue_Regime	pval_Regime	Df_nested	Fvalue_nested	pval_nested	Df_Resid	fdr_Regime
1360	1360	FBte0000559	TIR	DNA	0.513	0.52	0.008	0.022	1	0.611944681645212	0.434111664997844	3360	0.584373556108764	0.673972584394245	3360	0.999292714104867
412	412	FBte0000007	LTR	RNA	0.11	0.094	-0.015	-0.216	1	1.91680320995793	0.166593614053804	804	0.762852765927725	0.549589459945543	804	0.999292714104867
ACCORD	accord	FBte0000956	LTR	RNA	0.36	0.347	-0.013	-0.053	1	0.05717591713258	0.812372613296055	36	0.0283183301184424	0.99837633821465	36	0.999292714104867
AF222049	Transpac	FBte0001377	LTR	RNA	0.056	0.069	0.013	0.293	1	0.379842530737766	0.537962509869728	510	2.07551526733952	0.0827938243223088	510	0.999292714104867
AF541951	Bari2	FBte0000963	TIR	DNA	0.682	0.726	0.044	0.091	1	NA	NA	0	NA	NA	0	NA
AY561850	TART-A	FBte0001206	non-LTR	RNA	0.343	0.312	-0.031	-0.135	1	0.0564019799535365	0.820177534499811	6	0.0176121124983366	0.999204372684658	6	0.999292714104867
BAGGINS	baggins	FBte0000906	non-LTR	RNA	0.61	0.63	0.02	0.046	1	0.610931865596335	0.434804176045387	504	0.198430646725918	0.939161181988029	504	0.999292714104867
Beagle	HMS-Beagle	FBte0000726	LTR	RNA	0.197	0.188	-0.008	-0.063	1	0.12617350247586	0.722668430589603	318	0.0476503047767853	0.995713885111962	318	0.999292714104867
Beagle2	HMS-Beagle2	FBte0001399	LTR	RNA	0.379	0.388	0.009	0.034	1	0.000574179030975223	0.98090943630812	180	0.0251302160918313	0.99876581270043	180	0.999292714104867
BLOOD	blood	FBte0000279	LTR	RNA	0.087	0.097	0.01	0.153	1	0.592864877636074	0.441657768470305	528	1.19069420072	0.313880961478197	528	0.999292714104867
BS	BS	FBte0000780	non-LTR	RNA	0.121	0.122	0.001	0.017	1	0.0126901151980595	0.910366582149665	384	0.285074728691791	0.887621863300284	384	0.999292714104867
BS3	BS3	FBte0000420	non-LTR	RNA	0.573	0.61	0.038	0.092	1	0.321287465680271	0.571717410523449	144	0.0236293989825877	0.998903787454381	144	0.999292714104867
BS4	BS4	FBte0001042	non-LTR	RNA	0.609	0.69	0.08	0.179	1	0.194709549593903	0.674482015847281	6	0.0226684319750363	0.998696457246934	6	0.999292714104867
CIRC	Circe	FBte0000616	LTR	RNA	0.765	0.783	0.018	0.033	1	0.0587761695180527	0.809192616933562	66	0.0279955289074026	0.998447497659689	66	0.999292714104867
DIVER2	diver2	FBte0001178	LTR	RNA	0.799	0.799	0	0	1	0.00149434721681215	0.969194632668015	252	0.0795081859765353	0.988548699867404	252	0.999292714104867
DM_ROO	roo	FBte0000100	LTR	RNA	0.084	0.083	-0.001	-0.025	1	0.115318406018469	0.734184831954959	4392	1.76806175873253	0.132329430510445	4392	0.999292714104867
DM06920	HeT-A	FBte0000143	non-LTR	RNA	0.011	0.039	0.029	1.873	1	0.873599664374411	0.386033235629328	6	0.323881117365652	0.852611069379764	6	0.999292714104867
DM14101	TART-B	FBte0001207	non-LTR	RNA	0.879	0.867	-0.012	-0.019	1	NA	NA	0	NA	NA	0	NA
DM23420	3S18	FBte0000266	LTR	RNA	0.103	0.117	0.014	0.182	1	0.220346926794806	0.639181594469736	252	0.346632654091658	0.846242639401132	252	0.999292714104867
DM33463	S-element	FBte0001005	TIR	DNA	0.288	0.291	0.002	0.012	1	0.0276257646146622	0.868026469572356	966	0.130300009936832	0.971364579483046	966	0.999292714104867
DM88	Dm88	FBte0000267	LTR	RNA	0.527	0.559	0.032	0.084	1	0.281980237562292	0.596915085676591	78	0.178941806618576	0.948642132258362	78	0.999292714104867
DMAURA	aurora-element	FBte0000112	LTR	RNA	0.902	0.92	0.018	0.029	1	0.0576635471663562	0.818221527394427	6	0.0592426136698552	0.99177104951914	6	0.999292714104867
DMBARI1	Bari1	FBte0000034	TIR	DNA	0.175	0.185	0.01	0.082	1	0.0035624150814463	0.952516049225903	108	0.698357454252531	0.594722399039728	108	0.999292714104867
DMBLPP	flea	FBte0000660	LTR	RNA	0.054	0.08	0.026	0.568	1	4.74930068736124	0.0297780909235237	498	1.21941351659994	0.301576017778959	498	0.999292714104867
