TEfam	flybase_name	fb_id	TEsubclass	TEclass	Mean_Cont	Mean_Sel	diff_Freq	log2diff_Freq	Df_Regime	Fvalue_Regime	pval_Regime	Df_nested	Fvalue_nested	pval_nested	Df_Resid	fdr_Regime
1360	1360	FBte0000559	TIR	DNA	0.643	0.749	0.107	0.222	1	32.266905791627	1.79124143520044e-08	8	6.5578742593487	2.3871156107113e-08	940	7.41491051418562e-07
412	412	FBte0000007	LTR	RNA	0.38	0.619	0.239	0.703	1	1.87878869732848	0.200450754687152	8	0.618019557296749	0.746434356275155	10	0.22673937825268
ACCORD	accord	FBte0000956	LTR	RNA	0.52	0.659	0.139	0.341	1	0.739905450527606	0.409839577130773	8	0.654257306217571	0.720056097302503	10	0.441858294094115
AY561850	TART-A	FBte0001206	non-LTR	RNA	0.547	0.601	0.054	0.136	1	NA	NA	8	NA	NA	0	NA
BAGGINS	baggins	FBte0000906	non-LTR	RNA	0.512	0.704	0.191	0.457	1	25.7730583718283	1.12251643972803e-06	8	5.7859215939609	1.97446867898674e-06	150	1.93634085853085e-05
Beagle	HMS-Beagle	FBte0000726	LTR	RNA	0.653	0.869	0.215	0.411	1	NA	NA	8	NA	NA	0	NA
Beagle2	HMS-Beagle2	FBte0001399	LTR	RNA	0.595	0.639	0.044	0.102	1	0.154178347543707	0.696658649885777	8	5.65827746547188	8.02678581229998e-05	40	0.717454430479382
BLOOD	blood	FBte0000279	LTR	RNA	0.497	0.687	0.19	0.467	1	NA	NA	8	NA	NA	0	NA
BS3	BS3	FBte0000420	non-LTR	RNA	0.49	0.693	0.204	0.502	1	1.61858264850237	0.232076295077314	8	0.685109248108588	0.697696688868706	10	0.258278457424753
CIRC	Circe	FBte0000616	LTR	RNA	0.494	0.705	0.21	0.511	1	9.22117196415183	0.00379414688607923	8	3.13550191332408	0.00595685726426852	50	0.0100180098982131
DIVER2	diver2	FBte0001178	LTR	RNA	0.672	0.85	0.178	0.338	1	15.9558151252152	9.43905895241029e-05	8	4.83997734802654	2.04125286129012e-05	180	0.000383114745715476
DM_ROO	roo	FBte0000100	LTR	RNA	0.601	0.73	0.129	0.282	1	3.12546473496994	0.0804668535331301	8	0.400144383568909	0.917763384231882	90	0.1067733248805
DM33463	S-element	FBte0001005	TIR	DNA	0.601	0.742	0.141	0.304	1	6.77277465185482	0.0105309687989539	8	1.26010875546942	0.271789282192925	110	0.0213716719743476
DM88	Dm88	FBte0000267	LTR	RNA	0.591	0.757	0.167	0.359	1	NA	NA	8	NA	NA	0	NA
DMAURA	aurora-element	FBte0000112	LTR	RNA	0.625	0.92	0.295	0.557	1	NA	NA	8	NA	NA	0	NA
DMCR1A	Cr1a	FBte0000140	non-LTR	RNA	0.557	0.66	0.103	0.245	1	10.8137745454663	0.0010864924480997	8	4.59043403731155	2.13556666137612e-05	450	0.00356990375804187
DME010298	GATE	FBte0000359	LTR	RNA	0.493	0.687	0.194	0.48	1	5.51669159286268	0.0216643813438039	8	1.77199061082755	0.0973556429431898	70	0.0393379555979597
DME278684	Rt1a	FBte0000457	non-LTR	RNA	0.726	0.942	0.217	0.377	1	7.48732729670533	0.0209655391867864	8	1.16200946389624	0.403854720058104	10	0.0390978974023855
