TEfam	Cont	Sel	DiffSelCont	log2SelCont	regime_Df	regime_F	regime_P	regime_Bonf	inter_Df	inter_F	inter_P	inter_Bonf	study_Df	study_F	study_P	study_Bonf	adj_R_squared	Df_resid	regime_fdr	inter_fdr	study_fdr	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length
1360	0.0372198912892137	0.0389714342007913	0.0017515429115776	0.0663431839657994	1	3.7	0.0620899133449034	FALSE	3	0.59	0.628233572732328	FALSE	3	12.03	1.11139364352363e-05	TRUE	0.434237466347393	38	0.114201090616519	0.65361674738818	1.27192828092149e-05	FBte0000559	AC005453	1360	Dmel	1360	terminal_inverted_repeat_element	DNA	P	P	P	Drosophila_melanogaster	97.979	1	1	P|DNA_transposon|Transposable_Element|HOPPEL;P-like_DNA_transposon|PROTOP|PROTOP.|PROTOP_A|TIR;insertion_element_1360|transposase.	TIR	DNA	3409
412	0.0118643373805134	0.0129734890661912	0.00110915168567778	0.128934998791953	1	6.49	0.0150104977657841	FALSE	3	4.04	0.0138086712770977	FALSE	3	34.32	6.60508517336599e-11	TRUE	0.717949500802735	38	0.0396431094839939	0.0241066634159502	1.33396818207195e-10	FBte0000007	nnnnnnnn	412	Dmel	412	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.816	1	NA	NA	LTR	RNA	7567
ACCORD	0.00444534188683293	0.00432138027305171	-0.000123961613781219	-0.0408021886969022	1	0.16	0.692531470598198	FALSE	3	6.94	0.000772421476425462	FALSE	3	23.61	8.52115809231262e-09	TRUE	0.653340182197602	38	0.75883767522994	0.00248623162724446	1.29070482868853e-08	FBte0000956	nnnnnnnn	accord	Dmel	accord	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Gypsy	Drosophila_melanogaster	100	1	NA	LTR_Retrotransposon|Transposable_Element|ACCORD_I|ACCORD_LTR;Retrovirus|env-like|gag|pol|internal_portion.	LTR	RNA	7404
AF222049	0.00935503982784957	0.00989367375958391	0.000538633931734343	0.0807625323555766	1	6.78	0.0130789585484302	FALSE	3	0.05	0.985561861531513	FALSE	3	42.58	3.11422617956756e-12	TRUE	0.739391332956113	38	0.0364089927159003	0.985561861531513	8.01913241238647e-12	FBte0001377	AF222049	Transpac	Dmel	Transpac	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|TRANSPAC_I|TRANSPAC_LTR|gag|pol;internal_portion.	LTR	RNA	5249
AF541951	0.000660601751524489	0.000697418166344232	3.68164148197437e-05	0.0782431491147987	1	3.28	0.0780640481049396	FALSE	3	1.26	0.301853538721536	FALSE	3	14.23	2.27324795535941e-06	TRUE	0.487234848319874	38	0.136281304318793	0.34165840097053	2.89067332595086e-06	FBte0000963	AF541951	Bari2	Dmel	Bari2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_erecta	94.081	2	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI1|DEBARI1;pseudogene|Repeat_region|transposase|transposon.	TIR	DNA	1064
BAGGINS	0.0147959549291814	0.0161108079009133	0.0013148529717319	0.122826031086883	1	5.1	0.0297297682002901	FALSE	3	7.8	0.000351750638368369	TRUE	3	70.75	1.29773141952202e-15	TRUE	0.838574749326404	38	0.065152470736806	0.00129393984828364	5.56943067544867e-15	FBte0000906	nnnnnnnn	baggins	Dmel	baggins	non_LTR_retrotransposon	LINE	Loa	Loa	LOA	Drosophila_melanogaster	100	1	NA	Loa|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LOA_superfamily|BAGGINS1.	non-LTR	RNA	5453
Beagle	0.00848169142592563	0.00843681501114163	-4.48764147839929e-05	-0.00765352818138428	1	0.03	0.859273917708284	FALSE	3	11.97	1.15933513109337e-05	TRUE	3	33.26	1.01257918057841e-10	TRUE	0.740982337816638	38	0.910522564127339	5.97057592513086e-05	1.96784255848257e-10	FBte0000726	AF365402	HMS-Beagle	Dmel	HMS-Beagle	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.893	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DMLTR5;HMSBEAGLE_I|Retrovirus|gag-like|pol|internal_portion.	LTR	RNA	7062
Beagle2	0.005111590950787	0.00554326831796053	0.000431677367173529	0.116964451057147	1	10.33	0.00266673928772842	FALSE	3	4.06	0.0134988650102519	FALSE	3	35.02	4.99506082357311e-11	TRUE	0.728192890117079	38	0.00947152229779404	0.023990491022474	1.04672419434838e-10	FBte0001399	3R.Release.3	HMS-Beagle2	Dmel	HMS-Beagle2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.985	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy2_DM;Gypsy2-LTR_DM|Gypsy2-I_DM.	LTR	RNA	7220
BLOOD	0.0117007046226004	0.0106421284538755	-0.00105857616872487	-0.136808689753994	1	4.85	0.0338358731710517	FALSE	3	3.43	0.0265225147418445	FALSE	3	7.9	0.000321982019976404	TRUE	0.414404162809976	38	0.0711360736539448	0.0420279848986151	0.000341898433583192	FBte0000279	AY180916	blood	Dmel	blood	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.834	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|BLOOD|BLOODI;BLOOD_I|Gypsy_superfamily|LTRBLD_DM|TABOR_group|gag|protease;Retrovirus|reverse_transcriptase|internal_portion.	LTR	RNA	7410
BS	0.00546306780626755	0.00572179429079057	0.000258726484523018	0.0667563014810049	1	2.02	0.163785686680034	FALSE	3	0.79	0.506486034515073	FALSE	3	38.13	1.51905103984933e-11	TRUE	0.712961067563812	38	0.26359258950068	0.549137490053184	3.47693904676624e-11	FBte0000780	nnnnnnnn	BS	Dmel	BS	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.375	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|LINE|BS.	non-LTR	RNA	5142
