TEfam	TEpropCov	Cont_B1	Cont_B2	Cont_B3	Cont_B4	Cont_B5	Sel_O1	Sel_O2	Sel_O3	Sel_O4	Sel_O5	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS
1360	0.999706658844236	79.667	73.489	83.53	71.862	81.803	93.496	84.024	121.448	103.899	81.116	78.07	96.796	18.726	0.31	1	232.26	2.85457734663205e-52	8	39.2	2.85457734663205e-52	34080	TRUE	FBte0000559	AC005453	1360	Dmel	1360	terminal_inverted_repeat_element	DNA	P	P	P	Drosophila_melanogaster	97.979	1	1	P|DNA_transposon|Transposable_Element|HOPPEL;P-like_DNA_transposon|PROTOP|PROTOP.|PROTOP_A|TIR;insertion_element_1360|transposase.	TIR	DNA	3409	FALSE	FALSE
412	0.882119730408352	40.205	33.101	31.791	32.361	26.147	49.442	44.59	41.993	49.133	44.474	32.721	45.927	13.206	0.489	1	7823.52	0	8	319.38	0	75660	TRUE	FBte0000007	nnnnnnnn	412	Dmel	412	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.816	1	NA	NA	LTR	RNA	7567	TRUE	FALSE
ACCORD	0.863587250135062	15.119	9.286	10.749	19.55	17.033	12.132	10.668	10.943	11.389	9.954	14.347	11.017	-3.33	-0.381	1	3074.01	0	8	1054.46	0	74030	TRUE	FBte0000956	nnnnnnnn	accord	Dmel	accord	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Gypsy	Drosophila_melanogaster	100	1	NA	LTR_Retrotransposon|Transposable_Element|ACCORD_I|ACCORD_LTR;Retrovirus|env-like|gag|pol|internal_portion.	LTR	RNA	7404	FALSE	FALSE
AF222049	0.899218898837874	21.532	22.098	27.559	33.061	28.763	28.517	30.462	27.88	30.69	31.993	26.603	29.908	3.305	0.169	1	858.71	3.02821554545836e-187	8	411.13	3.02821554545836e-187	52480	TRUE	FBte0001377	AF222049	Transpac	Dmel	Transpac	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|TRANSPAC_I|TRANSPAC_LTR|gag|pol;internal_portion.	LTR	RNA	5249	FALSE	FALSE
AF541951	0.976503759398496	1.094	0.992	0.886	1.296	1.321	1.745	1.788	0.797	1.336	1.566	1.118	1.446	0.329	0.372	1	689.35	2.87510597196834e-147	8	254.49	2.87510597196834e-147	10630	TRUE	FBte0000963	AF541951	Bari2	Dmel	Bari2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_erecta	94.081	2	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI1|DEBARI1;pseudogene|Repeat_region|transposase|transposon.	TIR	DNA	1064	FALSE	FALSE
BAGGINS	0.9998166147075	17.102	23.309	19.903	12.195	11.59	30.39	25.845	27.19	27.571	27.655	16.82	27.73	10.91	0.721	1	4498.26	0	8	210.47	0	54520	TRUE	FBte0000906	nnnnnnnn	baggins	Dmel	baggins	non_LTR_retrotransposon	LINE	Loa	Loa	LOA	Drosophila_melanogaster	100	1	NA	Loa|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LOA_superfamily|BAGGINS1.	non-LTR	RNA	5453	TRUE	FALSE
Beagle	0.942934013027471	18.126	19.114	21.682	22.352	20.51	22.943	24.108	24.606	21.813	20.999	20.357	22.894	2.537	0.169	1	1090.95	2.00161170795612e-237	8	181.77	2.00161170795612e-237	70610	TRUE	FBte0000726	AF365402	HMS-Beagle	Dmel	HMS-Beagle	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.893	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DMLTR5;HMSBEAGLE_I|Retrovirus|gag-like|pol|internal_portion.	LTR	RNA	7062	FALSE	FALSE
Beagle2	0.92382271468144	11.412	12.368	13.282	11.666	9.985	15.635	14.231	14.658	15.211	14.944	11.743	14.936	3.193	0.347	1	4516.42	0	8	157.4	0	72190	TRUE	FBte0001399	3R.Release.3	HMS-Beagle2	Dmel	HMS-Beagle2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.985	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy2_DM;Gypsy2-LTR_DM|Gypsy2-I_DM.	LTR	RNA	7220	TRUE	FALSE
BLOOD	0.927395411605938	30.707	35.991	31.807	28.689	30.38	30.702	21.015	26.94	27.472	26.153	31.515	26.456	-5.059	-0.252	1	1720.75	0	8	265.75	0	74090	TRUE	FBte0000279	AY180916	blood	Dmel	blood	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.834	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|BLOOD|BLOODI;BLOOD_I|Gypsy_superfamily|LTRBLD_DM|TABOR_group|gag|protease;Retrovirus|reverse_transcriptase|internal_portion.	LTR	RNA	7410	FALSE	FALSE
BS	0.99708284714119	8.993	12.107	9.266	9.172	11.038	12.659	9.835	11.114	11.996	11.761	10.115	11.473	1.358	0.182	1	428.35	9.04466970784592e-95	8	142.43	9.04466970784592e-95	51410	TRUE	FBte0000780	nnnnnnnn	BS	Dmel	BS	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.375	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|LINE|BS.	non-LTR	RNA	5142	FALSE	FALSE
