TEfam	TEpropCov	Cont_B1	Cont_B2	Cont_B3	Cont_B4	Cont_B5	Sel_O1	Sel_O2	Sel_O3	Sel_O4	Sel_O5	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS
1360	1	267.056	215.46	252.208	259.702	281.01	258.484	227.629	311.339	268.739	229.443	255.087	259.127	4.04	0.023	1	1.04	0.307419742027185	8	22.7	0.307419742027185	1990	FALSE	FBte0000559	AC005453	1360	Dmel	1360	terminal_inverted_repeat_element	DNA	P	P	P	Drosophila_melanogaster	97.979	1	1	P|DNA_transposon|Transposable_Element|HOPPEL;P-like_DNA_transposon|PROTOP|PROTOP.|PROTOP_A|TIR;insertion_element_1360|transposase.	TIR	DNA	3409	FALSE	FALSE
AF541951	0.92	0.86	0.73	0.654	1.106	1.257	1.221	1.387	0.716	1.096	1.322	0.921	1.148	0.227	0.317	1	148.72	4.83988691282629e-33	8	78.16	4.83988691282629e-33	1990	TRUE	FBte0000963	AF541951	Bari2	Dmel	Bari2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_erecta	94.081	2	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI1|DEBARI1;pseudogene|Repeat_region|transposase|transposon.	TIR	DNA	1064	FALSE	FALSE
AY561850	0.985	3.674	3.602	3.315	4.733	2.095	3.021	8.713	5.499	5.135	7.096	3.484	5.893	2.409	0.758	1	1102.8	8.59573013348243e-193	8	208.55	8.59573013348243e-193	1990	TRUE	FBte0001206	AY561850	TART-A	Dmel	TART-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.794	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|TART-A;TART.	non-LTR	RNA	13424	FALSE	FALSE
BAGGINS	1	52.797	56.623	52.791	42.856	45.068	73.828	63.296	66.691	67.566	61.62	50.027	66.6	16.573	0.413	1	241.01	2.15258284622667e-51	8	9.82	2.15258284622667e-51	1990	TRUE	FBte0000906	nnnnnnnn	baggins	Dmel	baggins	non_LTR_retrotransposon	LINE	Loa	Loa	LOA	Drosophila_melanogaster	100	1	NA	Loa|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LOA_superfamily|BAGGINS1.	non-LTR	RNA	5453	TRUE	FALSE
BS	0.925	28.062	31.775	32.203	32.163	31.787	33.923	30.151	33.702	30.967	27.278	31.198	31.204	0.006	0	1	0	0.993550199659195	8	3.52	0.993550199659195	1990	FALSE	FBte0000780	nnnnnnnn	BS	Dmel	BS	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.375	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|LINE|BS.	non-LTR	RNA	5142	FALSE	FALSE
BS3	0.955	2.5	4.298	3.817	2.189	3.395	4.939	4.171	5.373	4.642	4.001	3.24	4.625	1.385	0.514	1	258.55	8.63647218171907e-55	8	29.51	8.63647218171907e-55	1990	TRUE	FBte0000420	nnnnnnnn	BS3	Dmel	BS3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS3_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	1790	FALSE	FALSE
BS4	0.915	1.113	1.304	1.067	1.359	1.264	1.456	1.689	1.736	1.467	1.654	1.221	1.6	0.379	0.39	1	232.84	8.41045549536019e-50	8	10.57	8.41045549536019e-50	1990	TRUE	FBte0001042	nnnnnnnn	BS4	Dmel	BS4	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS|BS4_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	754	TRUE	FALSE
CIRC	0.895	4.431	4.028	3.497	4.167	2.953	5.888	5.313	4.729	5.659	4.432	3.815	5.204	1.389	0.448	1	117.28	1.35609768607744e-26	8	8.82	1.35609768607744e-26	1990	TRUE	FBte0000616	nnnnnnnn	Circe	Dmel	Circe	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Composite	Drosophila_melanogaster	98.755	1	NA	LTR_Retrotransposon|Transposable_Element|CIRCE;composite_transposon|non_LTR_retrotransposon.	LTR	RNA	7450	TRUE	FALSE
DM06920	1	39.157	17.671	38.747	25.795	50.197	19.353	28.775	26.47	40.031	20.247	34.314	26.975	-7.338	-0.347	1	230.08	2.91347323483518e-49	8	197.01	2.91347323483518e-49	1990	TRUE	FBte0000143	U06920	HeT-A	Dmel	HeT-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.984	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|HETA;telomere.	non-LTR	RNA	6083	FALSE	FALSE
DM33463	0.905	18.584	21.382	22.979	17.373	26.57	35.997	31.052	28.2	25.39	23.727	21.377	28.873	7.496	0.434	1	23.13	1.6291434614917e-06	8	3.04	1.6291434614917e-06	1990	TRUE	FBte0001005	U33463	S-element	Dmel	S-element	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|S_DM|TIR;Tc1/mariner_superfamily|transposase.	TIR	DNA	1736	FALSE	FALSE
