TEfam	flybase_name	fb_id	TEsubclass	TEclass	Mean_Early	Mean_Postponed	diff_Freq	log2diff_Freq	Df_Breeding	Fval_Breeding	pvalFull_Breeding	Df_Diet	Fval_Diet	pvalFull_Diet	Df_inter	Fval_inter	pvalFull_inter	Df_Resid	fdrFull_Breeding
1360	1360	FBte0000559	TIR	DNA	0.469	0.475	0.005	0.016	1	0.485090589590178	0.486141409626473	2	0.0523861520360798	0.948962608407412	2	0.053136983741211	0.948250372002443	10170	0.949947815772551
412	412	FBte0000007	LTR	RNA	0.034	0.036	0.002	0.068	1	4.64450820875092	0.0311855959240344	2	0.107586859703265	0.897999940298933	2	0.927083639846268	0.395752545748013	7314	0.377345710680816
ACCORD	accord	FBte0000956	LTR	RNA	0.287	0.308	0.021	0.101	1	0.0618296941402107	0.803845157195289	2	0.067865244142145	0.934404763209512	2	0.00984508648379259	0.990203627862094	234	0.963966431431301
AF222049	Transpac	FBte0001377	LTR	RNA	0.028	0.031	0.003	0.131	1	4.07492470518843	0.0435786872012038	2	0.226291343744856	0.797494076087733	2	2.74502134089723	0.0643459319562312	4890	0.405617011641974
AF541951	Bari2	FBte0000963	TIR	DNA	0.628	0.656	0.028	0.063	1	6.0428657715243	0.0243264097918196	2	1.3047995544858	0.295683199499642	2	0.502797072432869	0.613083302269412	18	0.327055064978908
AY561850	TART-A	FBte0001206	non-LTR	RNA	0.346	0.311	-0.035	-0.155	1	0.592693082794384	0.444126415422449	2	0.0558519270251539	0.945723802511488	2	0.106290964626281	0.899316586007412	66	0.949947815772551
BAGGINS	baggins	FBte0000906	non-LTR	RNA	0.684	0.702	0.018	0.037	1	1.96790410577479	0.160821343215417	2	0.330448763835676	0.718639300287089	2	0.00183229286848266	0.998169386383658	2058	0.706426811666107
Beagle	HMS-Beagle	FBte0000726	LTR	RNA	0.066	0.068	0.002	0.044	1	1.46809994393668	0.225735574591184	2	0.0617083167899519	0.940158198484751	2	0.0244585844227988	0.975838286207126	3186	0.78040012930095
Beagle2	HMS-Beagle2	FBte0001399	LTR	RNA	0.378	0.385	0.007	0.025	1	0.297258753312224	0.585782248800205	2	0.0214504435364686	0.978778633706836	2	0.0235184490283658	0.976756737255645	690	0.949947815772551
BLOOD	blood	FBte0000279	LTR	RNA	0.027	0.026	0	-0.005	1	0.617401856888773	0.432047040140047	2	2.87051860671898	0.0567513688490991	2	0.679742287957948	0.506788600072221	5706	0.949947815772551
BS	BS	FBte0000780	non-LTR	RNA	0.101	0.112	0.011	0.144	1	2.37669510043067	0.123325253196211	2	0.0478359487591983	0.953291316822269	2	0.0101171125546642	0.989933946884137	1890	0.706426811666107
BS3	BS3	FBte0000420	non-LTR	RNA	0.502	0.52	0.018	0.052	1	0.332030216107228	0.564684322200448	2	0.187545790922157	0.829040226150368	2	0.0704124694881439	0.932017093175725	594	0.949947815772551
BS4	BS4	FBte0001042	non-LTR	RNA	0.514	0.491	-0.023	-0.066	1	0.420117609344232	0.519127036760699	2	0.316133036918324	0.730060117984352	2	0.103324615164832	0.901979763056682	66	0.949947815772551
CIRC	Circe	FBte0000616	LTR	RNA	0.733	0.737	0.004	0.007	1	0.0220754885609657	0.8819772064487	2	0.0300694969299154	0.970380751348846	2	0.0632077157936951	0.938759822880046	330	0.963966431431301
DIVER2	diver2	FBte0001178	LTR	RNA	0.815	0.821	0.007	0.012	1	0.134037969673315	0.714352058359355	2	0.0599554183825389	0.941809602990071	2	0.0533200529319573	0.948078983925268	1098	0.963966431431301
DM_ROO	roo	FBte0000100	LTR	RNA	0.035	0.037	0.002	0.076	1	12.4787591741532	0.000412199827323351	2	3.49589248807446	0.0303335546782292	2	0.0842355463950415	0.919214921972174	31194	0.0249380895530627
DM06920	HeT-A	FBte0000143	non-LTR	RNA	0.02	0.021	0.001	0.038	1	0.482354542970654	0.491181993678474	2	1.4316991846219	0.250322317453215	2	1.25253491798621	0.296234662729186	42	0.949947815772551
DM23420	3S18	FBte0000266	LTR	RNA	0.055	0.061	0.006	0.147	1	1.60302000537264	0.205644654756258	2	0.111605618569688	0.894403301520743	2	0.0491300010104719	0.952058669358036	1746	0.73185303604433
DM33463	S-element	FBte0001005	TIR	DNA	0.33	0.35	0.019	0.082	1	3.11951908273505	0.0774450619587161	2	1.0297074052469	0.357217472014443	2	0.716512670720813	0.488522913699934	3570	0.591095774298907
DM88	Dm88	FBte0000267	LTR	RNA	0.656	0.686	0.03	0.065	1	1.10339293010851	0.294351558481084	2	0.0501250145435722	0.951118322164481	2	0.230432441366356	0.794327774332937	306	0.890413464405279
DMBARI1	Bari1	FBte0000034	TIR	DNA	0.085	0.095	0.01	0.159	1	0.976465145975447	0.323368147706196	2	0.0524276759741458	0.948926168313098	2	0.48879582107789	0.613545352377922	810	0.914026183881154
DMBLPP	flea	FBte0000660	LTR	RNA	0.027	0.029	0.001	0.06	1	3.09483339790896	0.0786049744288173	2	0.918739798643967	0.399091816131853	2	0.19715624998004	0.821068989294713	4794	0.591095774298907
DMCOPIA	copia	FBte0000023	LTR	RNA	0.026	0.027	0.001	0.065	1	4.09226575397074	0.0431134129977581	2	1.32210575912498	0.266632242615991	2	0.856983419826026	0.424479896233639	7914	0.405617011641974
DMCR1A	Cr1a	FBte0000140	non-LTR	RNA	0.551	0.568	0.017	0.044	1	4.16968048790153	0.0411894740816095	2	0.413987386361847	0.661024828067246	2	0.305921067710387	0.736454200308023	7290	0.405617011641974
DMDM11	micropia	FBte0000042	LTR	RNA	0.181	0.193	0.012	0.093	1	0.902839266499859	0.342392971452362	2	0.000112828895323982	0.999887177490213	2	0.073246190150288	0.929380066485487	618	0.920656656571907
DME010298	GATE	FBte0000359	LTR	RNA	0.768	0.765	-0.003	-0.006	1	0.142688021675493	0.705770039789548	2	0.0329442790519349	0.967594396460888	2	0.0797379114975423	0.923369066691762	546	0.963966431431301
DME278684	Rt1a	FBte0000457	non-LTR	RNA	0.201	0.21	0.009	0.061	1	1.30837150410942	0.252834565291429	2	0.0893834223095338	0.914498734121531	2	0.174888002906175	0.839564627644254	1890	0.805078484217445
DME487856	Max-element	FBte0000304	LTR	RNA	0.168	0.169	0.001	0.004	1	0.0196397359980345	0.888555880622789	2	0.048752150211269	0.952417795202509	2	0.43562485452963	0.646894960020828	3546	0.963966431431301
DME9736	Idefix	FBte0000104	LTR	RNA	0.216	0.229	0.013	0.083	1	0.947167927193669	0.330585982024012	2	0.0626171495900259	0.939305282309308	2	0.311918485743366	0.732084990029502	1626	0.914026183881154
DMGYPF1A	gypsy	FBte0000021	LTR	RNA	0.283	0.272	-0.011	-0.056	1	0.0997016231958021	0.752286914238253	2	0.134428853419392	0.874238788801606	2	0.115835232833608	0.89063989571122	666	0.963966431431301
DMHFL1	hobo	FBte0000154	TIR	DNA	0.025	0.026	0	0.025	1	5.16199735518158	0.0230992538102629	2	0.925583422832516	0.396320890084219	2	2.78339752271651	0.0618573632865507	16362	0.327055064978908
DMIFACA	I-element	FBte0000133	non-LTR	RNA	0.062	0.062	0.001	0.018	1	1.65616676849416	0.198148496599362	2	0.745528333008086	0.474507292926958	2	0.871552827956517	0.418330102483887	11106	0.726544487530994
DMIS176	17.6	FBte0000109	LTR	RNA	0.157	0.169	0.013	0.113	1	1.79916025565957	0.180013114546457	2	0.0954280057179939	0.908989210738812	2	0.401288009739989	0.669527662326887	1530	0.706426811666107
DMIS297	297	FBte0000675	LTR	RNA	0.112	0.115	0.003	0.037	1	1.69405303231523	0.193098416925594	2	0.419586464201872	0.657330500796489	2	0.21769641806828	0.804373520853602	9714	0.726544487530994
DMLINEJA	jockey	FBte0000088	non-LTR	RNA	0.029	0.031	0.002	0.094	1	19.356391661019	1.09000829359314e-05	2	4.02975025497235	0.0177928122580354	2	2.83654056747602	0.0586510772324716	20562	0.0013189100352477
DMMDG3	mdg3	FBte0000010	LTR	RNA	0.049	0.052	0.003	0.078	1	1.79007709995845	0.180985381501234	2	0.350129601115427	0.704616246105431	2	0.556217314235362	0.573413861298806	4434	0.706426811666107
DMPOGOR11	pogo	FBte0000568	TIR	DNA	0.048	0.049	0.001	0.031	1	2.195020920498	0.138497507562144	2	1.37863663258874	0.251982831496466	2	0.0404120934099183	0.960393785731632	7842	0.706426811666107
DMREPG	G-element	FBte0000657	non-LTR	RNA	0.594	0.623	0.029	0.068	1	0.280828071925315	0.5966614380059	2	0.063397965286808	0.938585996790294	2	0.147632854633439	0.86282810577532	234	0.949947815772551
DMRER1DM	R1A1-element	FBte0000118	non-LTR	RNA	0.464	0.47	0.006	0.017	1	0.0933324119914899	0.760116791230575	2	0.0202602577257838	0.979944450793625	2	0.18163392123865	0.833964573149486	474	0.963966431431301
DMRER2DM	R2-element	FBte0000030	non-LTR	RNA	0.892	0.897	0.004	0.007	1	0.143739442458965	0.705174159263857	2	1.25130922459028	0.289355753672194	2	3.70614066706178	0.0270509105284378	138	0.963966431431301
DMRTMGD1	mdg1	FBte0000015	LTR	RNA	0.053	0.052	-0.001	-0.02	1	0.0855046070970513	0.769981937777759	2	0.802698274004783	0.448166158051778	2	0.455135134442328	0.634384071779577	6018	0.963966431431301
DMTHB1	HB	FBte0000414	TIR	DNA	0.455	0.489	0.034	0.104	1	6.36588052744446	0.0117217001467114	2	0.393140722336398	0.674993493928667	2	1.15586991045774	0.315024335534618	1746	0.202617959678868
DMTN1731	1731	FBte0000003	LTR	RNA	0.384	0.39	0.006	0.023	1	0.00609949005517586	0.937845498500137	2	0.0220572582270902	0.978187161532905	2	0.0956456957704966	0.908837225735978	162	0.968209667458967
DMTNFB	FB	FBte0000288	FB	DNA	0.142	0.146	0.004	0.038	1	0.683802336568112	0.408317048340841	2	0.434244337738566	0.647776608120983	2	0.0222048227143276	0.978039979149412	5394	0.949947815772551
DMTOM1_LTR	Tom1	FBte0000400	LTR	RNA	0.71	0.728	0.018	0.035	1	0.236335908630848	0.627213085653569	2	0.136350200595752	0.872589998106077	2	0.0996639922367503	0.905170870581446	306	0.959192431090469
DMTRDNA	hopper	FBte0000670	TIR	DNA	0.248	0.257	0.009	0.053	1	0.748760237302861	0.387013766006401	2	0.135056891220164	0.873677317976382	2	0.017680844255668	0.982474758896738	1434	0.949947815772551
DMU89994	Burdock	FBte0000739	LTR	RNA	0.036	0.038	0.002	0.06	1	2.38077624013658	0.122908639123793	2	2.97733198181076	0.0510314730430769	2	0.149382244287844	0.861244229581638	4386	0.706426811666107
DMW1DOC	Doc	FBte0000341	non-LTR	RNA	0.082	0.085	0.003	0.056	1	3.06649036532135	0.0799567693084352	2	0.0795509775389399	0.923531605231148	2	0.236023508047448	0.78976711978773	8778	0.591095774298907
DMZAM	ZAM	FBte0000217	LTR	RNA	0.221	0.215	-0.006	-0.038	1	0.0638606488153328	0.800696132783333	2	0.128842421582316	0.879169012278451	2	0.237767304402882	0.788558682811633	258	0.963966431431301
DOC2	Doc2-element	FBte0000103	non-LTR	RNA	0.637	0.651	0.014	0.031	1	0.178659302503046	0.672729853844383	2	0.00754203777017568	0.992486457482474	2	0.178194649738758	0.836838545285955	450	0.963966431431301
DOC3	Doc3-element	FBte0001140	non-LTR	RNA	0.733	0.753	0.02	0.038	1	0.863538642343844	0.352974125791812	2	0.0888986629696362	0.914945501479866	2	0.00237448576112951	0.997628336713778	1002	0.928475417843679
DOC4	Doc4-element	FBte0001039	non-LTR	RNA	0.658	0.67	0.012	0.025	1	0.0360098358920052	0.849603942863869	2	0.129380442972161	0.878681157915688	2	0.0550819214319609	0.946415723412772	354	0.963966431431301
DOC5	Porto1	FBte0000791	non-LTR	RNA	0.681	0.715	0.034	0.071	1	3.01127048182585	0.0830465137444745	2	0.203598495909695	0.815829249946711	2	0.0550387236149948	0.946451838594777	858	0.591095774298907
