TEfam	flybase_name	fb_id	TEsubclass	TEclass	Cont_1	Cont_2	Cont_3	Sel_1	Sel_2	Sel_3	Mean_Cont	Mean_Sel	ConsistSC	ConsistCS
1360	1360	FBte0000559	TIR	DNA	181579.44	190715.566	162506.075	195280.449	176015.678	184900.708	178267.027	185398.945	FALSE	FALSE
412	412	FBte0000007	LTR	RNA	127216.181	157388.759	107378.365	167289.897	120408.913	123525.682	130661.101666667	137074.830666667	FALSE	FALSE
ACCORD	accord	FBte0000956	LTR	RNA	54186.167	59643.687	46825.581	60098.825	50556.724	56064.807	53551.8116666667	55573.452	FALSE	FALSE
AF222049	Transpac	FBte0001377	LTR	RNA	82771.594	76887.477	79502.544	93620.144	80887.799	92437.549	79720.5383333333	88981.8306666667	FALSE	FALSE
AF541951	Bari2	FBte0000963	TIR	DNA	1240.878	1146.871	1050.535	1321.374	1095.455	1323.703	1146.09466666667	1246.844	FALSE	FALSE
BAGGINS	baggins	FBte0000906	non-LTR	RNA	151852.646	150552.229	142584.511	154122.998	153261.91	150961.935	148329.795333333	152782.281	FALSE	FALSE
Beagle	HMS-Beagle	FBte0000726	LTR	RNA	84930.976	72207.287	66382.761	89222.076	73503.236	77237.459	74507.008	79987.5903333333	FALSE	FALSE
Beagle2	HMS-Beagle2	FBte0001399	LTR	RNA	71733.344	84342.157	58914.472	88192.889	70513.511	71859.445	71663.3243333333	76855.2816666667	FALSE	FALSE
BLOOD	blood	FBte0000279	LTR	RNA	142306.012	132463.455	121633.501	126326.557	125402.164	137506.57	132134.322666667	129745.097	FALSE	FALSE
BS	BS	FBte0000780	non-LTR	RNA	57496.334	55936.95	60009.534	60178.174	55071.283	58870.483	57814.2726666667	58039.98	FALSE	FALSE
BS3	BS3	FBte0000420	non-LTR	RNA	14846.293	14463.883	13988.823	15072.567	14819.224	14725.548	14432.9996666667	14872.4463333333	FALSE	FALSE
BS4	BS4	FBte0001042	non-LTR	RNA	1138.86	1063.474	890.42	1058.187	997.833	1119.139	1030.918	1058.38633333333	FALSE	FALSE
CIRC	Circe	FBte0000616	LTR	RNA	160967.12	159609.549	144370.886	175586.437	151462.771	159834.057	154982.518333333	162294.421666667	FALSE	FALSE
DIVER2	diver2	FBte0001178	LTR	RNA	47071.74	46187.254	43905.638	47221.723	46178.342	45972.375	45721.544	46457.48	FALSE	FALSE
DM_ROO	roo	FBte0000100	LTR	RNA	819522.341	722741.954	657519.648	776304.647	707224.874	777395.873	733261.314333333	753641.798	FALSE	FALSE
DM06920	HeT-A	FBte0000143	non-LTR	RNA	43484.156	55584.715	56488.816	52866.275	51298.336	59481.673	51852.5623333333	54548.7613333333	FALSE	FALSE
DM23420	3S18	FBte0000266	LTR	RNA	71803.773	66425.559	65284.449	72590.881	71141.871	68215.019	67837.927	70649.257	FALSE	FALSE
DM33463	S-element	FBte0001005	TIR	DNA	22930.707	23990.881	21739.776	25631.591	22748.872	24231.98	22887.1213333333	24204.1476666667	FALSE	FALSE
DM88	Dm88	FBte0000267	LTR	RNA	70395.697	67421.242	62373.722	71822.668	66094.851	65607.347	66730.2203333333	67841.622	FALSE	FALSE
DMAURA	aurora-element	FBte0000112	LTR	RNA	9886.575	9999.083	9969.391	9091.667	10772.964	9612.919	9951.683	9825.85	FALSE	FALSE
DMBARI1	Bari1	FBte0000034	TIR	DNA	46566.804	39997.067	42677.428	42254.084	42136.19	46180.23	43080.433	43523.5013333333	FALSE	FALSE
DMBLPP	flea	FBte0000660	LTR	RNA	75395.241	80182.115	75359.978	80646.167	70436.455	76192.804	76979.1113333333	75758.4753333333	FALSE	FALSE
DMCOPIA	copia	FBte0000023	LTR	RNA	135109.616	129756.332	112868.385	137493.151	127942.809	138062.171	125911.444333333	134499.377	FALSE	FALSE
DMCR1A	Cr1a	FBte0000140	non-LTR	RNA	264346.546	259463.7	224030.022	285125.07	246235.209	262382.316	249280.089333333	264580.865	FALSE	FALSE
DMDM11	micropia	FBte0000042	LTR	RNA	65777.892	64837.783	61423.116	69938.689	63826.796	69176.803	64012.9303333333	67647.4293333333	FALSE	FALSE
DME010298	GATE	FBte0000359	LTR	RNA	117542.007	117414.956	112395.623	118807.742	118862.416	115207.595	115784.195333333	117625.917666667	FALSE	FALSE
DME278684	Rt1a	FBte0000457	non-LTR	RNA	60036.842	63756.286	59854.533	65821.186	65715.16	58229.831	61215.887	63255.3923333333	FALSE	FALSE
DME487856	Max-element	FBte0000304	LTR	RNA	106214.924	119176.511	95195.339	110501.193	109875.18	106545.682	106862.258	108974.018333333	FALSE	FALSE
DME9736	Idefix	FBte0000104	LTR	RNA	127686.194	128695.762	105078.962	137322.428	115780.914	127456.467	120486.972666667	126853.269666667	FALSE	FALSE
DMGYPF1A	gypsy	FBte0000021	LTR	RNA	32325.924	26814.292	27119.644	27122.464	28727.826	28760.005	28753.2866666667	28203.4316666667	FALSE	FALSE
DMHFL1	hobo	FBte0000154	TIR	DNA	58765.716	47993.546	49871.96	56003.867	54212.925	59030.221	52210.4073333333	56415.671	FALSE	FALSE
DMIFACA	I-element	FBte0000133	non-LTR	RNA	134410.955	131355.972	107805.192	139392.958	115330.367	115575.534	124524.039666667	123432.953	FALSE	FALSE
DMIS176	17.6	FBte0000109	LTR	RNA	154845.38	138966.985	141403.318	176732.896	149744.465	163091.652	145071.894333333	163189.671	FALSE	FALSE
DMIS297	297	FBte0000675	LTR	RNA	148919.382	125012.559	112496.053	160449.41	128050.153	138400.908	128809.331333333	142300.157	FALSE	FALSE
DMLINEJA	jockey	FBte0000088	non-LTR	RNA	158163.983	157299.784	137972.218	155650.968	147441.467	149013.855	151145.328333333	150702.096666667	FALSE	FALSE
DMMDG3	mdg3	FBte0000010	LTR	RNA	82639.501	87884.867	81040.439	81617.9	78034.199	86773.797	83854.9356666667	82141.9653333333	FALSE	FALSE
DMPOGOR11	pogo	FBte0000568	TIR	DNA	36517.506	37093.059	38036.384	44120.246	38312.819	41492.176	37215.6496666667	41308.4136666667	TRUE	FALSE
DMREPG	G-element	FBte0000657	non-LTR	RNA	27181.006	26306.796	29464.121	26299.511	26797.172	23326.231	27650.641	25474.3046666667	FALSE	FALSE
DMRER1DM	R1A1-element	FBte0000118	non-LTR	RNA	677497.435	745948.071	752077.314	681333.166	775682.082	707984.6	725174.273333333	721666.616	FALSE	FALSE
DMRER2DM	R2-element	FBte0000030	non-LTR	RNA	80834.828	86620.614	98206.483	89687.834	81241.603	79552.006	88553.975	83493.8143333333	FALSE	FALSE
DMRTMGD1	mdg1	FBte0000015	LTR	RNA	147783.646	154319.191	125286.912	150994.388	130729.667	139748.912	142463.249666667	140490.989	FALSE	FALSE
DMTHB1	HB	FBte0000414	TIR	DNA	14172.964	14896.895	13231.203	15575.961	13605.247	14479.319	14100.354	14553.509	FALSE	FALSE
DMTN1731	1731	FBte0000003	LTR	RNA	53784.025	49621.918	54359.923	47911.295	50318.063	49737.315	52588.622	49322.2243333333	FALSE	FALSE
